depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	1	442819
1	superkingdom	10239	1	Viruses	0	55
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	55
3	family	10501	35237	Phycodnaviridae	0	17
4	genus	181085	10501	Phaeovirus	0	17
5	species	37665	181085	Ectocarpus siliculosus virus 1	17	0
3	order	28883	35237	Caudovirales	0	23
4	family	10662	28883	Myoviridae	0	19
5	subfamily	857479	10662	Peduovirinae	0	5
6	genus	1196844	857479	Hpunalikevirus	5	0
5	subfamily	1198136	10662	Tevenvirinae	0	14
6	genus	10663	1198136	T4likevirus	0	14
7	no rank	329380	10663	unclassified T4-like viruses	0	14
8	species	1340810	329380	Synechococcus phage ACG-2014h	14	0
4	family	10744	28883	Podoviridae	0	4
5	subfamily	542835	10744	Autographivirinae	0	4
6	genus	542837	542835	Sp6likevirus	0	4
7	species	194966	542837	Enterobacteria phage SP6	4	0
3	no rank	51368	35237	unclassified dsDNA viruses	0	15
4	no rank	717048	51368	unclassified archaeal dsDNA viruses	0	15
5	no rank	128706	717048	Haloviruses	0	15
6	species	1273755	128706	Halovirus HRTV-8	15	0
1	no rank	131567	1	cellular organisms	89456	353308
2	superkingdom	2	131567	Bacteria	25062	153191
3	phylum	1117	2	Cyanobacteria	117	389
4	order	1161	1117	Nostocales	4	58
5	family	1162	1161	Nostocaceae	1	51
6	genus	1163	1162	Anabaena	0	28
7	species	1165	1163	Anabaena cylindrica	0	9
8	no rank	272123	1165	Anabaena cylindrica PCC 7122	0	9
9	no rank	1335021	272123	Anabaena cylindrica CCAP 1403/2B	9	0
7	species	46234	1163	Anabaena sp. 90	19	0
6	genus	1177	1162	Nostoc	0	3
7	species	28072	1177	Nostoc sp. PCC 7524	3	0
6	genus	56106	1162	Cylindrospermum	0	13
7	species	142864	56106	Cylindrospermum stagnale	0	13
8	no rank	56107	142864	Cylindrospermum stagnale PCC 7417	13	0
6	genus	98443	1162	Richelia	0	6
7	species	1164990	98443	Richelia intracellularis	6	0
5	family	1185	1161	Rivulariaceae	0	6
6	genus	1186	1185	Calothrix	0	6
7	species	32054	1186	Calothrix parietina	0	6
8	no rank	1170562	32054	Calothrix sp. PCC 6303	6	0
4	order	52604	1117	Pleurocapsales	0	29
5	genus	44474	52604	Pleurocapsa	0	9
6	species	54308	44474	Pleurocapsa minor	0	9
7	no rank	118163	54308	Pleurocapsa sp. PCC 7327	9	0
5	genus	54298	52604	Chroococcidiopsis	0	20
6	species	54299	54298	Chroococcidiopsis thermalis	0	20
7	no rank	251229	54299	Chroococcidiopsis thermalis PCC 7203	20	0
4	class	307596	1117	Gloeobacteria	0	4
5	order	307595	307596	Gloeobacterales	0	4
6	genus	33071	307595	Gloeobacter	1	3
7	species	33072	33071	Gloeobacter violaceus	0	3
8	no rank	251221	33072	Gloeobacter violaceus PCC 7421	3	0
4	subclass	1301283	1117	Oscillatoriophycideae	21	273
5	order	1118	1301283	Chroococcales	8	157
6	genus	1125	1118	Microcystis	5	0
6	genus	1129	1118	Synechococcus	1	20
