depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	927	39667
1	no rank	12908	1	unclassified sequences	0	63
2	no rank	151659	12908	environmental samples	0	63
3	species	155900	151659	uncultured organism	58	0
3	species	358574	151659	uncultured microorganism	3	0
1	no rank	131567	1	cellular organisms	556	39048
2	superkingdom	2	131567	Bacteria	1801	21170
3	phylum	1117	2	Cyanobacteria	27	28
4	no rank	34079	1117	unclassified Cyanobacteria	7	0
4	subclass	1301283	1117	Oscillatoriophycideae	1	18
5	order	1118	1301283	Chroococcales	0	17
6	genus	1129	1118	Synechococcus	0	7
7	species	431041	1129	Candidatus Synechococcus spongiarum	2	5
8	no rank	1451353	431041	Candidatus Synechococcus spongiarum SH4	5	0
6	genus	1142	1118	Synechocystis	9	0
3	phylum	1224	2	Proteobacteria	839	9031
4	class	1236	1224	Gammaproteobacteria	374	2507
5	no rank	50423	1236	environmental samples	0	5
6	species	86473	50423	uncultured gamma proteobacterium	5	0
5	order	72273	1236	Thiotrichales	0	82
6	family	34064	72273	Francisellaceae	0	65
7	genus	262	34064	Francisella	65	0
6	family	135617	72273	Thiotrichaceae	0	16
7	genus	90372	135617	Thiomargarita	0	16
8	no rank	298391	90372	environmental samples	0	16
9	species	298392	298391	uncultured Thiomargarita sp.	16	0
5	order	72274	1236	Pseudomonadales	4	843
6	family	468	72274	Moraxellaceae	12	356
7	genus	469	468	Acinetobacter	249	34
8	no rank	75661	469	environmental samples	0	10
9	species	165433	75661	uncultured Acinetobacter sp.	10	0
8	species group	909768	469	Acinetobacter calcoaceticus/baumannii complex	3	14
9	species	470	909768	Acinetobacter baumannii	8	3
9	species	471	909768	Acinetobacter calcoaceticus	3	0
7	genus	475	468	Moraxella	0	3
7	genus	497	468	Psychrobacter	1	4
7	genus	212791	468	Enhydrobacter	61	0
6	family	135621	72274	Pseudomonadaceae	15	460
7	genus	286	135621	Pseudomonas	356	93
8	no rank	62104	286	environmental samples	0	8
9	species	114707	62104	uncultured Pseudomonas sp.	8	0
8	species group	136841	286	Pseudomonas aeruginosa group	0	36
