ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ssc-mir-1285:MI0013164:Sus:scrofa:miR-1285:stem-loop	8	18	18.0	0.0
osa-MIR5156:MI0018071:Oryza:sativa:miR5156:stem-loop	2	13	13.0	0.0
aqc-MIR482a:MI0012107:Aquilegia:caerulea:miR482a:stem-loop	11	17	5.249999999999999	0.0
aqc-MIR482c:MI0012109:Aquilegia:caerulea:miR482c:stem-loop	11	17	5.249999999999999	0.0
aqc-MIR482b:MI0012108:Aquilegia:caerulea:miR482b:stem-loop	11	17	5.249999999999999	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	4	5	5.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	2	4	4.0	0.0
aly-MIR157c:MI0014512:Arabidopsis:lyrata:miR157c:stem-loop	2	3	3.0	0.0
gma-MIR6300:MI0021724:Glycine:max:miR6300:stem-loop	2	3	3.0	0.0
hbr-MIR6173:MI0021483:Hevea:brasiliensis:miR6173:stem-loop	2	3	3.0	0.0
bmo-mir-6497:MI0022087:Bombyx:mori:miR-6497:stem-loop	3	5	3.0	0.0
dre-mir-735:MI0004781:Danio:rerio:miR-735:stem-loop	1	3	3.0	0.0
cgr-mir-199b:MI0020449:Cricetulus:griseus:miR-199b:stem-loop	1	2	2.0	0.0
bta-mir-1246:MI0021112:Bos:taurus:miR-1246:stem-loop	1	2	2.0	0.0
ssa-mir-181b:MI0026541:Salmo:salar:miR-181b:stem-loop	1	2	2.0	0.0
ipu-mir-7550:MI0024681:Ictalurus:punctatus:miR-7550:stem-loop	1	2	2.0	0.0
pxy-mir-6497:MI0027355:Plutella:xylostella:miR-6497:stem-loop	2	4	2.0	0.0
hsa-mir-619:MI0003633:Homo:sapiens:miR-619:stem-loop	2	2	1.25	0.0
oha-mir-181c:MI0031377:Ophiophagus:hannah:miR-181c:stem-loop	1	1	1.0	0.0
cel-mir-38:MI0000009:Caenorhabditis:elegans:miR-38:stem-loop	1	1	1.0	0.0
lgi-mir-1990:MI0010261:Lottia:gigantea:miR-1990:stem-loop	1	2	1.0	0.0
hru-mir-1990:MI0010247:Haliotis:rufescens:miR-1990:stem-loop	1	2	1.0	0.0
aca-mir-219-2:MI0018826:Anolis:carolinensis:miR-219-2:stem-loop	1	1	1.0	0.0
cte-mir-2712:MI0012159:Capitella:teleta:miR-2712:stem-loop	1	1	1.0	0.0
ola-mir-9a-2:MI0019421:Oryzias:latipes:miR-9a-2:stem-loop	1	1	1.0	0.0
