GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
CDK5RAP2	342	295627	295594.56926406943	0.0
HIF1AN	87	15814	15587.416666666668	0.0
HMCN2	131	13964	6982.0	0.0
AL354898.1	131	13964	6982.0	0.0
HOXC8	13	887	887.0	0.0
PGRMC2	11	395	395.0	0.0
PAX6	29	527	387.06666666666666	0.0
ESYT3	26	382	382.0	0.0
PRR15	6	282	277.0	0.0
CLDN2	22	373	276.45	0.0
DPH6	23	460	229.83333333333334	0.0
COPA	10	226	226.0	0.0
CYB5R4	5	218	217.33333333333334	0.0
RP5-1107A17.4	9	176	175.5	0.0
LRIG1	12	149	149.0	0.0
RP11-677M14.7	22	142	141.33333333333331	0.0
TMEM170A	4	193	115.80000000000001	0.0
Y_RNA.409	12	193	99.5	0.0
Y_RNA.395	9	187	93.5	0.0
AC010970.2	46	92	91.5	0.0
TMEM104	11	84	84.0	0.0
ZBP1	11	75	76.0	0.0
RNA5SP449	31	147	74.0	0.0
WWP1	4	73	73.0	0.0
RP11-2H8.3	30	145	72.0	0.0
RMST	13	128	71.66666666666667	0.0
USP41	24	71	70.24999999999999	0.0
EHBP1L1	7	64	63.2	0.0
Y_RNA.802	3	63	63.0	0.0
CTD-2328D6.1	45	70	60.16666666666667	0.0
MT-ND5	67	78	59.16666666666667	0.0
SNX27	22	59	58.999999999999986	0.0
TBC1D8B	155	276	56.053968253968314	0.0
SPG7	12	55	54.99999999999999	0.0
NEDD4	102	197	54.51904761904759	0.0
RIMS1	12	60	54.5	0.0
RP11-346D14.1	59	85	53.892857142857146	0.0
CREBRF	10	54	53.666666666666664	0.0
CSNK1D	19	65	52.238095238095234	0.0
MCC	13	52	51.5	0.0
RP11-65L3.2	9	56	51.41666666666667	0.0
TRABD2A	2	49	49.333333333333336	0.0
SAMD3	4	47	48.0	0.0
ARHGEF11	15	47	47.0	0.0
RASGEF1B	8	201	46.60000000000001	0.0
KCNQ1OT1	59	88	46.420634920634924	0.0
RP11-130F10.1	7	44	44.0	0.0
TMEM200C	16	56	43.666666666666664	0.0
HEATR1	5	43	43.0	0.0
SRRM2	7	73	43.0	0.0
MT-ND4	45	55	42.83333333333333	0.0
TOR3A	12	42	42.0	0.0
TRAPPC9	5	42	42.0	0.0
PLAG1	7	41	40.5	0.0
C5orf63	5	39	39.0	0.0
RP11-38O23.4	14	39	39.0	0.0
TSPAN12	4	193	38.6	0.0
CD320	13	38	38.0	0.0
KTN1-AS1	5	38	38.0	0.0
CDC42BPB	9	38	38.0	0.0
RP11-863K10.7	4	73	37.2	0.0
RFX5	5	37	37.0	0.0
LGALS3	7	36	36.0	0.0
ATP6AP1	5	37	35.5	0.0
AC072062.1	30	37	35.5	0.0
DCAF8	1	70	35.0	0.0
KANSL2	12	34	33.5	0.0
RP11-137H2.6	16	67	33.333333333333336	0.0
SNX5	16	67	33.333333333333336	0.0
FIS1	14	36	33.254545454545465	0.0
NDE1	6	32	33.0	0.0
EXT1	4	83	32.33333333333333	0.0
RP11-350J20.9	9	32	32.0	0.0
LDB2	4	64	31.5	0.0
MORC4	105	200	31.209523809523798	0.0
MICU1	4	30	31.0	0.0
TAF8	10	30	30.0	0.0
ALKBH6	2	29	29.0	0.0
RP11-545I5.3	105	200	28.209523809523798	0.0
RP11-501E14.1	29	44	28.083333333333332	0.0
RP11-347C18.3	2	28	28.0	0.0
ZXDB	4	28	28.0	0.0
AC007743.1	101	195	27.82619047619046	0.0
AL590867.1	101	195	27.82619047619046	0.0
CLU	4	51	26.5	0.0
RP4-671G15.2	4	26	26.0	0.0
RNF10	11	27	25.85714285714286	0.0
SPOP	10	28	25.8	0.0
RRP15	6	25	25.0	0.0
CAMK2N1	5	26	25.0	0.0
RP11-561I11.4	4	25	25.0	0.0
ADAP1	19	32	24.6	0.0
UBA6-AS1	20	29	24.1	0.0
ZNF616	3	23	23.0	0.0
MRPS18B	8	23	23.0	0.0
PPP2R5E	4	23	23.0	0.0
CHCHD5	5	24	22.0	0.0
SIX6	7	22	22.0	0.0
SNX18	3	28	22.0	0.0
MINK1	10	22	21.999999999999996	0.0
NEU1	15	31	21.023809523809522	0.0
LPCAT3	3	20	21.0	0.0
RP11-259O2.3	44	70	20.661111111111108	0.0
SLC38A6	43	68	20.427777777777774	0.0
MT-CO3	23	27	20.333333333333336	0.0
LCAT	2	20	20.0	0.0
NBEAL1	14	22	19.61764705882353	0.0
WDR86	6	19	19.0	0.0
VPS13A	6	21	19.0	0.0
GRIN2D	13	19	19.0	0.0
ALB	1	19	19.0	0.0
PLXNB1	3	18	19.0	0.0
ZNF829	5	17	19.0	0.0
C6orf62	11	23	18.583333333333332	0.0
CCT6A	7	20	18.5	0.0
ZNF850	14	22	18.333333333333336	0.0
MT-CO1	23	26	17.583333333333336	0.0
CTD-2299I21.1	6	22	17.5	0.0
PWP2	6	17	17.0	0.0
PKD1L2	1	15	17.0	0.0
RBBP7	7	14	17.0	0.0
AC159540.1	7	19	17.0	0.0
ZNF792	6	17	17.0	0.0
UGDH-AS1	49	86	16.97222222222222	0.0
RPAP2	26	33	16.63333333333333	0.0
IQGAP1	12	32	16.5	0.0
DNAJC14	7	16	16.0	0.0
TCP11L1	2	61	16.0	0.0
RP11-638L3.3	1	16	16.0	0.0
PPP1R37	3	16	16.0	0.0
LPHN1	9	16	16.0	0.0
PANK1	11	31	15.5	0.0
SRCIN1	5	16	15.5	0.0
AC007246.3	1	60	15.0	0.0
RYR3	5	15	15.0	0.0
FOXO1	12	15	15.0	0.0
PSMD8	9	15	15.0	0.0
BTN3A2	6	14	14.999999999999998	0.0
CCNL1	15	15	14.999999999999996	0.0
MT-ATP6	19	20	14.833333333333334	0.0
MT-CYB	13	16	14.5	0.0
MIPOL1	24	32	14.442857142857141	0.0
ERO1L	5	11	14.0	0.0
HES7	12	14	14.0	0.0
MYO16	8	14	14.0	0.0
PHF14	2	14	14.0	0.0
FTLP10	1	14	14.0	0.0
BHLHE41	2	14	14.0	0.0
HEY2	9	14	13.666666666666666	0.0
DGKH	6	16	13.0	0.0
ALG14	9	13	13.0	0.0
USP25	8	13	13.0	0.0
CFL1	5	13	13.0	0.0
FCGR2A	10	13	13.0	0.0
TICAM1	4	13	13.0	0.0
PCNX	7	13	12.999999999999998	0.0
MS4A15	3	22	12.5	0.0
TANC2	4	13	12.5	0.0
BLM	7	24	12.5	0.0
SLC22A23	6	14	12.333333333333332	0.0
SYT14	1	14	12.25	0.0
RQCD1	9	13	12.214285714285714	0.0
INTU	5	12	12.0	0.0
FANCA	4	12	12.0	0.0
RP11-565F4.1	2	12	12.0	0.0
RP11-775B15.3	2	12	12.0	0.0
KIF13B	5	11	12.0	0.0
COL4A3	1	12	12.0	0.0
RAN	4	10	12.0	0.0
RP11-173A16.2	1	12	12.0	0.0
PPME1	5	12	12.0	0.0
LSM14A	2	12	12.0	0.0
RCC2	4	12	12.0	0.0
CCDC90B	5	10	11.999999999999998	0.0
TTN	11	12	11.999999999999998	0.0
PRRG4	10	16	11.833333333333334	0.0
MTND5P11	22	25	11.666666666666666	0.0
VPS41	3	11	11.000000000000002	0.0
PDE8B	4	11	11.0	0.0
GRIN3A	4	11	11.0	0.0
THAP3	5	11	11.0	0.0
BTG2	7	11	11.0	0.0
ADRM1	6	11	11.0	0.0
RP11-500C11.3	7	11	11.0	0.0
MTND4P12	18	20	10.833333333333332	0.0
CRTC3	5	12	10.7	0.0
MEF2BNB	4	11	10.5	0.0
CCDC12	4	11	10.5	0.0
CERS3	5	15	10.5	0.0
RP11-1060J15.4	6	12	10.5	0.0
LINC00649	6	8	10.5	0.0
ZNF506	6	29	10.2	0.0
SYNPO	7	12	10.05	0.0
DDB1	4	10	10.0	0.0
