ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
api-miR-279a:MIMAT0014724:Acyrthosiphon:pisum:miR-279a|isc-miR-279:MIMAT0012694:Ixodes:scapularis:miR-279|hme-miR-279a:MIMAT0024961:Heliconius:melpomene:miR-279a|mse-miR-279a:MIMAT0024455:Manduca:sexta:miR-279a|tca-miR-279b-3p:MIMAT0010201:Tribolium:castaneum:miR-279b-3p|cte-miR-279:MIMAT0009539:Capitella:teleta:miR-279|bmo-miR-279a:MIMAT0004204:Bombyx:mori:miR-279a|dpu-miR-279a:MIMAT0012654:Daphnia:pulex:miR-279a|lgi-miR-279:MIMAT0009593:Lottia:gigantea:miR-279|ame-miR-279d:MIMAT0037267:Apis:mellifera:miR-279d	4	79	39.5	0.0
api-miR-279a:MIMAT0014724:Acyrthosiphon:pisum:miR-279a|cte-miR-279:MIMAT0009539:Capitella:teleta:miR-279|bmo-miR-279a:MIMAT0004204:Bombyx:mori:miR-279a	3	78	38.5	0.0
pmi-miR-278-3p:MIMAT0032172:Patiria:miniata:miR-278-3p|spu-miR-278-3p:MIMAT0009674:Strongylocentrotus:purpuratus:miR-278-3p	4	22	21.5	0.0
hsa-miR-1273g-3p:MIMAT0022742:Homo:sapiens:miR-1273g-3p	3	16	16.0	0.0
ptc-miR6478:MIMAT0025220:Populus:trichocarpa:miR6478	2	7	7.0	0.0
hru-miR-1985:MIMAT0009716:Haliotis:rufescens:miR-1985|lgi-miR-1985:MIMAT0009727:Lottia:gigantea:miR-1985	3	11	6.5	0.0
hru-miR-1985:MIMAT0009716:Haliotis:rufescens:miR-1985	3	10	5.5	0.0
aga-let-7:MIMAT0001495:Anopheles:gambiae:let-7|cqu-let-7-5p:MIMAT0014366:Culex:quinquefasciatus:let-7-5p|api-let-7:MIMAT0014709:Acyrthosiphon:pisum:let-7|aae-let-7:MIMAT0014299:Aedes:aegypti:let-7	2	5	5.0	0.0
isc-miR-750:MIMAT0012704:Ixodes:scapularis:miR-750|lgi-miR-750:MIMAT0009600:Lottia:gigantea:miR-750|ame-miR-750:MIMAT0018615:Apis:mellifera:miR-750|cte-miR-750:MIMAT0009547:Capitella:teleta:miR-750	3	4	4.0	0.0
lgi-miR-1994a:MIMAT0009724:Lottia:gigantea:miR-1994a	4	6	3.75	0.0
gma-miR6300:MIMAT0024929:Glycine:max:miR6300	2	3	3.0	0.0
cte-bantam:MIMAT0009551:Capitella:teleta:bantam	1	3	3.0	0.0
ptr-mir-1303:MI0008524:Pan:troglodytes:miR-1303:stem-loop	1	8	2.6666666666666665	0.0
ssc-miR-1285:MIMAT0013954:Sus:scrofa:miR-1285	1	8	2.6666666666666665	0.0
ppy-mir-1303:MI0015261:Pongo:pygmaeus:miR-1303:stem-loop	1	8	2.6666666666666665	0.0
tch-miR-26a-2-5p:MIMAT0036602:Tupaia:chinensis:miR-26a-2-5p	1	2	2.0	0.0
ipu-let-7d:MIMAT0029377:Ictalurus:punctatus:let-7d|dre-let-7d-5p:MIMAT0001762:Danio:rerio:let-7d-5p|tni-let-7d:MIMAT0002996:Tetraodon:nigroviridis:let-7d|pol-let-7d-5p:MIMAT0025418:Paralichthys:olivaceus:let-7d-5p|ssa-let-7d-5p:MIMAT0032703:Salmo:salar:let-7d-5p|fru-let-7d:MIMAT0002995:Fugu:rubripes:let-7d	1	2	2.0	0.0
lgi-miR-2d:MIMAT0009559:Lottia:gigantea:miR-2d	1	2	2.0	0.0
