depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	1	285973
1	superkingdom	10239	1	Viruses	0	43
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	38
3	family	10501	35237	Phycodnaviridae	0	6
4	genus	181083	10501	Chlorovirus	0	4
5	species	381899	181083	Paramecium bursaria Chlorella virus A1	0	4
6	no rank	399781	381899	Paramecium bursaria Chlorella virus FR483	4	0
3	family	151340	35237	Papillomaviridae	0	3
4	genus	1513241	151340	Dyonupapillomavirus	0	3
5	species	1513250	1513241	Dyonupapillomavirus 1	0	3
6	no rank	998829	1513250	Zalophus californianus papillomavirus 1	3	0
3	family	423358	35237	Bicaudaviridae	0	22
4	no rank	1123963	423358	unclassified Bicaudaviridae	0	22
5	species	285013	1123963	Sulfolobus virus STSV1	22	0
3	order	548681	35237	Herpesvirales	0	4
2	no rank	35268	10239	Retro-transcribing viruses	0	5
3	family	11632	35268	Retroviridae	0	5
4	subfamily	327045	11632	Orthoretrovirinae	0	5
5	genus	153136	327045	Deltaretrovirus	0	5
6	species	194441	153136	Primate T-lymphotropic virus 2	0	5
7	no rank	33748	194441	Simian T-lymphotropic virus 2	5	0
1	no rank	131567	1	cellular organisms	42996	242934
2	superkingdom	2	131567	Bacteria	1302	8445
3	phylum	1117	2	Cyanobacteria	12	182
4	order	1161	1117	Nostocales	0	13
5	family	1162	1161	Nostocaceae	0	13
6	genus	1177	1162	Nostoc	0	10
7	species	28072	1177	Nostoc sp. PCC 7524	3	0
7	species	272131	1177	Nostoc punctiforme	0	7
8	no rank	63737	272131	Nostoc punctiforme PCC 73102	7	0
6	genus	56106	1162	Cylindrospermum	0	3
7	species	142864	56106	Cylindrospermum stagnale	0	3
8	no rank	56107	142864	Cylindrospermum stagnale PCC 7417	3	0
4	order	52604	1117	Pleurocapsales	0	23
5	genus	44474	52604	Pleurocapsa	0	12
6	species	54308	44474	Pleurocapsa minor	0	12
7	no rank	118163	54308	Pleurocapsa sp. PCC 7327	12	0
5	genus	54298	52604	Chroococcidiopsis	0	7
6	species	54299	54298	Chroococcidiopsis thermalis	0	7
7	no rank	251229	54299	Chroococcidiopsis thermalis PCC 7203	7	0
4	class	307596	1117	Gloeobacteria	0	3
5	order	307595	307596	Gloeobacterales	0	3
6	genus	33071	307595	Gloeobacter	0	3
7	species	33072	33071	Gloeobacter violaceus	0	3
8	no rank	251221	33072	Gloeobacter violaceus PCC 7421	3	0
4	subclass	1301283	1117	Oscillatoriophycideae	5	138
5	order	1118	1301283	Chroococcales	0	51
6	genus	1125	1118	Microcystis	4	3
7	species	1126	1125	Microcystis aeruginosa	3	0
6	genus	1129	1118	Synechococcus	2	10
7	species	69042	1129	Synechococcus sp. WH 5701	5	0
7	species	585423	1129	Synechococcus sp. KORDI-49	3	0
6	genus	43988	1118	Cyanothece	2	18
7	species	65393	43988	Cyanothece sp. PCC 7424	9	0
7	species	391612	43988	Cyanothece sp. CCY0110	3	0
6	genus	155977	1118	Acaryochloris	0	3
7	species	155978	155977	Acaryochloris marina	0	3
8	no rank	329726	155978	Acaryochloris marina MBIC11017	3	0
6	genus	217161	1118	Chamaesiphon	0	3
7	species	1173032	217161	Chamaesiphon minutus	0	3
8	no rank	1173020	1173032	Chamaesiphon minutus PCC 6605	3	0
6	genus	263510	1118	Crocosphaera	0	3
7	species	263511	263510	Crocosphaera watsonii	3	0
6	genus	582491	1118	Rubidibacter	0	3
7	species	582514	582491	Rubidibacter lacunae	0	3
8	no rank	582515	582514	Rubidibacter lacunae KORDI 51-2	3	0
5	order	1150	1301283	Oscillatoriales	2	85
6	genus	1152	1150	Pseudanabaena	0	44
7	species	927669	1152	Pseudanabaena biceps	0	44
8	no rank	927668	927669	Pseudanabaena biceps PCC 7429	44	0
6	genus	1158	1150	Oscillatoria	0	3
7	species	118323	1158	Oscillatoria acuminata	0	3
8	no rank	56110	118323	Oscillatoria acuminata PCC 6304	3	0
6	genus	1205	1150	Trichodesmium	0	5
7	species	1206	1205	Trichodesmium erythraeum	0	5
8	no rank	203124	1206	Trichodesmium erythraeum IMS101	5	0
6	genus	28073	1150	Lyngbya	7	10
7	species	118322	28073	Lyngbya aestuarii	0	4
8	no rank	1348334	118322	Lyngbya aestuarii BL J	4	0
7	species	313612	28073	Lyngbya sp. PCC 8106	6	0
6	genus	44471	1150	Microcoleus	0	4
7	species	119532	44471	Microcoleus vaginatus	0	4
8	no rank	756067	119532	Microcoleus vaginatus FGP-2	4	0
6	genus	47251	1150	Leptolyngbya	0	6
7	species	1385935	47251	Leptolyngbya sp. Heron Island J	4	0
6	genus	669368	1150	Coleofasciculus	0	3
7	species	64178	669368	Coleofasciculus chthonoplastes	0	3
8	no rank	118168	64178	Coleofasciculus chthonoplastes PCC 7420	3	0
3	phylum	1224	2	Proteobacteria	266	3928
4	class	1236	1224	Gammaproteobacteria	325	1122
5	order	72273	1236	Thiotrichales	0	42
6	family	135616	72273	Piscirickettsiaceae	0	5
6	family	135617	72273	Thiotrichaceae	0	37
7	genus	1021	135617	Beggiatoa	0	35
8	species	422289	1021	Beggiatoa sp. PS	35	0
5	order	72274	1236	Pseudomonadales	0	217
6	family	468	72274	Moraxellaceae	5	70
7	genus	469	468	Acinetobacter	9	47
8	species	202952	469	Acinetobacter gerneri	0	3
9	no rank	1330037	202952	Acinetobacter gerneri MTCC 9824	3	0
8	species group	909768	469	Acinetobacter calcoaceticus/baumannii complex	0	10
9	species	470	909768	Acinetobacter baumannii	9	1
8	species	1507807	469	Acinetobacter sp. MII	31	0
7	genus	475	468	Moraxella	0	4
7	genus	497	468	Psychrobacter	2	4
7	genus	212791	468	Enhydrobacter	0	4
8	species	225324	212791	Enhydrobacter aerosaccus	0	4
9	no rank	553217	225324	Enhydrobacter aerosaccus SK60	4	0
6	family	135621	72274	Pseudomonadaceae	1	141
7	genus	286	135621	Pseudomonas	42	97
8	species group	136841	286	Pseudomonas aeruginosa group	0	10
9	species	287	136841	Pseudomonas aeruginosa	8	0
8	species group	136843	286	Pseudomonas fluorescens group	0	13
9	species	294	136843	Pseudomonas fluorescens	1	8
10	no rank	746360	294	Pseudomonas fluorescens WH6	3	0
