ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
bta-mir-2898:MI0013073:Bos:taurus:miR-2898:stem-loop	3	8725	8725.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	10	20	14.5	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	11	17	9.333333333333332	0.0
hsa-mir-4459:MI0016805:Homo:sapiens:miR-4459:stem-loop	9	20	8.0	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	4	11	7.5	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	7	7	6.5	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	5	6	6.0	0.0
gga-mir-466:MI0003713:Gallus:gallus:miR-466:stem-loop	3	5	5.0	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	2	7	3.5	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	5	10	2.833333333333333	0.0
ptr-mir-1273:MI0008474:Pan:troglodytes:miR-1273:stem-loop	4	9	2.5	0.0
ppy-mir-1273e:MI0020933:Pongo:pygmaeus:miR-1273e:stem-loop	2	3	2.5	0.0
hsa-mir-4472-2:MI0016824:Homo:sapiens:miR-4472-2:stem-loop	1	2	2.0	0.0
hsa-mir-1273g:MI0018003:Homo:sapiens:miR-1273g:stem-loop	2	2	2.0	0.0
hsa-mir-3929:MI0016439:Homo:sapiens:miR-3929:stem-loop	2	2	2.0	0.0
mml-mir-619:MI0007872:Macaca:mulatta:miR-619:stem-loop	2	3	1.5	0.0
ppy-mir-1254:MI0015212:Pongo:pygmaeus:miR-1254:stem-loop	1	1	1.0	0.0
mmu-mir-1187:MI0006285:Mus:musculus:miR-1187:stem-loop	1	1	1.0	0.0
osa-MIR168a:MI0001115:Oryza:sativa:miR168a:stem-loop	1	1	1.0	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	1	1	1.0	0.0
gma-MIR394e:MI0019775:Glycine:max:miR394e:stem-loop	1	1	1.0	0.0
nta-MIR6020b:MI0020235:Nicotiana:tabacum:miR6020b:stem-loop	1	1	1.0	0.0
cgr-mir-1285:MI0020390:Cricetulus:griseus:miR-1285:stem-loop	1	1	1.0	0.0
hsa-mir-5585:MI0019142:Homo:sapiens:miR-5585:stem-loop	1	1	1.0	0.0
hsa-mir-5096:MI0018004:Homo:sapiens:miR-5096:stem-loop	1	1	1.0	0.0
ppy-mir-566:MI0015057:Pongo:pygmaeus:miR-566:stem-loop	2	2	0.8333333333333333	0.0
hsa-mir-619:MI0003633:Homo:sapiens:miR-619:stem-loop	1	2	0.5	0.0
oan-mir-20a-1:MI0006872:Ornithorhynchus:anatinus:miR-20a-1:stem-loop	1	1	0.5	0.0
bol-MIR9411:MI0029005:Brassica:oleracea:miR9411:stem-loop	1	1	0.5	0.0
ptr-mir-619:MI0008818:Pan:troglodytes:miR-619:stem-loop	1	2	0.5	0.0
ppy-mir-619:MI0015104:Pongo:pygmaeus:miR-619:stem-loop	1	2	0.5	0.0
hsa-mir-1972-2:MI0015977:Homo:sapiens:miR-1972-2:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-5708:MI0019316:Homo:sapiens:miR-5708:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-1972-1:MI0009982:Homo:sapiens:miR-1972-1:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-1285-1:MI0006346:Homo:sapiens:miR-1285-1:stem-loop	1	1	0.3333333333333333	0.0
ppy-mir-1285a:MI0015241:Pongo:pygmaeus:miR-1285a:stem-loop	1	1	0.3333333333333333	0.0
ptr-mir-1285:MI0008486:Pan:troglodytes:miR-1285:stem-loop	1	1	0.3333333333333333	0.0
ipu-let-7b-1:MI0024441:Ictalurus:punctatus:let-7b-1:stem-loop	1	1	0.25	0.0
dre-let-7b:MI0001865:Danio:rerio:let-7b:stem-loop	1	1	0.25	0.0
ipu-let-7b-2:MI0024440:Ictalurus:punctatus:let-7b-2:stem-loop	1	1	0.25	0.0
oha-let-7b:MI0031305:Ophiophagus:hannah:let-7b:stem-loop	1	1	0.25	0.0
