ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
fru-mir-200a:MI0003303:Fugu:rubripes:miR-200a:stem-loop	4	20	19.1	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	6	12	11.5	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	10	13	11.0	0.0
hsa-mir-5096:MI0018004:Homo:sapiens:miR-5096:stem-loop	6	10	10.0	0.0
ipu-mir-7550:MI0024681:Ictalurus:punctatus:miR-7550:stem-loop	2	7	7.0	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	4	7	5.5	0.0
aly-MIR394b:MI0014575:Arabidopsis:lyrata:miR394b:stem-loop	3	5	5.0	0.0
efu-mir-9226:MI0028498:Eptesicus:fuscus:miR-9226:stem-loop	3	4	4.0	0.0
mmu-mir-101c:MI0016974:Mus:musculus:miR-101c:stem-loop	2	4	4.0	0.0
hsa-mir-8086:MI0025922:Homo:sapiens:miR-8086:stem-loop	3	5	4.0	0.0
ola-mir-24c:MI0019464:Oryzias:latipes:miR-24c:stem-loop	1	3	3.0	0.0
ola-mir-301a:MI0019498:Oryzias:latipes:miR-301a:stem-loop	1	3	3.0	0.0
smo-MIR1102:MI0006089:Selaginella:moellendorffii:miR1102:stem-loop	1	3	3.0	0.0
sja-mir-3480:MI0015303:Schistosoma:japonicum:miR-3480:stem-loop	1	3	3.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	4	4	3.0	0.0
ppy-mir-1273e:MI0020933:Pongo:pygmaeus:miR-1273e:stem-loop	3	3	2.5	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	3	4	2.5	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	3	3	2.5	0.0
gga-mir-7-3:MI0001269:Gallus:gallus:miR-7-3:stem-loop	2	3	2.3333333333333335	0.0
ssa-mir-21a-1:MI0026626:Salmo:salar:miR-21a-1:stem-loop	1	4	2.0	0.0
gma-MIR6300:MI0021724:Glycine:max:miR6300:stem-loop	2	2	2.0	0.0
bma-let-7:MI0013319:Brugia:malayi:let-7:stem-loop	1	2	2.0	0.0
ssa-mir-21a-2:MI0026627:Salmo:salar:miR-21a-2:stem-loop	1	4	2.0	0.0
cfa-mir-615:MI0010419:Canis:familiaris:miR-615:stem-loop	1	2	2.0	0.0
csi-MIR164:MI0013295:Citrus:sinensis:miR164:stem-loop	1	2	2.0	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	3	4	1.5	0.0
cfa-mir-151:MI0008011:Canis:familiaris:miR-151:stem-loop	1	6	1.5	0.0
cgr-mir-151:MI0020412:Cricetulus:griseus:miR-151:stem-loop	1	6	1.5	0.0
gga-mir-106:MI0001210:Gallus:gallus:miR-106:stem-loop	1	3	1.5	0.0
tgu-mir-106:MI0013818:Taeniopygia:guttata:miR-106:stem-loop	1	3	1.5	0.0
rno-mir-151:MI0000647:Rattus:norvegicus:miR-151:stem-loop	1	6	1.5	0.0
mmu-mir-151:MI0000173:Mus:musculus:miR-151:stem-loop	1	6	1.5	0.0
hsa-mir-4459:MI0016805:Homo:sapiens:miR-4459:stem-loop	3	4	1.5	0.0
efu-mir-324:MI0028738:Eptesicus:fuscus:miR-324:stem-loop	2	2	1.0666666666666667	0.0
hsa-mir-548h-4:MI0006414:Homo:sapiens:miR-548h-4:stem-loop	3	3	1.0476190476190477	0.0
eca-mir-33a:MI0012935:Equus:caballus:miR-33a:stem-loop	1	1	1.0	0.0
mmu-mir-6240:MI0021587:Mus:musculus:miR-6240:stem-loop	1	1	1.0	0.0
ssc-mir-192:MI0013127:Sus:scrofa:miR-192:stem-loop	1	1	1.0	0.0
ggo-mir-429:MI0020852:Gorilla:gorilla:miR-429:stem-loop	1	1	1.0	0.0
aca-mir-196a-1:MI0018791:Anolis:carolinensis:miR-196a-1:stem-loop	1	1	1.0	0.0
hsa-mir-5684:MI0019285:Homo:sapiens:miR-5684:stem-loop	1	2	1.0	0.0
hsa-mir-7641-2:MI0024976:Homo:sapiens:miR-7641-2:stem-loop	1	1	1.0	0.0
cca-MIR167:MI0021070:Cynara:cardunculus:miR167:stem-loop	1	1	1.0	0.0
ppa-mir-10a:MI0002792:Pan:paniscus:miR-10a:stem-loop	1	1	1.0	0.0
pab-MIR160a:MI0016116:Picea:abies:miR160a:stem-loop	1	1	1.0	0.0
mdo-let-7a-1:MI0005360:Monodelphis:domestica:let-7a-1:stem-loop	1	1	1.0	0.0
hsa-mir-4454:MI0016800:Homo:sapiens:miR-4454:stem-loop	1	1	1.0	0.0
xtr-mir-191:MI0004941:Xenopus:tropicalis:miR-191:stem-loop	1	1	1.0	0.0
mmu-mir-361:MI0000761:Mus:musculus:miR-361:stem-loop	1	1	1.0	0.0
ppy-mir-590:MI0015077:Pongo:pygmaeus:miR-590:stem-loop	1	1	1.0	0.0
hhi-mir-7641:MI0025423:Hippoglossus:hippoglossus:miR-7641:stem-loop	1	1	1.0	0.0
hsa-mir-619:MI0003633:Homo:sapiens:miR-619:stem-loop	1	1	1.0	0.0
xtr-mir-148a:MI0004905:Xenopus:tropicalis:miR-148a:stem-loop	1	1	1.0	0.0
mml-mir-147b:MI0007637:Macaca:mulatta:miR-147b:stem-loop	1	1	1.0	0.0
ppy-mir-1268:MI0015226:Pongo:pygmaeus:miR-1268:stem-loop	1	1	1.0	0.0
mmu-mir-21b:MI0021906:Mus:musculus:miR-21b:stem-loop	1	1	1.0	0.0
gma-MIR5780d:MI0031058:Glycine:max:miR5780d:stem-loop	1	1	1.0	0.0
ssl-MIR828:MI0019355:Salvia:sclarea:miR828:stem-loop	1	1	1.0	0.0
mml-mir-297:MI0007682:Macaca:mulatta:miR-297:stem-loop	1	1	1.0	0.0
tch-let-7a:MI0031142:Tupaia:chinensis:let-7a:stem-loop	1	1	1.0	0.0
hsa-mir-548z:MI0016688:Homo:sapiens:miR-548z:stem-loop	2	2	1.0	0.0
ptr-mir-1273:MI0008474:Pan:troglodytes:miR-1273:stem-loop	2	3	1.0	0.0
osa-MIR5487:MI0019005:Oryza:sativa:miR5487:stem-loop	1	1	1.0	0.0
cgr-mir-1285:MI0020390:Cricetulus:griseus:miR-1285:stem-loop	1	1	1.0	0.0
mmu-let-7j:MI0021908:Mus:musculus:let-7j:stem-loop	1	1	1.0	0.0
mmu-mir-6236:MI0021583:Mus:musculus:miR-6236:stem-loop	1	1	1.0	0.0
hsa-mir-548aa-2:MI0016690:Homo:sapiens:miR-548aa-2:stem-loop	2	3	0.9166666666666666	0.0
hsa-mir-548t:MI0014164:Homo:sapiens:miR-548t:stem-loop	2	3	0.9166666666666666	0.0
hsa-mir-548aa-1:MI0016689:Homo:sapiens:miR-548aa-1:stem-loop	2	3	0.9166666666666666	0.0
hsa-mir-1285-1:MI0006346:Homo:sapiens:miR-1285-1:stem-loop	2	2	0.8333333333333333	0.0
ptr-mir-1285:MI0008486:Pan:troglodytes:miR-1285:stem-loop	2	2	0.8333333333333333	0.0
ssc-mir-1285:MI0013164:Sus:scrofa:miR-1285:stem-loop	2	2	0.75	0.0
aqc-MIR482a:MI0012107:Aquilegia:caerulea:miR482a:stem-loop	1	2	0.6666666666666666	0.0
ptr-mir-566:MI0008781:Pan:troglodytes:miR-566:stem-loop	2	2	0.6666666666666666	0.0
ppy-mir-566:MI0015057:Pongo:pygmaeus:miR-566:stem-loop	2	2	0.6666666666666666	0.0
aqc-MIR482c:MI0012109:Aquilegia:caerulea:miR482c:stem-loop	1	2	0.6666666666666666	0.0
aqc-MIR482b:MI0012108:Aquilegia:caerulea:miR482b:stem-loop	1	2	0.6666666666666666	0.0
hsa-mir-566:MI0003572:Homo:sapiens:miR-566:stem-loop	2	2	0.6666666666666666	0.0
hsa-mir-4301:MI0015828:Homo:sapiens:miR-4301:stem-loop	1	1	0.5	0.0
ola-mir-92a-2:MI0019419:Oryzias:latipes:miR-92a-2:stem-loop	1	1	0.5	0.0
mml-mir-619:MI0007872:Macaca:mulatta:miR-619:stem-loop	1	1	0.5	0.0
ppy-mir-619:MI0015104:Pongo:pygmaeus:miR-619:stem-loop	1	1	0.5	0.0
dre-mir-92a-1:MI0001951:Danio:rerio:miR-92a-1:stem-loop	1	1	0.5	0.0
efu-mir-9284:MI0028621:Eptesicus:fuscus:miR-9284:stem-loop	1	1	0.5	0.0
mmu-mir-106b:MI0000407:Mus:musculus:miR-106b:stem-loop	1	1	0.3333333333333333	0.0
cgr-mir-106b:MI0020379:Cricetulus:griseus:miR-106b:stem-loop	1	1	0.3333333333333333	0.0
tni-mir-20:MI0003444:Tetraodon:nigroviridis:miR-20:stem-loop	1	1	0.3333333333333333	0.0
ssa-mir-7a-4:MI0026748:Salmo:salar:miR-7a-4:stem-loop	1	1	0.3333333333333333	0.0
gga-mir-466:MI0003713:Gallus:gallus:miR-466:stem-loop	1	1	0.3333333333333333	0.0
cin-mir-7:MI0007155:Ciona:intestinalis:miR-7:stem-loop	1	1	0.3333333333333333	0.0
ssa-mir-20a-2:MI0026602:Salmo:salar:miR-20a-2:stem-loop	1	1	0.3333333333333333	0.0
gra-MIR482d:MI0027819:Gossypium:raimondii:miR482d:stem-loop	1	1	0.3333333333333333	0.0
ssa-mir-7a-5:MI0026749:Salmo:salar:miR-7a-5:stem-loop	1	1	0.3333333333333333	0.0
mmu-mir-466i:MI0006282:Mus:musculus:miR-466i:stem-loop	1	1	0.3333333333333333	0.0
pma-let-7c:MI0017149:Petromyzon:marinus:let-7c:stem-loop	1	1	0.3333333333333333	0.0
tni-let-7e:MI0003214:Tetraodon:nigroviridis:let-7e:stem-loop	1	1	0.3333333333333333	0.0
ssa-mir-7a-7:MI0026751:Salmo:salar:miR-7a-7:stem-loop	1	1	0.3333333333333333	0.0
ppy-mir-1285a:MI0015241:Pongo:pygmaeus:miR-1285a:stem-loop	1	1	0.3333333333333333	0.0
xtr-mir-20a:MI0004911:Xenopus:tropicalis:miR-20a:stem-loop	1	1	0.3333333333333333	0.0
ssa-mir-7a-1:MI0026745:Salmo:salar:miR-7a-1:stem-loop	1	1	0.3333333333333333	0.0
rno-mir-106b:MI0000889:Rattus:norvegicus:miR-106b:stem-loop	1	1	0.3333333333333333	0.0
ola-let-7e:MI0019443:Oryzias:latipes:let-7e:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-548h-2:MI0006412:Homo:sapiens:miR-548h-2:stem-loop	2	2	0.2976190476190476	0.0
ptr-mir-1303:MI0008524:Pan:troglodytes:miR-1303:stem-loop	1	1	0.25	0.0
hsa-mir-1303:MI0006370:Homo:sapiens:miR-1303:stem-loop	1	1	0.25	0.0
