GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
GAS5	3851	182720	268767.91336996504	0.0
SNHG1	5215	82815	110837.6333333338	0.0
MT-TE	2591	96544	96544.0	0.0
RNY1	1919	92178	68826.98815342101	0.0
MT-RNR2	15808	68455	45893.98650793645	0.0
SNORD48	369	43854	42617.5	0.0
RNY4	2321	147993	37034.941366221334	0.0
RNY4P10	1905	146086	36722.83399324255	0.0
SNORD78	1306	36678	36618.0	0.0
SNHG5	1640	35907	35930.866666666945	0.0
Y_RNA.320	1452	133415	30630.606164968645	0.0
SNORD104	915	29595	29594.2	0.0
MT-RNR1	7918	29318	29304.7	0.0
RNY4P7	1251	128850	29214.439339903678	0.0
SNORD63	1180	26922	26922.0	0.0
MT-TF	1909	24515	24515.0	0.0
VTRNA1-2	1073	24065	23346.08333333333	0.0
SNORD101	786	20490	20490.0	0.0
SNORD3A	3353	108481	19040.8587674683	0.0
SNORD3C	3199	108170	18853.025434134957	0.0
SNORD3B-2	3089	107154	18305.894481753887	0.0
SNORD3B-1	3022	107053	18276.477815087208	0.0
MT-TS2	1095	17858	17837.5	0.0
RPL17	1457	13593	16835.011099912936	0.0
C17orf76-AS1	864	15103	15371.323076923041	0.0
MT-TP	541	14247	14247.0	0.0
SNORD60	833	13800	13793.309523809525	0.0
SNORD82	856	13781	13713.59090909091	0.0
MT-TH	1340	10961	10961.0	0.0
RPL4	754	10692	10085.841943187572	0.0
ERBB2	358	9618	9624.27445697577	0.0
SNORD38A	477	8928	8907.944444444445	0.0
SNORD6	681	8905	8893.0	0.0
EIF4A2	1271	10672	8548.183495671079	0.0
RNY4P20	690	44222	8537.617327117334	0.0
SNORD69	722	8468	8468.0	0.0
SNORD12C	511	8224	8223.333333333332	0.0
MT-ND4	4656	9385	8062.608333333313	0.0
U3.26	1128	92262	7811.884025185238	0.0
RNU3P3	1261	93159	7726.523220452528	0.0
U3.48	1190	92980	7710.979282584835	0.0
U3.66	1004	91247	7580.901834138007	0.0
SNORD43	836	11067	7517.866666666666	0.0
SNORD119	629	7510	7510.0	0.0
VTRNA2-1	891	7396	7394.666666666667	0.0
SNORD13	368	7259	7017.0845238095235	0.0
ZMYM2	319	6789	6845.0000000000055	0.0
RPL5	486	13508	6815.222323999531	0.0
MT-CO2	3708	9015	6746.933333333308	0.0
SNORD21	446	13463	6731.5	0.0
MTRNR2L8	4406	25159	6663.821825396741	0.0
TAF1D	1033	9720	6619.386190476236	0.0
MT-CO1	5584	12034	6387.9892857142695	0.0
RNU5B-1	1127	6712	5778.8383477633415	0.0
SNORD58C	811	11427	5713.5	0.0
MTRNR2L12	4244	21976	5588.615873015826	0.0
MT-ND5	3585	6330	5472.662301587302	0.0
RPL7A	611	4871	5431.349944844712	0.0
SNORD93	474	5416	5416.0	0.0
RPL13A	1082	6994	5226.821692768028	0.0
MTRNR2L2	3459	20479	5160.734920634872	0.0
MT-CYB	2407	5096	4707.951190476191	0.0
RPL3	726	7221	4480.364901764904	0.0
RNY5	666	4497	4350.25	0.0
RABGGTB	800	6916	4308.744047619046	0.0
MT-ATP6	2508	5440	4198.500000000005	0.0
hsa-mir-6723.1	4052	9142	4010.947619047628	0.0
SCARNA9	273	5304	4007.9999999999945	0.0
RMRP	515	4000	3999.666666666667	0.0
MT-TK	798	3784	3783.3333333333335	0.0
SNORD12B	453	3774	3774.0	0.0
RNU5A-1	967	4718	3729.8716810966835	0.0
SCARNA15	198	3727	3719.333669108669	0.0
MT-ND1	2209	4263	3712.783333333334	0.0
SNORD46	650	6504	3550.5	0.0
EIF4A1	459	4964	3500.8052520391975	0.0
SNORD18A	675	10467	3488.8666666666873	0.0
SNORD66	427	3449	3444.3333333333335	0.0
HSPA8	480	3700	3440.5816321265484	0.0
AC023050.1	21	6642	3356.7833333333333	0.0
AC034205.1	22	6569	3283.7833333333333	0.0
WDR74	2192	10110	3223.4529060787404	0.0
RNU1-27P	2277	27444	3171.561021897248	0.0
RNU1-28P	2277	27444	3171.561021897248	0.0
RNVU1-18	2277	27444	3171.561021897248	0.0
RNU1-2	2277	27444	3171.561021897248	0.0
RNU1-1	2277	27444	3171.561021897248	0.0
RNU1-4	2277	27444	3171.561021897248	0.0
RNU1-3	2277	27444	3171.561021897248	0.0
MT-ND2	2553	5020	3141.7774891774907	0.0
GNB2L1	462	3025	3120.528355460962	0.0
C6orf48	361	3537	3108.5	0.0
SNORD100	427	3099	3099.0	0.0
MTRNR2L1	2072	12675	3090.12579365078	0.0
SNORD111B	373	3074	3074.0	0.0
SNORD5	696	8930	2973.8166666666857	0.0
SNORD46.1	518	5907	2954.0	0.0
SNORD70	281	2975	2949.5	0.0
RNVU1-17	1072	23506	2882.171127094875	0.0
RNU5E-1	732	3046	2880.296681096682	0.0
MT-TV	457	2873	2873.0	0.0
SNORD19.1	444	2873	2870.3333333333335	0.0
SNORD3D	1643	13576	2794.2774028748986	0.0
HOXA13	129	2728	2736.0	0.0
TMEM107	713	3817	2725.611111111113	0.0
SNORD11	206	2540	2540.0	0.0
TMC5	303	2577	2495.9199502252122	0.0
MT-CO3	1640	2761	2357.0833333333335	0.0
RPL21	595	4413	2339.868810582661	0.0
SNORD36A	540	4773	2293.3333333333335	0.0
SNORD117	368	2218	2218.0	0.0
Y_RNA.807	393	20352	2134.806598008916	0.0
SNORD102	517	4205	2102.3333333333335	0.0
NOP56	298	1207	2010.6333333333334	0.0
SNORD2	951	10012	1999.3333333333571	0.0
SNORD105	231	1986	1986.0	0.0
PRPF8	72	3788	1976.7499999999995	0.0
SNORD83A	357	2328	1923.333333333333	0.0
MLYCD	17	3778	1896.0	0.0
RPS8	438	2983	1893.787301587301	0.0
SNORD36B	501	3763	1881.5	0.0
RP5-857K21.7	1831	4131	1872.7333333333265	0.0
MTND2P28	1776	3712	1834.7774891774884	0.0
MT-TM	419	2282	1825.0	0.0
SNORD72	199	1806	1806.0	0.0
SNORD62A	282	3565	1780.5	0.0
SNORD62B	282	3565	1780.5	0.0
SNORD52	326	3400	1699.8333333333335	0.0
MT-ND3	809	1697	1668.3333333333335	0.0
SNORD18B	383	3339	1668.0333333333333	0.0
SNORD10	331	3320	1659.5	0.0
SNORD58A	796	8223	1644.266666666681	0.0
RNY4P27	764	8068	1633.2095278389404	0.0
RNU12	533	1651	1619.833333333333	0.0
RPL23A	411	1516	1591.8656358597586	0.0
RNU2-2P	2148	10046	1578.155024467942	0.0
SNHG16	223	1441	1540.7889228418637	0.0
C19orf48	300	1842	1523.9761904761901	0.0
snoU2_19.3	116	4381	1461.3333333333308	0.0
SNORD38B	381	2910	1451.25	0.0
SNORD37	301	1880	1448.5	0.0
RPL34	141	1365	1431.5666416916415	0.0
RNU11	395	1428	1427.3333333333335	0.0
SNORD53_SNORD92.1	199	1454	1425.0	0.0
PAQR5	237	18169	1380.3994325720475	0.0
SNORD15B	304	1450	1371.333333333333	0.0
UBAP2	202	2392	1224.397076023392	0.0
MT-TN	348	1222	1220.0	0.0
SNORD121B	206	2410	1214.0	0.0
SNORD12	236	1207	1207.0	0.0
GNL3	339	2014	1195.3333333333333	0.0
RBMX	307	1659	1190.1424366483188	0.0
MT-TQ	268	1179	1179.0	0.0
MTATP6P1	1382	2374	1171.6666666666674	0.0
SCARNA6	94	1171	1170.5	0.0
EIF2AK3	69	1167	1168.0	0.0
MTND4P12	1342	2338	1165.8611111111093	0.0
MRPL32	76	1156	1157.0	0.0
RPL13	368	1366	1149.7815170940169	0.0
DDX39B	207	2205	1140.8200728193372	0.0
Y_RNA.31	324	20307	1139.5433511057424	0.0
WBP11	79	2342	1137.7500000000002	0.0
RNU2-59P	871	2943	1136.1519269204982	0.0
AC110926.4	80	2347	1132.2926315789475	0.0
RNU5F-1	321	1177	1128.2196969696972	0.0
ZC3HAV1	251	1076	1081.1438672438671	0.0
SNORD84	157	2146	1072.5	0.0
Y_RNA.383	130	2312	1069.8285714285716	0.0
VTRNA1-1	343	1805	1062.9166666666667	0.0
SNORD45A	446	3681	1057.4000000000024	0.0
RPS3A	251	1549	1051.2026043278577	0.0
MT-TL2	378	1034	1031.5	0.0
LINC00910	1021	5776	1025.070509632411	0.0
Y_RNA.311	294	20169	1020.853906730065	0.0
Y_RNA.634	262	20093	1013.8166653766473	0.0
FLJ27365	94	998	1006.0	0.0
Y_RNA.761	291	20063	1005.1503353014936	0.0
Y_RNA.16	300	20073	1004.8711646831067	0.0
SNORD19B	330	2004	1002.0	0.0
SNORD15A	258	1622	989.3333333333336	0.0
TCOF1	70	953	959.6720238095237	0.0
FAT1	743	909	952.6333333333336	0.0
MIR941-1	53	948	948.0	0.0
SNORD1B	81	944	944.0	0.0
MT-TL1	424	933	929.0	0.0
RP11-1113L8.6	322	2798	913.7404761904786	0.0
MRPS22	86	908	912.6315476190479	0.0
SNORD88C	293	1834	912.5000000000001	0.0
SNORD90	165	911	911.0	0.0
POLR2H	67	893	908.0785714285714	0.0
U8.4	160	1872	898.3666666666667	0.0
SNORD33	250	2743	897.5000000000019	0.0
SNORD59A	232	898	897.5	0.0
RPPH1	250	900	897.4285714285714	0.0
RNU5D-1	347	971	886.6752525252529	0.0
RNVU1-7	1444	5257	879.7436254048799	0.0
RNVU1-9	1444	5257	879.7436254048799	0.0
SNORD24	318	1743	871.5	0.0
SNHG6	292	1177	871.1666666666663	0.0
SNORD58B	588	5278	866.8764411027533	0.0
SNORD19B.1	183	1041	863.3333333333334	0.0
SCARNA3	111	858	858.0	0.0
SNHG15	115	1258	849.7333333333328	0.0
MT-TY	292	840	840.0	0.0
Y_RNA.245	130	2741	802.4948539058254	0.0
SNORD4A	177	790	790.0	0.0
AC008738.2	57	806	789.1	0.0
MRPS16	59	786	785.9472222222222	0.0
MTRNR2L6	814	2772	773.6960317460321	0.0
RNY4P17	128	3860	749.8654151404147	0.0
SNORD42A	384	1487	743.25	0.0
RPS3	210	1259	727.606154542339	0.0
SNORA45	167	731	717.6666666666667	0.0
AC074212.6	22	714	714.0	0.0
EIF4G2	234	1065	712.5000000000001	0.0
Y_RNA.359	84	1483	708.6246753246755	0.0
RP11-217B1.2	75	708	708.0	0.0
Y_RNA.475	172	16825	706.2621958763623	0.0
SNORD105B	206	702	702.0	0.0
MT-ND4L	561	913	701.4166666666669	0.0
SNORD45C	320	2157	696.066666666667	0.0
RNU2-48P	923	6819	688.4459576987184	0.0
Y_RNA.619	260	18258	683.1918638536407	0.0
SNORD83B	256	1566	681.8333333333335	0.0
Y_RNA.477	248	18300	679.3934731258514	0.0
SNORD45B	291	3157	679.3166666666689	0.0
Y_RNA.537	248	18301	679.3101397925182	0.0
Y_RNA.288	247	18299	679.0601397925182	0.0
Y_RNA.627	238	18274	677.056093838472	0.0
TSTD3	233	18252	676.4818153391934	0.0
Y_RNA.481	230	18248	674.9030919349381	0.0
Y_RNA.620	228	18245	674.7707042280823	0.0
RP3-399J4.1	78	1129	671.5	0.0
Y_RNA.233	224	18123	669.9128537212857	0.0
Y_RNA.598	222	18126	669.8663829526901	0.0
Y_RNA.710	225	18125	669.4648846361919	0.0
Y_RNA.751	225	18125	669.4648846361919	0.0
Y_RNA.500	211	18108	667.1367935807094	0.0
MTRNR2L9	827	2669	666.685317460318	0.0
MALAT1	563	659	658.1999999999997	0.0
SNORD42B	286	1202	658.0	0.0
SNORD34	429	3240	648.0000000000007	0.0
TRNAI6	80	642	641.1428571428571	0.0
SNORD91A	146	638	637.5	0.0
U3.4	412	4804	626.9677647971799	0.0
RNU2-6P	1068	4887	623.8127972507184	0.0
MT-TC	97	612	612.0	0.0
EEF2	153	896	609.4999999999999	0.0
CTD-2651B20.7	146	612	607.5	0.0
HNRNPC	122	574	606.5216969131384	0.0
RP5-1186N24.3	42	605	605.0	0.0
SNORD99	131	602	602.0	0.0
SNORD95	410	2951	596.5499999999996	0.0
SNORD51	112	592	592.0	0.0
SNORD97	253	1115	590.5	0.0
MTND5P11	735	1217	579.4166666666666	0.0
SNORA20.3	88	798	568.5	0.0
SNORD41	149	561	561.0	0.0
SNORD45.3	170	2798	559.9500000000007	0.0
SNORD45.2	169	2797	559.7000000000007	0.0
Y_RNA.323	264	7809	555.6046371676923	0.0
RP5-857K21.11	616	932	547.25	0.0
NEAT1	499	559	546.020143656242	0.0
MT-ND6	278	712	543.3511904761905	0.0
SNORD14C	264	1625	540.3428571428564	0.0
Y_RNA.601	203	7761	538.7269459798096	0.0
MTND1P23	544	1081	537.0	0.0
Y_RNA.663	209	7698	536.3009816728603	0.0
MT-TR	255	523	523.0	0.0
Y_RNA.546	66	2292	521.9292768585523	0.0
SNORD20	169	518	518.0	0.0
SCARNA2	122	516	516.0	0.0
RNU2-61P	433	2434	512.9654761904753	0.0
RPS20	210	703	504.2392207998655	0.0
DNAJC18	24	509	499.7771414887794	0.0
RP11-10C24.2	229	3848	499.38340080971665	0.0
SNORD73A	204	1494	497.99999999999864	0.0
MTRNR2L3	439	2184	490.23015873015794	0.0
SNORD61	177	976	487.8333333333333	0.0
SNORD92	173	501	481.5	0.0
IKZF2	23	478	477.79999999999995	0.0
RNU2-36P	439	3640	472.2682697849104	0.0
PHKG2	28	477	466.8023809523809	0.0
SNORD91B	84	462	461.5	0.0
SNHG12	138	357	459.0871794871795	0.0
MT-TW	136	458	458.0	0.0
SNORD57	223	994	452.7000000000001	0.0
SNORD88A	98	452	452.0	0.0
U8.13	63	1111	451.5	0.0
SNORD70.1	138	551	450.99999999999994	0.0
SNORD126	131	443	443.0	0.0
TMEM25	60	439	438.84782608695673	0.0
RPL27A	165	504	433.7761460761463	0.0
SNORD111	173	430	430.0	0.0
RPL32	140	643	421.29881496735726	0.0
SNORD123	104	419	419.0	0.0
MT-TG	165	416	416.0	0.0
Y_RNA.13	238	1167	415.4195596518176	0.0
Y_RNA.670	8	460	408.70703968461686	0.0
RNU2-23P	668	4751	408.47486133689495	0.0
Y_RNA.161	161	3582	405.836076075205	0.0
SRRM2	248	385	405.7999999999997	0.0
AHSA2	58	398	403.1883116883117	0.0
EEF1A1	559	701	401.51226886061085	0.0
MTND6P4	139	592	398.3511904761903	0.0
RNU2-30P	760	5013	389.3265869139289	0.0
MT-TT	85	388	388.0	0.0
RPS2	203	494	387.5899545524678	0.0
C12orf57	227	532	383.4611414268391	0.0
SNORA75	76	381	378.8333333333333	0.0
RNU2-37P	258	1993	376.95439860309864	0.0
CTD-2651B20.6	72	380	375.5	0.0
RNU2-3P	351	1470	373.94195964536294	0.0
RNU2-46P	712	4850	368.94844479461017	0.0
DDX46	25	370	368.44653299916456	0.0
Y_RNA.318	36	769	367.4138888888889	0.0
SNORA20	72	593	363.5	0.0
Y_RNA.20	155	3446	362.0297487874516	0.0
SRSF1	110	366	361.89722222222224	0.0
SNORA9.3	52	1095	356.1999999999999	0.0
SNORD55	166	722	355.1666666666667	0.0
SNORD127	102	355	355.0	0.0
RP11-475J5.5	416	1464	351.02142857142826	0.0
SNORD118	192	724	349.64999999999986	0.0
SNHG8	126	490	348.9999999999999	0.0
RNU5A-8P	212	417	347.9835858585856	0.0
MT-TD	194	349	346.5	0.0
Y_RNA.264	86	802	344.4761904761904	0.0
SNHG7	157	344	343.66666666666674	0.0
RNY4P31	156	623	340.38174603174616	0.0
RPS13	167	624	337.4889129389128	0.0
SNORD110	161	827	336.99999999999994	0.0
RNU5E-4P	194	416	335.5919191919193	0.0
RP11-750B16.1	468	1077	334.70952380952343	0.0
SNORD53	132	359	330.0	0.0
RNY4P5	449	2079	329.89614045779246	0.0
RP11-380M21.2	382	1005	329.78333333333285	0.0
SNORD96A	227	949	326.7500000000001	0.0
MT-ATP8	323	619	326.16666666666646	0.0
PTCH2	178	495	325.08383838383827	0.0
MIR3676	36	340	323.6	0.0
RNU2-41P	399	3838	323.0276462228857	0.0
SNORA74A	64	322	322.0	0.0
MIR17HG	82	320	320.0	0.0
TNFRSF10D	227	350	317.5833333333333	0.0
RNU2-33P	244	1969	316.67602952602914	0.0
CTB-36O1.7	292	645	315.8511904761904	0.0
SNORD87	202	941	313.5833333333334	0.0
GPM6A	13	312	312.0	0.0
SOD2	471	537	309.0921126186521	0.0
ARHGAP35	105	302	301.99999999999994	0.0
ODC1	178	296	298.99999999999994	0.0
SNORD85	90	299	297.5	0.0
Y_RNA.133	58	367	295.96599999308563	0.0
RPL23	150	236	291.65779939015226	0.0
MT-TA	124	291	291.0	0.0
ATP5G3	167	2327	289.49947308724046	0.0
RP11-474J18.1	305	1215	287.7464285714283	0.0
RNY4P1	364	1783	284.41340130457775	0.0
ZFP36L1	172	276	283.99999999999994	0.0
SNORD88B	112	843	280.83333333333326	0.0
RPSA	119	452	277.6778102357214	0.0
Y_RNA.88	183	7423	277.6736992265633	0.0
Y_RNA.582	16	285	276.1794871794872	0.0
SNORD18C	193	1100	274.7333333333333	0.0
Y_RNA.505	200	7483	273.06003299083835	0.0
C1orf213	162	1294	272.83756521256544	0.0
MIR1255B1	31	317	272.5833333333333	0.0
Y_RNA.520	188	7462	272.4186931215573	0.0
Y_RNA.272	160	1292	270.8375652125655	0.0
RNU2-13P	316	3408	270.7908392991596	0.0
Y_RNA.550	181	7449	269.8409153437795	0.0
PABPC1	236	281	268.3949494949494	0.0
FTH1	302	411	266.96872307009045	0.0
RP11-10B2.1	325	788	261.29285714285726	0.0
Y_RNA.121	142	2297	260.0470921348596	0.0
MTRNR2L10	305	1257	259.98134920634897	0.0
VTRNA3-1P	95	991	259.4166666666667	0.0
SNORD121A	108	253	253.0	0.0
Y_RNA.336	134	1867	252.6051713661424	0.0
RPS11	117	353	252.522727272727	0.0
CUL3	126	247	252.00000000000037	0.0
