ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	234	5841	5841.0	0.0
hsa-mir-24-2:MI0000081:Homo:sapiens:miR-24-2:stem-loop	99	3461	3457.5	0.0
hsa-mir-141:MI0000457:Homo:sapiens:miR-141:stem-loop	78	2826	2826.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	154	2598	2598.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	134	1704	1704.0	0.0
hsa-mir-3607:MI0015997:Homo:sapiens:miR-3607:stem-loop	269	1551	1551.0	0.0
hsa-mir-200b:MI0000342:Homo:sapiens:miR-200b:stem-loop	107	1233	1233.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	164	1229	1229.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	25	808	808.0	0.0
hsa-mir-96:MI0000098:Homo:sapiens:miR-96:stem-loop	26	807	807.0	0.0
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	136	756	756.0	0.0
hsa-mir-452:MI0001733:Homo:sapiens:miR-452:stem-loop	60	755	755.0	0.0
hsa-mir-2110:MI0010629:Homo:sapiens:miR-2110:stem-loop	90	580	580.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	151	534	534.0	0.0
hsa-mir-33a:MI0000091:Homo:sapiens:miR-33a:stem-loop	14	523	523.0	0.0
hsa-mir-7-1:MI0000263:Homo:sapiens:miR-7-1:stem-loop	86	831	492.5	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	41	478	478.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	71	440	440.0	0.0
hsa-mir-15b:MI0000438:Homo:sapiens:miR-15b:stem-loop	23	386	386.0	0.0
hsa-mir-192:MI0000234:Homo:sapiens:miR-192:stem-loop	62	378	378.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	32	378	378.0	0.0
