ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_piR_020008|gb|DQ597482|Homo_sapiens:11:10487020:10487050:Minus	13	16	16.0	0.0
hsa_piR_010003|gb|DQ583465|Homo_sapiens:16:29385587:29385612:Minus	1	2	2.0	0.0
hsa_piR_019521|gb|DQ596805|Homo_sapiens:11:10487516:10487542:Minus	1	2	2.0	0.0
hsa_piR_021791|gb|DQ599849|Homo_sapiens:21:26029403:26029431:Minus	2	2	2.0	0.0
hsa_piR_008252|gb|DQ581210|Homo_sapiens:11:100030807:100030837:Plus	2	2	2.0	0.0
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	2	2	1.5	0.0
hsa_piR_002634|gb|DQ573559|Homo_sapiens:12:116962388:116962417:Plus	1	1	1.0	0.0
hsa_piR_023024|gb|DQ601473|Homo_sapiens:10:51258598:51258626:Minus	1	1	1.0	0.0
hsa_piR_004112|gb|DQ575607|Homo_sapiens:7:105175223:105175250:Plus	1	1	1.0	0.0
hsa_piR_021777|gb|DQ599833|Homo_sapiens:19:12672658:12672684:Minus	1	1	1.0	0.0
hsa_piR_007217|gb|DQ579838|Homo_sapiens:8:28973832:28973857:Minus	1	1	1.0	0.0
hsa_piR_000615|gb|DQ570764|Homo_sapiens:10:100244314:100244344:Plus	1	1	1.0	0.0
hsa_piR_008540|gb|DQ581594|Homo_sapiens:Y:24735847:24735876:Minus	1	1	1.0	0.0
hsa_piR_018534|gb|DQ595486|Homo_sapiens:9:37875991:37876020:Plus	1	1	1.0	0.0
hsa_piR_008416|gb|DQ581422|Homo_sapiens:17:19999582:19999607:Plus	1	1	1.0	0.0
hsa_piR_002727|gb|DQ573676|Homo_sapiens:17:18241671:18241696:Minus	1	1	1.0	0.0
hsa_piR_002141|gb|DQ572864|Homo_sapiens:9:129246927:129246953:Plus	1	1	1.0	0.0
hsa_piR_010894|gb|DQ584698|Homo_sapiens:8:68660258:68660288:Minus	1	1	1.0	0.0
hsa_piR_001587|gb|DQ572160|Homo_sapiens:8:132903804:132903830:Minus	1	1	1.0	0.0
hsa_piR_010129|gb|DQ583638|Homo_sapiens:2:111697267:111697295:Plus	1	1	1.0	0.0
hsa_piR_008012|gb|DQ580902|Homo_sapiens:1:1571847:1571873:Plus	1	1	1.0	0.0
hsa_piR_008763|gb|DQ581893|Homo_sapiens:2:87455617:87455644:Plus	1	1	1.0	0.0
hsa_piR_021710|gb|DQ599754|Homo_sapiens:1:44977864:44977890:Plus	1	1	1.0	0.0
hsa_piR_009051|gb|DQ582264|Homo_sapiens:11:10487350:10487380:Minus	1	1	1.0	0.0
hsa_piR_021969|gb|DQ600087|Homo_sapiens:15:95112748:95112778:Minus	1	1	1.0	0.0
hsa_piR_021290|gb|DQ599243|Homo_sapiens:3:125956265:125956291:Plus	1	1	1.0	0.0
hsa_piR_001168|gb|DQ571524|Homo_sapiens:2:117497628:117497655:Plus	1	1	1.0	0.0
hsa_piR_004985|gb|DQ576862|Homo_sapiens:12:110263185:110263214:Minus	1	1	1.0	0.0
hsa_piR_001169|gb|DQ571525|Homo_sapiens:17:21945564:21945589:Plus	1	1	0.5	0.0
hsa_piR_001300|gb|DQ571790|Homo_sapiens:15:60299768:60299798:Minus	1	1	0.5	0.0
hsa_piR_001797|gb|DQ572409|Homo_sapiens:15:60299769:60299799:Minus	1	1	0.5	0.0
hsa_piR_017141|gb|DQ593697|Homo_sapiens:15:49371480:49371510:Minus	1	1	0.2	0.0
hsa_piR_000534|gb|DQ570660|Homo_sapiens:15:49371477:49371507:Minus	1	1	0.2	0.0
hsa_piR_016884|gb|DQ593237|Homo_sapiens:15:49371474:49371502:Minus	1	1	0.2	0.0
hsa_piR_000535|gb|DQ570661|Homo_sapiens:15:49371483:49371511:Minus	1	1	0.2	0.0
hsa_piR_007299|gb|DQ579950|Homo_sapiens:15:49371479:49371509:Minus	1	1	0.2	0.0
