depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	7	2440
1	no rank	12908	1	unclassified sequences	0	4
2	no rank	151659	12908	environmental samples	0	4
3	species	155900	151659	uncultured organism	4	0
1	no rank	131567	1	cellular organisms	35	2401
2	superkingdom	2	131567	Bacteria	27	607
3	phylum	1224	2	Proteobacteria	12	394
4	class	1236	1224	Gammaproteobacteria	8	53
5	order	72273	1236	Thiotrichales	0	12
6	family	135617	72273	Thiotrichaceae	0	12
7	genus	90372	135617	Thiomargarita	0	12
8	no rank	298391	90372	environmental samples	0	12
9	species	298392	298391	uncultured Thiomargarita sp.	12	0
5	order	72274	1236	Pseudomonadales	0	4
6	family	135621	72274	Pseudomonadaceae	0	3
7	genus	286	135621	Pseudomonas	3	0
5	order	91347	1236	Enterobacteriales	0	18
6	family	543	91347	Enterobacteriaceae	1	17
7	genus	620	543	Shigella	0	15
8	species	624	620	Shigella sonnei	15	0
5	no rank	118884	1236	unclassified Gammaproteobacteria	16	0
4	class	28211	1224	Alphaproteobacteria	1	9
5	order	204457	28211	Sphingomonadales	0	5
6	family	41297	204457	Sphingomonadaceae	1	4
4	class	28216	1224	Betaproteobacteria	12	26
5	order	80840	28216	Burkholderiales	4	15
6	family	80864	80840	Comamonadaceae	4	1
6	no rank	119065	80840	unclassified Burkholderiales	1	6
7	no rank	224471	119065	Burkholderiales Genera incertae sedis	0	6
8	genus	92793	224471	Aquabacterium	0	6
9	no rank	158752	92793	environmental samples	0	6
10	species	158753	158752	uncultured Aquabacterium sp.	6	0
5	no rank	119066	28216	unclassified Betaproteobacteria	3	0
5	order	206389	28216	Rhodocyclales	0	3
6	family	75787	206389	Rhodocyclaceae	0	3
7	genus	73029	75787	Dechloromonas	0	3
8	species	188737	73029	Dechloromonas sp. HZ	3	0
4	no rank	32045	1224	unclassified Proteobacteria	9	0
4	subphylum	68525	1224	delta/epsilon subdivisions	0	275
5	class	28221	68525	Deltaproteobacteria	1	5
6	order	29	28221	Myxococcales	0	3
7	suborder	80812	29	Sorangiineae	0	3
8	family	49	80812	Polyangiaceae	0	3
5	class	29547	68525	Epsilonproteobacteria	1	268
6	no rank	34035	29547	unclassified Epsilonproteobacteria	268	0
3	phylum	1239	2	Firmicutes	0	23
4	class	91061	1239	Bacilli	0	3
5	order	186826	91061	Lactobacillales	0	3
4	class	186801	1239	Clostridia	0	18
5	order	186802	186801	Clostridiales	2	16
6	family	186807	186802	Peptococcaceae	0	6
7	genus	36853	186807	Desulfitobacterium	0	6
8	species	49338	36853	Desulfitobacterium hafniense	6	0
6	family	541000	186802	Ruminococcaceae	0	10
7	genus	216851	541000	Faecalibacterium	0	5
8	species	853	216851	Faecalibacterium prausnitzii	0	5
9	no rank	657322	853	Faecalibacterium prausnitzii SL3/3	5	0
7	no rank	552397	541000	unclassified Ruminococcaceae	5	0
3	no rank	2323	2	unclassified Bacteria	51	32
4	no rank	49928	2323	unclassified Bacteria (miscellaneous)	0	29
5	species	1292554	49928	bacterium 20-L049642-122-014-D03	29	0
3	no rank	48479	2	environmental samples	0	4
4	species	164851	48479	uncultured soil bacterium	3	0
3	superphylum	68336	2	Bacteroidetes/Chlorobi group	0	31
4	phylum	976	68336	Bacteroidetes	4	25
5	class	117743	976	Flavobacteriia	0	7
6	order	200644	117743	Flavobacteriales	0	7
7	family	49546	200644	Flavobacteriaceae	4	2
5	class	117747	976	Sphingobacteriia	0	11
6	order	200666	117747	Sphingobacteriales	0	11
7	family	84566	200666	Sphingobacteriaceae	0	9
8	genus	28453	84566	Sphingobacterium	9	0
5	class	768503	976	Cytophagia	0	3
6	order	768507	768503	Cytophagales	0	3
7	family	89373	768507	Cytophagaceae	0	3
3	phylum	201174	2	Actinobacteria	0	37
4	class	1760	201174	Actinobacteria	3	33
5	order	85006	1760	Micrococcales	1	4
6	family	1268	85006	Micrococcaceae	0	3
5	order	85007	1760	Corynebacteriales	0	23
6	family	85025	85007	Nocardiaceae	0	22
7	genus	1827	85025	Rhodococcus	0	22
8	species	373913	1827	Rhodococcus sp. B-1016	22	0
3	phylum	203682	2	Planctomycetes	0	10
4	class	203683	203682	Planctomycetia	0	10
5	order	112	203683	Planctomycetales	1	9
6	family	126	112	Planctomycetaceae	3	6
7	no rank	69476	126	unclassified Planctomycetaceae	5	0
3	phylum	203691	2	Spirochaetes	0	3
4	class	203692	203691	Spirochaetia	0	3
3	phylum	544448	2	Tenericutes	0	3
4	class	31969	544448	Mollicutes	0	3
2	superkingdom	2157	131567	Archaea	10	55
3	phylum	28889	2157	Crenarchaeota	0	6
4	no rank	48509	28889	environmental samples	0	6
5	species	115413	48509	uncultured marine crenarchaeote	6	0
3	no rank	48510	2157	environmental samples	6	13
4	species	115547	48510	uncultured archaeon	13	0
3	phylum	651137	2157	Thaumarchaeota	0	29
4	class	1643678	651137	Nitrososphaeria	0	29
5	order	1033996	1643678	Nitrososphaerales	0	29
6	family	1033997	1033996	Nitrososphaeraceae	0	29
7	genus	497726	1033997	Nitrososphaera	29	0
2	superkingdom	2759	131567	Eukaryota	13	1689
3	kingdom	33090	2759	Viridiplantae	0	3
3	no rank	33154	2759	Opisthokonta	0	1659
4	kingdom	4751	33154	Fungi	229	1430
