GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
TOR3A	63	1733	1733.0	0.0
NPTX2	71	1233	1225.6666666666667	0.0
ZIM2	20	889	887.7280040221217	0.0
MT-ND6	605	864	744.0833333333335	0.0
MT-ND5	650	781	654.5202380952385	0.0
MT-ND2	571	1291	653.0	0.0
MTND2P28	557	1276	638.0	0.0
MT-CO2	255	503	443.5833333333332	0.0
FCGR2A	99	388	386.5	0.0
MT-CYB	353	422	373.1166666666667	0.0
MT-CO3	283	634	360.74999999999994	0.0
RP11-72I8.1	75	354	354.0	0.0
MT-RNR2	316	462	332.2297619047619	0.0
MT-CO1	323	592	297.2166666666665	0.0
MT-ND4	320	371	291.3095238095239	0.0
IL12RB2	41	291	291.0000000000001	0.0
SCARNA15	27	272	272.0	0.0
hsa-mir-6723.1	284	549	263.63333333333327	0.0
RP5-857K21.11	190	531	261.75000000000006	0.0
HMBS	21	255	259.99999999999983	0.0
TTI2	147	256	259.0	0.0
HYLS1	31	199	199.0	0.0
SETP5	31	198	198.0	0.0
ACAD10	16	186	185.99999999999997	0.0
SHF	36	169	167.66666666666666	0.0
MT-ND1	154	191	165.41666666666666	0.0
MT-ND4L	119	160	152.83333333333331	0.0
RP11-958F21.1	9	140	140.0	0.0
RNFT1	22	160	140.0	0.0
C5orf42	7	135	134.3846153846154	0.0
MT-TP	77	127	127.0	0.0
MT-TE	75	118	118.0	0.0
TRPS1	25	125	117.66666666666666	0.0
AC073236.3	39	157	112.50000000000004	0.0
EFCAB11	28	107	112.16666666666667	0.0
ZNF521	12	121	108.0	0.0
SSBP1	7	107	107.0	0.0
ZNF772	13	118	100.81666666666668	0.0
MTND6P4	137	206	93.9166666666666	0.0
MTND5P11	174	195	92.90833333333332	0.0
MS4A15	4	86	85.0	0.0
MINK1	15	84	84.0	0.0
MT-ATP6	108	126	81.41666666666666	0.0
HOXA13	27	78	76.66666666666667	0.0
MYO3B	6	72	72.0	0.0
TMEM147	3	70	70.0	0.0
RP5-998N21.7	27	70	70.0	0.0
PHF14	4	70	70.0	0.0
MT-RNR1	53	65	65.0	0.0
MTND4P12	113	125	63.0	0.0
MT-TA	40	63	62.5	0.0
DGKA	22	60	60.0	0.0
MT-ND3	59	64	58.5	0.0
GPRC5B	28	57	57.0	0.0
PIK3CG	3	55	55.0	0.0
RPS28P8	5	54	54.0	0.0
LYPD3	4	53	52.5	0.0
TMEM245	15	61	48.0	0.0
RP11-473I1.10	29	48	48.0	0.0
MT-TT	37	48	48.0	0.0
SLC22A8	8	46	46.0	0.0
GVQW1	6	46	45.333333333333336	0.0
RP5-857K21.7	89	104	44.08333333333333	0.0
NFE4	20	132	44.00000000000002	0.0
LAMA4	3	42	42.0	0.0
RAI1	6	41	41.2	0.0
KTN1	9	39	41.111111111111114	0.0
ZNF180	11	53	40.724999999999994	0.0
MTATP6P1	72	84	40.583333333333336	0.0
HOXB8	18	39	39.0	0.0
ASAP1	1	38	38.0	0.0
AC092022.1	5	38	37.2	0.0
GCC2	12	73	37.195238095238096	0.0
KCNQ1OT1	68	74	36.89841269841269	0.0
AC011525.2	6	37	36.33333333333333	0.0
OSCAR	7	42	36.14285714285714	0.0
TANGO2	9	35	36.0	0.0
B3GNT2	8	35	35.0	0.0
SPAG5-AS1	10	33	35.0	0.0
AVL9	12	34	35.0	0.0
SLC9B1	12	34	34.00000000000001	0.0
MTRNR2L8	84	120	33.01785714285713	0.0
NNAT	5	33	33.0	0.0
MT-TL1	28	32	32.0	0.0
LAPTM4B	10	32	32.0	0.0
MTRNR2L12	90	128	31.86309523809522	0.0
PPP1R12A	4	31	31.0	0.0
RP11-18H21.2	15	31	31.0	0.0
RP11-110H1.8	4	33	30.6	0.0
GLI2	1	44	30.461538461538456	0.0
RP11-600F24.7	11	31	30.25	0.0
AC078855.1	11	30	30.0	0.0
SNX11	12	30	30.0	0.0
ANKUB1	10	22	29.25	0.0
AC114730.5	15	30	29.125	0.0
GABARAPL1	12	27	29.000000000000007	0.0
TP53BP2	5	28	28.0	0.0
MT-TS1	15	28	28.0	0.0
MT-TD	19	28	28.0	0.0
TUBGCP4	6	27	28.0	0.0
ACBD5	4	27	27.0	0.0
RP11-573D15.9	25	26	26.0	0.0
GPR180	5	26	26.0	0.0
MTRNR2L1	56	86	25.604761904761904	0.0
MTND6P3	59	89	25.249999999999993	0.0
MRFAP1	12	25	25.0	0.0
FGF8	5	25	25.0	0.0
RP11-782C8.2	4	36	24.5	0.0
MT-TQ	13	24	24.0	0.0
CTD-3088G3.8	13	20	23.666666666666668	0.0
OBSCN	9	53	23.138461538461538	0.0
CTD-2366F13.1	4	23	23.0	0.0
CEBPG	10	23	23.0	0.0
TBX3	4	23	23.0	0.0
NLRX1	11	23	23.0	0.0
ATMIN	9	28	22.6	0.0
CTTN	5	22	22.0	0.0
BEST1	17	18	22.0	0.0
AC010970.2	18	22	22.0	0.0
ARHGAP42	8	22	22.0	0.0
STK4	6	22	22.0	0.0
RP11-475J5.11	51	78	21.916666666666668	0.0
RP11-108M9.5	16	21	21.0	0.0
CTD-2328D6.1	19	21	21.0	0.0
ZNF773	13	21	21.0	0.0
MTND1P23	42	46	20.916666666666668	0.0
GSG1L	10	21	20.5	0.0
PDE4C	11	20	20.0	0.0
LINC00635	2	20	20.0	0.0
HES7	13	20	20.0	0.0
TBC1D3P1-DHX40P1	22	160	20.0	0.0
RP11-400N13.2	7	20	20.0	0.0
HYAL1	11	20	20.0	0.0
SCARF1	7	19	20.0	0.0
CACNG2	5	20	20.0	0.0
PKD1L2	3	13	19.2	0.0
COG8	12	19	19.0	0.0
TSIX	18	20	18.833333333333332	0.0
RP11-346D14.1	39	41	18.792857142857144	0.0
ING1	14	17	18.0	0.0
C1orf86	9	17	18.0	0.0
DNTTIP2	15	17	18.0	0.0
MT-TC	16	18	18.0	0.0
TMEM170B	5	18	18.0	0.0
AL033403.1	16	69	17.916666666666664	0.0
AL589675.1	16	69	17.916666666666664	0.0
AC008410.1	16	69	17.916666666666664	0.0
RP11-160E2.11	14	17	17.0	0.0
UBE2D4	3	17	17.0	0.0
ZNF814	9	10	17.0	0.0
SEMA4D	6	17	17.0	0.0
SYNE1	9	17	17.0	0.0
RSRC1	4	16	17.0	0.0
MIPOL1	32	32	16.870634920634924	0.0
RP11-461G12.2	26	41	16.75	0.0
SEC14L1	3	13	16.625	0.0
RPAP2	30	31	16.319444444444443	0.0
SLC1A6	12	16	16.267857142857142	0.0
RDH13	12	15	16.0	0.0
HIST2H2AB	15	16	16.0	0.0
NDUFAF3	14	16	16.0	0.0
C1orf159	10	16	15.999999999999998	0.0
TGIF1	6	8	15.999999999999998	0.0
TAX1BP1	14	14	15.999999999999996	0.0
RP13-726E6.2	8	16	15.333333333333332	0.0
AC112198.2	14	61	15.25	0.0
SRGAP3	2	28	15.25	0.0
SEC61A2	13	15	15.0	0.0
NOP58	5	15	15.0	0.0
COA1	14	15	15.0	0.0
ASAP3	5	15	15.0	0.0
PAX9	3	15	15.0	0.0
MEN1	4	15	14.999999999999996	0.0
RGPD5	10	71	14.717927170868345	0.0
RGPD6	10	71	14.714659197012136	0.0
PRRC2C	4	15	14.714285714285715	0.0
SRCIN1	2	12	14.5	0.0
TPTEP1	8	8	14.44126984126984	0.0
MATR3	7	13	14.333333333333332	0.0
MTND5P10	30	37	14.250000000000004	0.0
DUSP6	14	14	14.000000000000002	0.0
GALNT2	5	8	14.0	0.0
C1orf115	4	14	14.0	0.0
G3BP1	8	17	14.0	0.0
AP001442.2	3	12	14.0	0.0
ANKRD61	6	14	14.0	0.0
AC093897.1	3	22	14.0	0.0
TEX2	13	14	14.0	0.0
BAZ1A	4	14	13.999999999999998	0.0
RGPD8	8	68	13.798692810457514	0.0
RP11-475J5.4	28	40	13.583333333333337	0.0
COBLL1	5	12	13.5	0.0
ESRG	17	17	13.132478632478632	0.0
CCNL1	6	7	13.000000000000002	0.0
RPS27A	11	12	13.0	0.0
MIR1302-2	10	13	13.0	0.0
CEP97	5	13	13.0	0.0
MTMR2	6	9	13.0	0.0
TTC28-AS1	7	13	13.0	0.0
BMPR1A	7	13	13.0	0.0
C7orf55-LUC7L2	10	11	12.999999999999998	0.0
RPL10	8	9	12.999999999999998	0.0
RP11-777B9.5	34	57	12.866666666666669	0.0
MTND5P12	24	30	12.583333333333334	0.0
SHANK2	3	10	12.5	0.0
RP11-593P24.2	19	25	12.5	0.0
MPPE1	5	14	12.333333333333334	0.0
PLD1	9	12	12.25	0.0
ACYP2	8	10	12.249999999999998	0.0
RP11-475J5.6	29	31	12.249999999999998	0.0
TBC1D8B	38	42	12.248015873015877	0.0
FAM228B	20	20	12.11111111111111	0.0
CACYBP	10	12	12.0	0.0
RANBP9	8	12	12.0	0.0
NUFIP2	2	12	12.0	0.0
ESRP2	6	7	12.0	0.0
USP46	5	12	12.0	0.0
JAK3	5	12	12.0	0.0
RRAGC	2	12	12.0	0.0
RP11-506H20.2	5	12	12.0	0.0
RP11-983P16.4	7	11	12.0	0.0
MTRNR2L2	40	52	11.579761904761904	0.0
FOXP1	10	13	11.500000000000002	0.0
RP11-326C3.11	16	19	11.5	0.0
TOB2	10	12	11.5	0.0
LINC00504	20	20	11.445238095238096	0.0
KCTD13	10	11	11.0	0.0
MAP1LC3B	7	9	11.0	0.0
GID4	2	11	11.0	0.0
TNFRSF12A	10	11	11.0	0.0
ZC3H18	4	11	11.0	0.0
JMJD8	9	11	11.0	0.0
LPPR5	1	11	11.0	0.0
ANLN	8	11	11.0	0.0
ALDH1L1	2	11	11.0	0.0
RIC8A	9	11	11.0	0.0
STK35	6	11	11.0	0.0
NOSTRIN	2	11	11.0	0.0
GALE	7	8	11.0	0.0
SRC	1	11	11.0	0.0
ERCC1	11	11	11.0	0.0
PRSS58	2	11	11.0	0.0
