ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	45	1049	1039.5	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	11	869	431.3333333333333	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	11	869	431.3333333333333	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	12	221	208.33333333333334	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	37	189	189.0	0.0
hsa-mir-4708:MI0017341:Homo:sapiens:miR-4708:stem-loop	34	87	87.0	0.0
hsa-mir-98:MI0000100:Homo:sapiens:miR-98:stem-loop	6	28	18.5	0.0
hsa-mir-101-1:MI0000103:Homo:sapiens:miR-101-1:stem-loop	7	17	17.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	5	14	14.0	0.0
hsa-mir-548q:MI0010637:Homo:sapiens:miR-548q:stem-loop	6	12	12.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	6	10	10.0	0.0
hsa-mir-2116:MI0010635:Homo:sapiens:miR-2116:stem-loop	4	9	9.0	0.0
hsa-mir-199a-1:MI0000242:Homo:sapiens:miR-199a-1:stem-loop	8	20	8.333333333333332	0.0
hsa-mir-374a:MI0000782:Homo:sapiens:miR-374a:stem-loop	3	8	8.0	0.0
hsa-mir-5580:MI0019135:Homo:sapiens:miR-5580:stem-loop	6	8	8.0	0.0
hsa-mir-219a-1:MI0000296:Homo:sapiens:miR-219a-1:stem-loop	5	7	7.0	0.0
hsa-mir-610:MI0003623:Homo:sapiens:miR-610:stem-loop	6	7	7.0	0.0
hsa-mir-93:MI0000095:Homo:sapiens:miR-93:stem-loop	2	7	7.0	0.0
hsa-mir-199a-2:MI0000281:Homo:sapiens:miR-199a-2:stem-loop	7	18	6.333333333333332	0.0
hsa-mir-3922:MI0016429:Homo:sapiens:miR-3922:stem-loop	6	6	6.0	0.0
hsa-mir-4754:MI0017394:Homo:sapiens:miR-4754:stem-loop	5	6	6.0	0.0
hsa-mir-199b:MI0000282:Homo:sapiens:miR-199b:stem-loop	5	16	5.333333333333333	0.0
hsa-mir-324:MI0000813:Homo:sapiens:miR-324:stem-loop	5	5	5.0	0.0
hsa-mir-148a:MI0000253:Homo:sapiens:miR-148a:stem-loop	3	5	5.0	0.0
hsa-mir-6077:MI0020354:Homo:sapiens:miR-6077:stem-loop	4	5	5.0	0.0
hsa-mir-5702:MI0019309:Homo:sapiens:miR-5702:stem-loop	4	4	4.0	0.0
hsa-mir-4473:MI0016825:Homo:sapiens:miR-4473:stem-loop	2	4	4.0	0.0
hsa-mir-3128:MI0014145:Homo:sapiens:miR-3128:stem-loop	2	4	4.0	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	1	4	4.0	0.0
hsa-mir-183:MI0000273:Homo:sapiens:miR-183:stem-loop	2	3	3.0	0.0
hsa-mir-3925:MI0016433:Homo:sapiens:miR-3925:stem-loop	3	3	3.0	0.0
hsa-mir-629:MI0003643:Homo:sapiens:miR-629:stem-loop	3	3	3.0	0.0
hsa-mir-4733:MI0017370:Homo:sapiens:miR-4733:stem-loop	3	3	3.0	0.0
hsa-mir-5684:MI0019285:Homo:sapiens:miR-5684:stem-loop	2	3	3.0	0.0
