depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	0	283516
1	superkingdom	10239	1	Viruses	0	60
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	50
3	order	28883	35237	Caudovirales	0	32
4	family	10662	28883	Myoviridae	1	18
5	no rank	196896	10662	unclassified Myoviridae	0	11
6	species	482058	196896	Ralstonia phage RSL1	3	0
6	species	1204528	196896	Salmonella phage SKML-39	5	0
5	subfamily	1198136	10662	Tevenvirinae	0	7
6	genus	10663	1198136	T4likevirus	2	5
7	no rank	329380	10663	unclassified T4-like viruses	1	4
4	family	10699	28883	Siphoviridae	0	8
5	no rank	196894	10699	unclassified Siphoviridae	0	4
6	species	1204526	196894	Streptomyce phage TG1	4	0
5	genus	1623296	10699	Phicbklikevirus	4	0
4	family	10744	28883	Podoviridae	3	2
3	order	548681	35237	Herpesvirales	0	16
4	family	10292	548681	Herpesviridae	0	3
5	subfamily	10357	10292	Betaherpesvirinae	0	3
6	no rank	686603	10357	unassigned Betaherpesvirinae	0	3
7	species	1608255	686603	Suid herpesvirus 2	3	0
4	family	548682	548681	Alloherpesviridae	0	13
5	genus	692606	548682	Cyprinivirus	0	13
6	species	317858	692606	Cyprinid herpesvirus 1	13	0
2	no rank	439488	10239	ssRNA viruses	0	10
3	no rank	35278	439488	ssRNA positive-strand viruses, no DNA stage	0	10
4	order	675063	35278	Tymovirales	0	10
5	family	675068	675063	Betaflexiviridae	0	10
6	genus	12163	675068	Carlavirus	0	10
7	species	1177630	12163	American hop latent virus	8	0
1	no rank	131567	1	cellular organisms	120365	163091
2	superkingdom	2	131567	Bacteria	6925	37878
3	phylum	1117	2	Cyanobacteria	239	816
4	order	1161	1117	Nostocales	5	115
5	family	1162	1161	Nostocaceae	9	55
6	genus	1163	1162	Anabaena	0	14
7	species	46234	1163	Anabaena sp. 90	14	0
6	genus	1177	1162	Nostoc	0	21
7	species	28072	1177	Nostoc sp. PCC 7524	3	0
7	species	103690	1177	Nostoc sp. PCC 7120	15	0
7	species	272131	1177	Nostoc punctiforme	0	3
8	no rank	63737	272131	Nostoc punctiforme PCC 73102	3	0
6	genus	98443	1162	Richelia	0	15
7	species	1164990	98443	Richelia intracellularis	15	0
5	family	1185	1161	Rivulariaceae	0	51
6	genus	1186	1185	Calothrix	0	30
7	species	32054	1186	Calothrix parietina	0	21
8	no rank	1170562	32054	Calothrix sp. PCC 6303	21	0
7	species	1337936	1186	Calothrix sp. 336/3	9	0
