ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
bta-mir-2898:MI0013073:Bos:taurus:miR-2898:stem-loop	1	34	34.0	0.0
bol-MIR9411:MI0029005:Brassica:oleracea:miR9411:stem-loop	5	13	12.5	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	10	14	12.083333333333332	0.0
cgr-mir-1285:MI0020390:Cricetulus:griseus:miR-1285:stem-loop	2	6	6.0	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	2	6	3.5	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	1	5	2.5	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	2	2	2.0	0.0
vun-MIR156b:MI0019566:Vigna:unguiculata:miR156b:stem-loop	1	2	2.0	0.0
hsa-mir-5096:MI0018004:Homo:sapiens:miR-5096:stem-loop	1	2	2.0	0.0
mmu-mir-2183:MI0010833:Mus:musculus:miR-2183:stem-loop	1	1	1.0	0.0
sbi-MIR397:MI0010899:Sorghum:bicolor:miR397:stem-loop	1	1	1.0	0.0
sly-MIR9474:MI0029115:Solanum:lycopersicum:miR9474:stem-loop	1	1	1.0	0.0
ppc-mir-2238i:MI0026897:Pristionchus:pacificus:miR-2238i:stem-loop	1	1	1.0	0.0
ola-mir-187:MI0019478:Oryzias:latipes:miR-187:stem-loop	1	1	1.0	0.0
dsi-mir-983a:MI0011791:Drosophila:simulans:miR-983:stem-loop	1	1	1.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	1	1	1.0	0.0
hsa-mir-3135a:MI0014156:Homo:sapiens:miR-3135a:stem-loop	1	1	1.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	1	1	1.0	0.0
hsa-mir-3135b:MI0016809:Homo:sapiens:miR-3135b:stem-loop	1	1	1.0	0.0
gga-mir-184:MI0001227:Gallus:gallus:miR-184:stem-loop	1	1	1.0	0.0
bdi-MIR7733:MI0025349:Brachypodium:distachyon:miR7733:stem-loop	1	1	1.0	0.0
cel-mir-788:MI0005188:Caenorhabditis:elegans:miR-788:stem-loop	1	1	1.0	0.0
lus-MIR164a:MI0021149:Linum:usitatissimum:miR164a:stem-loop	1	1	1.0	0.0
gga-mir-1682:MI0007416:Gallus:gallus:miR-1682:stem-loop	1	1	1.0	0.0
eca-mir-9009:MI0028170:Equus:caballus:miR-9009:stem-loop	1	1	1.0	0.0
hsa-mir-4459:MI0016805:Homo:sapiens:miR-4459:stem-loop	2	2	0.75	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	2	2	0.5833333333333333	0.0
ppy-mir-1254:MI0015212:Pongo:pygmaeus:miR-1254:stem-loop	1	1	0.5	0.0
zma-MIR166a:MI0001480:Zea:mays:miR166a:stem-loop	1	1	0.5	0.0
amg-MIR319:MI0018986:Acacia:mangium:miR319:stem-loop	1	1	0.5	0.0
ppc-mir-8250a-1:MI0026909:Pristionchus:pacificus:miR-8250a-1:stem-loop	1	1	0.5	0.0
oan-mir-20a-1:MI0006872:Ornithorhynchus:anatinus:miR-20a-1:stem-loop	1	1	0.5	0.0
ptr-mir-1285:MI0008486:Pan:troglodytes:miR-1285:stem-loop	1	1	0.5	0.0
ppc-mir-8250a-2:MI0026921:Pristionchus:pacificus:miR-8250a-2:stem-loop	1	1	0.5	0.0
csi-MIR396c:MI0016735:Citrus:sinensis:miR396c:stem-loop	1	1	0.5	0.0
aau-MIR319:MI0018982:Acacia:auriculiformis:miR319:stem-loop	1	1	0.5	0.0
hsa-mir-1285-1:MI0006346:Homo:sapiens:miR-1285-1:stem-loop	1	1	0.5	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	1	1	0.5	0.0
ppy-mir-566:MI0015057:Pongo:pygmaeus:miR-566:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-619:MI0003633:Homo:sapiens:miR-619:stem-loop	1	1	0.25	0.0
ptr-mir-619:MI0008818:Pan:troglodytes:miR-619:stem-loop	1	1	0.25	0.0
mml-mir-619:MI0007872:Macaca:mulatta:miR-619:stem-loop	1	1	0.25	0.0
ptr-mir-1273:MI0008474:Pan:troglodytes:miR-1273:stem-loop	1	1	0.25	0.0
ppy-mir-619:MI0015104:Pongo:pygmaeus:miR-619:stem-loop	1	1	0.25	0.0
