GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
AC010970.2	160	477	464.0	0.0
RBBP7	22	262	262.0	0.0
LUZP2	11	254	254.0	0.0
MT-ND5	178	198	165.36666666666667	0.0
TOR3A	18	146	146.33333333333334	0.0
KSR2	10	89	88.50000000000001	0.0
HYLS1	16	82	82.0	0.0
MT-ND4	88	97	74.3888888888889	0.0
HIF1AN	15	68	68.0	0.0
ESYT1	16	67	67.0	0.0
RYK	10	66	66.0	0.0
CTD-2328D6.1	44	63	63.0	0.0
MT-CO2	41	72	59.83333333333334	0.0
SAFB	15	57	54.59999999999998	0.0
LYPD3	4	53	52.5	0.0
SMC1A	13	48	48.0	0.0
LURAP1L	4	47	47.0	0.0
RP11-346D14.1	55	87	46.14642857142858	0.0
RP4-712E4.1	7	87	43.5	0.0
RP4-712E4.2	7	87	43.5	0.0
WBSCR16	33	41	42.0	0.0
IL16	18	42	42.0	0.0
PHF14	2	42	42.0	0.0
ZFYVE20	9	38	39.00000000000001	0.0
TBC1D8B	72	136	38.30476190476192	0.0
TTI2	23	33	38.0	0.0
KCNQ1OT1	77	106	36.666666666666664	0.0
MT-CYB	38	41	35.66666666666667	0.0
RP11-259O2.3	62	125	35.186904761904756	0.0
SLC38A6	60	123	35.16190476190476	0.0
ECD	7	36	35.111111111111114	0.0
CDC37	5	35	35.0	0.0
MT-RNR2	46	50	32.70952380952381	0.0
HSPA8P20	14	33	32.5	0.0
ZNF521	4	35	32.0	0.0
MINK1	10	32	32.0	0.0
FCGR2A	16	32	32.0	0.0
CASP8AP2	4	31	31.5	0.0
MS4A15	4	31	30.5	0.0
RP11-284J1.1	6	30	30.0	0.0
MTND5P11	50	59	29.36666666666666	0.0
DENND1C	23	25	29.000000000000007	0.0
GNPDA1	9	29	29.000000000000004	0.0
MT-CO1	49	53	27.53333333333333	0.0
C1orf51	4	26	26.000000000000007	0.0
MT-CO3	31	37	25.083333333333332	0.0
TMEM245	16	28	25.0	0.0
MT-ND6	27	31	24.249999999999996	0.0
IRF9	9	23	23.75	0.0
KIAA1328	31	56	22.096428571428575	0.0
SLC14A2	2	21	21.0	0.0
MTND4P12	33	36	18.666666666666664	0.0
LRRC37A16P	19	20	18.455555555555556	0.0
RNF6P1	9	18	18.0	0.0
MT-ND1	19	22	17.833333333333336	0.0
hsa-mir-6723.1	37	41	17.533333333333335	0.0
EHMT1	2	17	17.0	0.0
ABHD2	7	17	17.0	0.0
RP13-726E6.2	11	17	16.25	0.0
DIAPH2	11	16	16.0	0.0
ZBTB43	6	16	16.0	0.0
MT-TS1	8	16	16.0	0.0
ELF2	3	16	16.0	0.0
RN7SL694P	6	16	16.0	0.0
MT-RNR1	15	16	16.0	0.0
MIPOL1	36	57	15.874999999999996	0.0
CCND3	4	15	15.0	0.0
SIK2	14	15	15.0	0.0
LRRC28	3	14	15.0	0.0
RP11-72I8.1	11	15	15.0	0.0
LINC00174	10	14	14.0	0.0
DNAJC11	1	14	14.0	0.0
SET	6	14	14.0	0.0
ZNF773	8	14	13.999999999999998	0.0
LIMA1	6	13	13.25	0.0
GGT1	14	24	13.119847020933982	0.0
AC073236.3	12	15	13.000000000000002	0.0
SH3BGRL	6	13	13.0	0.0
SLC12A9	4	13	13.0	0.0
NBPF1	6	12	13.0	0.0
PI4K2A	3	13	13.0	0.0
ARHGAP39	3	13	13.0	0.0
CDHR3	5	11	12.899999999999999	0.0
ESRG	15	20	12.892156862745098	0.0
ADAMTSL3	30	51	12.872619047619047	0.0
LINC00969	6	9	12.5	0.0
MT-ND2	19	19	12.142857142857142	0.0
KDM3B	5	12	12.0	0.0
AC092171.4	10	12	12.0	0.0
MUC12	7	12	12.0	0.0
FAM175B	8	22	12.0	0.0
TATDN2P2	10	12	12.0	0.0
PPP2R2A	8	12	12.0	0.0
MT-ND4L	12	12	11.5	0.0
MT-ND3	9	12	11.5	0.0
RP11-3J10.4	16	17	11.416666666666666	0.0
RP11-727A23.10	11	12	11.333333333333332	0.0
GABARAPL1	4	11	11.0	0.0
SCAND1	9	11	11.0	0.0
FAM163A	7	11	11.0	0.0
TP53BP1	8	11	11.0	0.0
TTC39B	3	9	11.0	0.0
NNAT	1	11	11.0	0.0
KHDRBS3	6	11	10.999999999999998	0.0
FAM228B	17	35	10.814285714285715	0.0
MT-ATP6	17	19	10.583333333333332	0.0
DEAF1	5	11	10.5	0.0
RASGRP2	2	9	10.2	0.0
AC072062.1	12	12	10.2	0.0
RP5-857K21.11	19	22	10.083333333333334	0.0
MAMDC2-AS1	5	10	10.0	0.0
LINC00273	6	10	10.0	0.0
MT-TA	9	10	10.0	0.0
PLA2G6	4	9	10.0	0.0
XKR9	5	10	10.0	0.0
HS3ST3B1	6	10	10.0	0.0
RPAP2	17	18	9.583333333333334	0.0
HHLA1	13	16	9.556818181818183	0.0
MTRNR2L8	23	25	9.376190476190477	0.0
CTD-2383I20.1	16	18	9.217857142857143	0.0
RP11-501E14.1	12	13	9.033333333333333	0.0
STARD8	7	9	9.0	0.0
NLRP14	2	9	9.0	0.0
RP11-108M9.5	5	9	9.0	0.0
HMBS	6	9	9.0	0.0
TRMT44	6	9	9.0	0.0
TMEM147	3	9	9.0	0.0
RP11-677M14.7	9	9	9.0	0.0
IGDCC3	6	9	9.0	0.0
RP11-744K17.9	3	9	9.0	0.0
MYO1F	6	9	9.0	0.0
MT-TP	9	9	9.0	0.0
RP1-140C12.2	4	9	9.0	0.0
CEP85L	3	9	9.0	0.0
SVEP1	3	8	9.0	0.0
DNAH9	6	9	9.0	0.0
AC016903.1	4	9	9.0	0.0
ASTN2	7	7	8.999999999999998	0.0
RP5-857K21.7	17	21	8.833333333333332	0.0
ANKRD26	6	9	8.666666666666668	0.0
TPTEP1	7	7	8.166666666666666	0.0
ASPH	2	7	8.0	0.0
RP13-254B10.1	7	8	8.0	0.0
HOXB8	3	8	8.0	0.0
MRGPRX2	3	8	8.0	0.0
CCNF	2	8	8.0	0.0
RP11-588H23.3	6	8	8.0	0.0
MT-TQ	8	8	8.0	0.0
MT-TT	4	8	8.0	0.0
AL450307.1	3	8	8.0	0.0
RAI1	4	8	8.0	0.0
RP11-87E22.2	5	8	8.0	0.0
HOXA13	5	8	8.0	0.0
ACTBP6	3	8	8.0	0.0
ZNF792	5	8	8.0	0.0
TPH1	6	8	7.999999999999999	0.0
RP11-142G1.3	29	37	7.820238095238097	0.0
AC159540.1	7	8	7.75	0.0
MTATP6P1	14	16	7.583333333333333	0.0
PKD1L2	2	6	7.5	0.0
FGF5	5	11	7.5	0.0
ANP32A	8	8	7.5	0.0
LINC00504	10	11	7.142857142857142	0.0
RP11-256I9.2	9	13	7.0588235294117645	0.0
RP11-538D16.2	14	15	7.017857142857143	0.0
WIPI2	5	6	7.000000000000002	0.0
MROH2B	6	7	7.000000000000001	0.0
CADM1	5	7	7.000000000000001	0.0
B3GNT2	3	7	7.0	0.0
PDZRN4	8	8	7.0	0.0
ZBTB44	4	7	7.0	0.0
MUC3A	6	7	7.0	0.0
SLC34A2	2	7	7.0	0.0
RPA1	4	7	7.0	0.0
CTD-2247C11.4	2	7	7.0	0.0
MT-TE	7	7	7.0	0.0
LPPR5	2	7	7.0	0.0
RP11-1060J15.4	6	7	7.0	0.0
HP	3	7	7.0	0.0
LDLR	5	6	7.0	0.0
GPR162	3	7	7.0	0.0
OR1N1	5	7	7.0	0.0
LRRC8A	6	7	6.999999999999999	0.0
AP000354.4	14	22	6.615740740740742	0.0
TMX2	8	8	6.583333333333332	0.0
RP11-24J23.2	7	7	6.5	0.0
SNX29P2	8	8	6.2857142857142865	0.0
RP11-703G6.1	28	36	6.220238095238098	0.0
BLOC1S6	13	15	6.183333333333333	0.0
MTND2P28	13	13	6.142857142857142	0.0
STK4	4	5	6.0	0.0
