ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	4	16	12.666666666666668	0.0
mmu-mir-6240:MI0021587:Mus:musculus:miR-6240:stem-loop	1	9	9.0	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	4	11	7.666666666666667	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	2	5	3.5	0.0
pxy-mir-6497:MI0027355:Plutella:xylostella:miR-6497:stem-loop	1	7	3.5	0.0
bmo-mir-6497:MI0022087:Bombyx:mori:miR-6497:stem-loop	1	7	3.5	0.0
ssc-mir-1285:MI0013164:Sus:scrofa:miR-1285:stem-loop	1	3	3.0	0.0
gma-MIR5368:MI0018621:Glycine:max:miR5368:stem-loop	1	3	3.0	0.0
bta-mir-320b:MI0011472:Bos:taurus:miR-320b:stem-loop	1	2	2.0	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	2	5	1.6666666666666665	0.0
ppy-mir-1273e:MI0020933:Pongo:pygmaeus:miR-1273e:stem-loop	1	3	1.5	0.0
ptr-mir-1285:MI0008486:Pan:troglodytes:miR-1285:stem-loop	1	2	1.0	0.0
efu-mir-30a:MI0028658:Eptesicus:fuscus:miR-30a:stem-loop	1	1	1.0	0.0
gga-mir-1644:MI0007376:Gallus:gallus:miR-1644:stem-loop	1	1	1.0	0.0
fru-mir-200a:MI0003303:Fugu:rubripes:miR-200a:stem-loop	1	1	1.0	0.0
xtr-mir-140:MI0004841:Xenopus:tropicalis:miR-140:stem-loop	1	1	1.0	0.0
sja-mir-3480:MI0015303:Schistosoma:japonicum:miR-3480:stem-loop	1	1	1.0	0.0
hsa-mir-1285-1:MI0006346:Homo:sapiens:miR-1285-1:stem-loop	1	2	1.0	0.0
mdm-MIR156ac:MI0022999:Malus:domestica:miR156ac:stem-loop	1	2	0.6666666666666666	0.0
ptc-MIR156j:MI0002193:Populus:trichocarpa:miR156j:stem-loop	1	2	0.6666666666666666	0.0
mmu-mir-6928:MI0022775:Mus:musculus:miR-6928:stem-loop	1	2	0.6666666666666666	0.0
