depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	729	35276
1	no rank	12908	1	unclassified sequences	0	106
2	no rank	151659	12908	environmental samples	0	106
3	no rank	81490	151659	prokaryotic environmental samples	0	4
4	species	198431	81490	uncultured prokaryote	4	0
3	species	155900	151659	uncultured organism	102	0
1	no rank	131567	1	cellular organisms	360	34810
2	superkingdom	2	131567	Bacteria	1276	7841
3	phylum	1117	2	Cyanobacteria	103	58
4	order	1161	1117	Nostocales	0	3
4	no rank	34079	1117	unclassified Cyanobacteria	14	0
4	no rank	48504	1117	environmental samples	0	21
5	species	1211	48504	uncultured cyanobacterium	20	0
4	subclass	1301283	1117	Oscillatoriophycideae	0	20
5	order	1118	1301283	Chroococcales	0	10
6	genus	1125	1118	Microcystis	0	5
7	species	1126	1125	Microcystis aeruginosa	5	0
5	order	1150	1301283	Oscillatoriales	4	6
6	genus	1198	1150	Phormidium	0	4
7	species	1397097	1198	Phormidium sp. 04156_00002	4	0
3	phylum	1224	2	Proteobacteria	416	2577
4	class	1236	1224	Gammaproteobacteria	100	465
5	no rank	50423	1236	environmental samples	0	3
6	species	86473	50423	uncultured gamma proteobacterium	3	0
5	order	72273	1236	Thiotrichales	0	12
6	family	34064	72273	Francisellaceae	0	10
7	genus	262	34064	Francisella	10	0
5	order	72274	1236	Pseudomonadales	1	133
6	family	468	72274	Moraxellaceae	4	53
7	genus	469	468	Acinetobacter	16	5
8	no rank	75661	469	environmental samples	0	5
9	species	165433	75661	uncultured Acinetobacter sp.	5	0
7	genus	497	468	Psychrobacter	10	5
8	species	256325	497	Psychrobacter maritimus	3	0
7	no rank	54393	468	unclassified Moraxellaceae	3	0
7	genus	212791	468	Enhydrobacter	10	0
7	genus	222991	468	Alkanindiges	4	0
6	family	135621	72274	Pseudomonadaceae	1	75
7	genus	286	135621	Pseudomonas	55	16
8	species group	136841	286	Pseudomonas aeruginosa group	0	7
9	species	287	136841	Pseudomonas aeruginosa	7	0
8	species group	136843	286	Pseudomonas fluorescens group	0	4
9	species	294	136843	Pseudomonas fluorescens	4	0
5	order	91347	1236	Enterobacteriales	0	49
6	family	543	91347	Enterobacteriaceae	6	43
7	genus	561	543	Escherichia	0	8
8	species	562	561	Escherichia coli	8	0
7	genus	620	543	Shigella	0	18
8	species	624	620	Shigella sonnei	18	0
7	genus	122277	543	Pectobacterium	0	13
8	no rank	228953	122277	environmental samples	0	13
9	species	228954	228953	uncultured Pectobacterium sp.	13	0
5	no rank	118884	1236	unclassified Gammaproteobacteria	123	1
5	order	118969	1236	Legionellales	0	6
6	family	444	118969	Legionellaceae	0	4
7	genus	445	444	Legionella	4	0
5	order	135614	1236	Xanthomonadales	0	83
6	family	32033	135614	Xanthomonadaceae	43	38
7	genus	338	32033	Xanthomonas	0	24
8	species	343	338	Xanthomonas translucens	24	0
7	genus	40323	32033	Stenotrophomonas	0	5
8	species	128780	40323	Stenotrophomonas acidaminiphila	5	0
7	no rank	191676	32033	unclassified Xanthomonadaceae	0	6
8	no rank	57609	191676	unclassified Xanthomonadaceae (miscellaneous)	6	0
5	order	135618	1236	Methylococcales	0	27
6	family	403	135618	Methylococcaceae	15	12
7	genus	413	403	Methylococcus	3	0
7	genus	429	403	Methylobacter	9	0
5	order	135622	1236	Alteromonadales	0	3
6	no rank	300695	135622	unclassified Alteromonadales	3	0
5	order	135623	1236	Vibrionales	0	4
6	family	641	135623	Vibrionaceae	0	4
7	genus	662	641	Vibrio	3	0
5	order	135624	1236	Aeromonadales	0	8
6	family	84642	135624	Aeromonadaceae	4	4
7	genus	642	84642	Aeromonas	4	0
5	order	135625	1236	Pasteurellales	0	4
6	family	712	135625	Pasteurellaceae	0	4
5	order	225057	1236	Acidithiobacillales	0	4
6	family	225058	225057	Acidithiobacillaceae	0	4
7	genus	119977	225058	Acidithiobacillus	4	0
4	class	28211	1224	Alphaproteobacteria	154	250
5	order	356	28211	Rhizobiales	21	50
6	family	41294	356	Bradyrhizobiaceae	2	3
6	family	82115	356	Rhizobiaceae	2	4
7	no rank	227290	82115	Rhizobium/Agrobacterium group	0	4
6	no rank	119042	356	unclassified Rhizobiales	28	0
6	family	119045	356	Methylobacteriaceae	0	5
7	genus	407	119045	Methylobacterium	4	0
5	order	766	28211	Rickettsiales	0	11
6	family	775	766	Rickettsiaceae	0	10
7	tribe	33988	775	Rickettsieae	0	10
