GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
RNY1	2617	722931	654330.0650473477	0.0
RNY4	3549	833910	189318.76895301905	0.0
RNY4P10	3255	832676	189119.93414436368	0.0
Y_RNA.320	2860	809860	178061.0699155334	0.0
RNY4P7	2603	801183	175439.40164953965	0.0
RNY4P20	1655	375910	71373.73710733683	0.0
RNY5	1093	17366	17224.666666666657	0.0
LINC00338	277	17008	16731.433333333334	0.0
RNY4P27	1456	50986	9871.644835468047	0.0
RNY4P17	326	41096	7672.818545798071	0.0
RNU2-61P	811	48680	7519.356228738572	0.0
RNU2-37P	765	48580	7493.565508347852	0.0
RNU2-48P	672	46726	6958.906210430422	0.0
RNU2-33P	605	46454	6938.4510339333765	0.0
RNU2-7P	566	46359	6916.968555300898	0.0
Y_RNA.556	148	34380	6840.549451223725	0.0
Y_RNA.196	98	34203	6826.87896646119	0.0
Y_RNA.488	98	34233	6804.621271301163	0.0
Y_RNA.40	99	34232	6803.708572888466	0.0
Y_RNA.264	145	13407	6471.133333333331	0.0
RNU12	316	4264	4258.0	0.0
RNU2-6P	329	28907	4199.739029202654	0.0
RNU2-26P	563	25307	3398.585654868014	0.0
RNU2-57P	563	25307	3398.585654868014	0.0
RMRP	395	2952	2951.6666666666665	0.0
Y_RNA.188	375	10564	2830.2172619047615	0.0
Y_RNA.358	89	3095	2614.9699927309925	0.0
Y_RNA.245	178	11372	2550.9376878562284	0.0
RPPH1	390	2344	2344.0	0.0
RNY4P2	254	6020	2311.7311188811186	0.0
Y_RNA.13	423	5313	2242.5287427849944	0.0
C17orf76-AS1	159	2179	2181.000000000002	0.0
Y_RNA.31	291	16958	2156.471719310512	0.0
ATP5G3	191	15438	2142.3496383505294	0.0
Y_RNA.121	182	15410	2116.2806728332885	0.0
Y_RNA.133	74	2403	2108.129077723044	0.0
RNY4P14	119	14527	2105.0389971139975	0.0
Y_RNA.79	106	14494	2094.1223304473306	0.0
Y_RNA.383	182	5107	1956.4373015873011	0.0
GAS5	93	1048	1816.833333333333	0.0
C1orf213	364	7115	1683.989488289487	0.0
Y_RNA.272	364	7115	1683.989488289487	0.0
RNU11	336	1470	1450.1666666666665	0.0
RNU2-29P	295	11240	1421.595070452423	0.0
RPL13A	247	2160	1403.3531399482872	0.0
Y_RNA.318	83	3487	1396.2584505772006	0.0
Y_RNA.359	122	2802	1348.8179653679656	0.0
Y_RNA.44	256	9285	1341.0636224886223	0.0
Y_RNA.807	288	14268	1297.7652498163618	0.0
Y_RNA.122	171	2739	1218.8510499844656	0.0
Y_RNA.759	112	3243	1208.7833333333328	0.0
Y_RNA.420	93	2190	1191.5124999999996	0.0
SNHG1	260	885	1122.6666666666665	0.0
Y_RNA.91	75	6740	1110.8328662781769	0.0
Y_RNA.382	55	6610	1098.7306637806641	0.0
Y_RNA.764	51	6606	1097.8751082251085	0.0
Y_RNA.790	179	1876	1047.4545114912353	0.0
Y_RNA.3	225	2284	998.7501891469134	0.0
Y_RNA.53	80	1935	950.114393939394	0.0
PAQR5	146	12960	943.0245702135659	0.0
MT-RNR2	571	1481	930.9095238095246	0.0
Y_RNA.324	57	991	926.8401875901876	0.0
RNY4P15	92	980	857.382971693076	0.0
RNU1-27P	1544	10283	840.939278155625	0.0
RNU1-28P	1544	10283	840.939278155625	0.0
RNU1-2	1544	10283	840.939278155625	0.0
RNU1-1	1544	10283	840.939278155625	0.0
RNU1-4	1544	10283	840.939278155625	0.0
RNU1-3	1544	10283	840.939278155625	0.0
RNVU1-18	1544	10283	840.939278155625	0.0
Y_RNA.179	72	1852	840.2918909592823	0.0
MT-ND6	272	1234	839.8333333333335	0.0
Y_RNA.582	33	853	839.5714285714286	0.0
MT-ND5	384	933	829.1666666666665	0.0
VTRNA1-2	168	868	827.8333333333335	0.0
WDR74	311	1823	802.4084502356934	0.0
Y_RNA.305	60	1514	768.5819962042789	0.0
Y_RNA.340	116	1285	765.1454409513362	0.0
VTRNA1-1	164	837	737.8333333333335	0.0
Y_RNA.546	90	4141	733.5785168600637	0.0
Y_RNA.491	105	1033	719.2277777777781	0.0
Y_RNA.7	172	1558	708.9896194422394	0.0
RNY4P8	208	4532	658.3293613249494	0.0
Y_RNA.49	30	1336	652.0034722222223	0.0
Y_RNA.560	69	1925	646.0833333333336	0.0
