depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	128	6135
1	no rank	12908	1	unclassified sequences	0	15
2	no rank	151659	12908	environmental samples	0	15
3	species	155900	151659	uncultured organism	13	0
1	no rank	131567	1	cellular organisms	64	6056
2	superkingdom	2	131567	Bacteria	113	2358
3	phylum	1117	2	Cyanobacteria	3	4
4	no rank	48504	1117	environmental samples	0	3
5	species	1211	48504	uncultured cyanobacterium	3	0
3	phylum	1224	2	Proteobacteria	44	1613
4	class	1236	1224	Gammaproteobacteria	36	255
5	no rank	50423	1236	environmental samples	0	4
6	species	86473	50423	uncultured gamma proteobacterium	4	0
5	order	72273	1236	Thiotrichales	0	35
6	family	135617	72273	Thiotrichaceae	0	33
7	genus	90372	135617	Thiomargarita	0	32
8	no rank	298391	90372	environmental samples	0	32
9	species	298392	298391	uncultured Thiomargarita sp.	32	0
5	order	72274	1236	Pseudomonadales	1	35
6	family	468	72274	Moraxellaceae	0	10
7	genus	469	468	Acinetobacter	3	1
7	genus	212791	468	Enhydrobacter	3	0
7	genus	661182	468	Perlucidibaca	3	0
6	family	135621	72274	Pseudomonadaceae	1	24
7	genus	286	135621	Pseudomonas	18	5
5	order	91347	1236	Enterobacteriales	0	80
6	family	543	91347	Enterobacteriaceae	2	78
7	genus	561	543	Escherichia	0	3
8	species	562	561	Escherichia coli	3	0
7	genus	620	543	Shigella	0	70
8	species	624	620	Shigella sonnei	70	0
7	genus	122277	543	Pectobacterium	0	4
8	no rank	228953	122277	environmental samples	0	4
9	species	228954	228953	uncultured Pectobacterium sp.	4	0
5	no rank	118884	1236	unclassified Gammaproteobacteria	72	1
5	order	135614	1236	Xanthomonadales	0	13
6	family	32033	135614	Xanthomonadaceae	5	8
7	no rank	191676	32033	unclassified Xanthomonadaceae	0	4
8	no rank	57609	191676	unclassified Xanthomonadaceae (miscellaneous)	4	0
5	order	135619	1236	Oceanospirillales	0	5
6	family	28256	135619	Halomonadaceae	0	3
7	genus	2745	28256	Halomonas	0	3
8	no rank	97916	2745	environmental samples	0	3
9	species	173971	97916	uncultured Halomonas sp.	3	0
5	order	135622	1236	Alteromonadales	0	3
4	class	28211	1224	Alphaproteobacteria	10	45
5	order	356	28211	Rhizobiales	0	11
6	family	119045	356	Methylobacteriaceae	0	7
7	genus	407	119045	Methylobacterium	4	3
8	no rank	129670	407	environmental samples	0	3
9	species	157278	129670	uncultured Methylobacterium sp.	3	0
5	no rank	47925	28211	environmental samples	0	3
6	species	91750	47925	uncultured alpha proteobacterium	3	0
5	no rank	82117	28211	unclassified Alphaproteobacteria	8	0
5	order	204441	28211	Rhodospirillales	0	4
6	family	433	204441	Acetobacteraceae	0	4
5	order	204455	28211	Rhodobacterales	0	3
5	order	204457	28211	Sphingomonadales	0	16
6	family	41297	204457	Sphingomonadaceae	1	15
7	genus	13687	41297	Sphingomonas	10	2
4	class	28216	1224	Betaproteobacteria	18	290
5	order	80840	28216	Burkholderiales	20	240
6	family	506	80840	Alcaligenaceae	0	5
7	genus	507	506	Alcaligenes	0	3
8	no rank	54518	507	environmental samples	0	3
9	species	1479086	54518	Alcaligenes sp. enrichment culture clone MH B209-1A	3	0
6	family	75682	80840	Oxalobacteraceae	7	6
7	genus	29580	75682	Janthinobacterium	5	0
6	family	80864	80840	Comamonadaceae	19	8
7	genus	12916	80864	Acidovorax	4	1
6	family	119060	80840	Burkholderiaceae	0	168
7	genus	32008	119060	Burkholderia	17	150
8	no rank	77118	32008	environmental samples	0	150
9	species	188058	77118	uncultured Burkholderia sp.	150	0
6	no rank	119065	80840	unclassified Burkholderiales	10	17
7	no rank	224471	119065	Burkholderiales Genera incertae sedis	2	15
8	genus	92793	224471	Aquabacterium	2	12
9	no rank	158752	92793	environmental samples	0	12
10	species	158753	158752	uncultured Aquabacterium sp.	12	0
5	no rank	119066	28216	unclassified Betaproteobacteria	0	15
6	no rank	33809	119066	unclassified Betaproteobacteria (miscellaneous)	14	1
5	order	206389	28216	Rhodocyclales	0	13
6	family	75787	206389	Rhodocyclaceae	0	13
7	genus	73029	75787	Dechloromonas	0	11
8	species	188737	73029	Dechloromonas sp. HZ	11	0
4	no rank	32045	1224	unclassified Proteobacteria	26	0
4	subphylum	68525	1224	delta/epsilon subdivisions	0	932
