ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_circ_000486	43	443	221.5	0.0
hsa_circ_000487	43	443	221.5	0.0
hsa_circ_000662	21	204	204.0	0.0
hsa_circ_000885	1	2	2.0	0.0
hsa_circ_001852	1	2	2.0	0.0
hsa_circ_001712	1	1	1.0	0.0
hsa_circ_001373	1	1	1.0	0.0
circRNA#circRNA_3991	1	1	1.0	0.0
circRNA#circRNA_4381	1	1	1.0	0.0
circRNA#circRNA_6990	1	1	1.0	0.0
circRNA#circRNA_1215	1	1	1.0	0.0
circRNA#circRNA_7140	1	1	1.0	0.0
hsa_circ_000889	1	1	1.0	0.0
hsa_circ_000302	1	1	1.0	0.0
circRNA#circRNA_186	1	1	1.0	0.0
hsa_circ_000028*	1	1	1.0	0.0
hsa_circ_001289	1	1	1.0	0.0
circRNA#circRNA_3889	1	1	1.0	0.0
