ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
circRNA#circRNA_1798	1	4	4.0	0.0
circRNA#circRNA_2646	3	3	3.0	0.0
circRNA#circRNA_6902	2	2	2.0	0.0
hsa_circ_001359	2	2	2.0	0.0
hsa_circ_000911	2	2	2.0	0.0
hsa_circ_000833	1	1	1.0	0.0
hsa_circ_001521	1	1	1.0	0.0
circRNA#circRNA_908	1	1	1.0	0.0
hsa_circ_001177	1	1	1.0	0.0
hsa_circ_001216	1	1	1.0	0.0
hsa_circ_001780	1	1	1.0	0.0
hsa_circ_002014	1	1	1.0	0.0
hsa_circ_000243	1	1	1.0	0.0
hsa_circ_000399	1	1	1.0	0.0
hsa_circ_001027	1	1	1.0	0.0
circRNA#circRNA_6936	1	1	1.0	0.0
hsa_circ_002086	1	1	1.0	0.0
circRNA#circRNA_3579	1	1	1.0	0.0
hsa_circ_000003	1	1	1.0	0.0
hsa_circ_001318	1	1	1.0	0.0
