GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
GAS5	6791	264198	452184.57178746467	0.0
RNY1	4729	375467	274147.3640722563	0.0
RNY4	8132	1085694	258309.2428534632	0.0
RNY4P10	5533	1050558	252473.71287908475	0.0
SNHG1	9249	188278	234142.79714285623	0.0
Y_RNA.320	4444	990027	223395.63639224836	0.0
RNY4P7	3772	957201	213238.2893546385	0.0
MT-RNR2	34108	169994	121295.93126317702	0.0
MT-RNR1	20841	107938	107883.34365079364	0.0
MT-TS2	2559	84365	84303.5	0.0
RNY4P20	2128	390596	75466.31880221362	0.0
SNORD78	1794	65721	65645.0	0.0
SNORD48	778	66873	62661.5	0.0
RPL17	3368	48659	61057.03960100097	0.0
MT-TE	3407	58559	58559.0	0.0
SNORD104	1574	52043	52041.53333333333	0.0
C17orf76-AS1	1783	48699	49250.14457821618	0.0
VTRNA1-2	2188	49738	48027.68333333338	0.0
SNORD63	1909	44879	44877.53333333333	0.0
SNORD82	1529	40013	39661.27272727273	0.0
SNORD3A	6553	208697	38156.41117387706	0.0
SNHG5	2396	37732	37766.14354575166	0.0
SNORD3C	6026	207170	37283.56030807654	0.0
SNORD12C	1236	36370	36368.833333333336	0.0
SNORD3B-2	5866	203691	35333.594507211645	0.0
SNORD3B-1	5747	203461	35254.17545959259	0.0
SNORD60	1621	34929	34908.18055555556	0.0
RNU5B-1	3455	37211	33562.15782828278	0.0
MT-TH	2934	32959	32958.0	0.0
RNY5	2401	32474	31926.33333333333	0.0
SNORD101	1040	30497	30492.466666666667	0.0
RNU5A-1	2999	30191	25903.00782828279	0.0
VTRNA2-1	2093	25387	25384.066666666673	0.0
SNORD58C	1738	48496	24245.14285714286	0.0
TMC5	1287	24255	23595.238420643655	0.0
TAF1D	2142	34114	23223.839005439124	0.0
MT-ND4	11224	27012	22503.65400432892	0.0
MT-TF	2395	22465	22465.0	0.0
RPL4	1181	18627	20898.57350057352	0.0
EIF4A2	2550	26080	20841.354008490962	0.0
RNU1-27P	6264	172834	20797.807396938595	0.0
RNU1-28P	6264	172834	20797.807396938595	0.0
RNVU1-18	6264	172834	20797.807396938595	0.0
RNU1-2	6264	172834	20797.807396938595	0.0
RNU1-1	6264	172834	20797.807396938595	0.0
RNU1-4	6264	172834	20797.807396938595	0.0
RNU1-3	6264	172834	20797.807396938595	0.0
ERBB2	507	20456	20466.868358395983	0.0
RNVU1-17	3644	161976	19987.64748203874	0.0
SNORD13	840	20355	19818.060173160196	0.0
SNORD69	971	18364	18364.0	0.0
MT-TP	1023	18255	18254.14285714286	0.0
RMRP	1437	17828	17826.666666666668	0.0
MT-CO2	7941	23795	17585.15000000007	0.0
WDR74	5071	39375	15673.082683941055	0.0
MT-ND5	8776	18035	15202.106684981722	0.0
RPL13A	2327	19363	14812.080606320014	0.0
SNORD119	981	14625	14624.125	0.0
RNU5E-1	1957	15114	14251.006637806657	0.0
SNORD46	1576	26117	14097.035714285714	0.0
MT-CO1	10721	25587	14065.294047619163	0.0
MTRNR2L8	8606	50229	14035.577691753097	0.0
SNORD6	1088	13850	13808.16666666667	0.0
RPL7A	1068	12180	13632.026615501063	0.0
RNU3P3	1873	162960	13519.613983689449	0.0
U3.26	1614	160786	13518.351773414624	0.0
U3.48	1705	162366	13467.870979570826	0.0
SNORD38A	878	13390	13364.666666666666	0.0
EIF4A1	1087	19298	13301.536196414587	0.0
SNORD12B	1112	13265	13265.0	0.0
U3.66	1438	158506	13174.620986267415	0.0
RNY4P27	2578	61844	12368.3459044617	0.0
MT-TK	1788	12294	12294.0	0.0
SNORD46.1	1249	24041	12023.75	0.0
MTRNR2L12	8511	43380	11961.602294927352	0.0
SCARNA9	586	15965	11920.0	0.0
SNORD93	852	11812	11810.666666666666	0.0
MT-CYB	5454	12690	11776.047619047618	0.0
SCARNA15	403	11708	11686.450428256121	0.0
SNORD43	1214	18394	11496.5	0.0
RPL5	797	22094	11211.825022660967	0.0
SNORD11	507	11212	11211.25	0.0
RABGGTB	1573	16504	11075.126312576333	0.0
SNORD21	712	21992	10996.0	0.0
MT-ATP6	5791	14759	10948.888888888903	0.0
TMEM107	1681	17220	10861.594444444461	0.0
HSPA8	1053	11815	10544.372540951703	0.0
MTRNR2L2	6735	39862	10528.19277111778	0.0
SNORD5	1332	31037	10339.400000000025	0.0
C6orf48	704	11109	10046.766666666665	0.0
MT-ND1	4741	10984	9759.459523809526	0.0
SNORD100	1008	9668	9668.0	0.0
MT-ND2	6146	14311	9211.4806027306	0.0
Y_RNA.807	1098	89788	8818.441931691983	0.0
RPL21	991	16884	8776.642568909881	0.0
GNB2L1	894	7664	8770.960023160857	0.0
RPL3	1038	13935	8649.46376580936	0.0
ZMYM2	391	8475	8530.333333333336	0.0
RNU5F-1	1151	8493	8375.493939393935	0.0
SNORD102	887	16469	8234.5	0.0
hsa-mir-6723.1	7501	18645	8188.969047618972	0.0
SNORD3D	3704	39956	8150.56368942434	0.0
AC023050.1	42	16131	8118.15	0.0
AC034205.1	44	16037	8024.15	0.0
SNORD111B	718	7923	7923.0	0.0
RNU2-2P	4952	39177	7734.100865780051	0.0
MT-CO3	4425	9156	7651.805555555554	0.0
MTRNR2L1	4418	25700	7551.929675879607	0.0
NOP56	569	4866	7116.815043290044	0.0
SNORD10	804	13126	6561.5	0.0
MT-TV	933	6487	6487.0	0.0
PAQR5	582	83439	6419.659894409579	0.0
RNY4P17	499	30606	6137.526794836709	0.0
SNORD36B	1038	12146	6072.666666666666	0.0
SNHG15	229	9234	6051.166666666677	0.0
SNORD18A	1029	18070	6022.783333333338	0.0
SNORD117	664	6012	6010.333333333334	0.0
RNY4P5	2681	36423	5984.37129352936	0.0
AC008738.2	172	5792	5749.1	0.0
RNY4P1	2503	34590	5747.827525456118	0.0
RNU2-59P	2133	13018	5597.829095019947	0.0
U8.4	476	10760	5398.733333333333	0.0
RPPH1	772	5393	5387.150793650793	0.0
SNORD52	621	10712	5355.666666666666	0.0
VTRNA1-1	1120	7216	5351.683333333333	0.0
SNORD58A	1750	26491	5297.252380952255	0.0
SNORD70	504	5195	5111.166666666666	0.0
RPL13	970	6124	5048.5632348256995	0.0
RP5-857K21.7	3931	11225	5040.2499999999945	0.0
MTND2P28	4103	10097	5002.313936063936	0.0
SNORD83A	714	5646	4994.666666666666	0.0
MT-TM	1034	5615	4971.0	0.0
SNORD53_SNORD92.1	477	5064	4948.166666666667	0.0
RPL23A	756	3959	4849.555983642125	0.0
SNORD66	615	4842	4832.5625	0.0
SNORD18B	649	9654	4824.316666666667	0.0
SNORD2	1868	23892	4760.3428571427285	0.0
RNU12	1121	4787	4676.666666666668	0.0
RNVU1-7	3327	18952	4650.477207683212	0.0
RNVU1-9	3327	18952	4650.477207683212	0.0
SNORD12	552	4601	4601.0	0.0
DDX39B	550	9061	4583.4034027573725	0.0
RPS3A	711	6719	4529.594546287308	0.0
Y_RNA.31	697	88407	4524.810567231166	0.0
SNORD84	485	8968	4482.674242424242	0.0
RNU11	884	4421	4420.5	0.0
Y_RNA.245	420	13097	4315.177557367228	0.0
snoU2_19.3	240	12834	4277.333333333335	0.0
RNY4P31	913	9825	4274.725083250094	0.0
RPS8	884	6302	4176.837781469178	0.0
MT-ND3	1674	4212	4147.916666666667	0.0
SNORD37	625	5286	4100.0	0.0
Y_RNA.761	706	88181	4052.9832600877016	0.0
Y_RNA.16	724	88213	4051.883903674041	0.0
Y_RNA.311	716	88257	4043.981250985691	0.0
MTND4P12	3495	8047	4021.904761904783	0.0
RP11-217B1.2	192	3996	3995.5	0.0
Y_RNA.634	553	86989	3924.433846932367	0.0
MT-TQ	630	3891	3891.0	0.0
RNY4P8	1331	26205	3739.2659849868096	0.0
RBMX	705	5719	3728.1925740925735	0.0
SNORD19.1	614	3667	3666.5	0.0
CTD-2651B20.7	492	3641	3629.0	0.0
Y_RNA.359	258	7544	3623.1669399158764	0.0
MT-TN	791	3613	3602.3333333333335	0.0
MTATP6P1	3505	7279	3577.0555555555607	0.0
RP5-1186N24.3	105	3560	3559.5	0.0
RPL34	255	3404	3531.058253676149	0.0
EIF2AK3	153	3525	3525.0	0.0
SNORD15B	532	3815	3435.8333333333358	0.0
RPS20	641	4847	3312.121718224129	0.0
RNU5D-1	875	3556	3276.7828282828305	0.0
Y_RNA.323	819	40637	3270.9216370561094	0.0
SNORD105	367	3258	3258.0	0.0
SNORD24	720	6446	3222.5833333333335	0.0
CTD-2651B20.6	397	3230	3211.7	0.0
Y_RNA.619	656	84579	3191.979865734411	0.0
Y_RNA.475	393	77589	3184.9671090452184	0.0
LINC00910	1904	15731	3159.4443200692594	0.0
SNORD45A	873	10667	3153.6333333333555	0.0
SNHG16	376	2846	3132.1869640607138	0.0
Y_RNA.537	601	84406	3128.6111935819317	0.0
Y_RNA.477	600	84402	3127.7778602485982	0.0
Y_RNA.288	600	84402	3127.7778602485982	0.0
SNORD62A	466	6210	3100.5000000000005	0.0
SNORD62B	466	6210	3100.5000000000005	0.0
Y_RNA.627	546	84033	3098.0288443454374	0.0
TSTD3	530	83713	3090.8402816167422	0.0
SNORD36A	795	7258	3088.250000000002	0.0
Y_RNA.481	517	83682	3073.3283254047865	0.0
Y_RNA.620	496	83633	3068.027348308221	0.0
Y_RNA.598	483	83103	3049.3386052134447	0.0
Y_RNA.233	497	83108	3047.1631884107082	0.0
Y_RNA.710	482	83092	3045.0015943870053	0.0
Y_RNA.751	482	83092	3045.0015943870053	0.0
SNORD58B	1492	18581	3043.901190476162	0.0
SNORD38B	735	6102	3042.333333333334	0.0
Y_RNA.500	462	83037	3036.9255822299565	0.0
Y_RNA.663	552	39089	3024.7168106949184	0.0
SCARNA6	226	2981	2979.8333333333335	0.0
MT-ND4L	1618	3703	2979.4333333333343	0.0
Y_RNA.125	1585	15603	2970.6466246171935	0.0
MT-TL1	1114	2954	2941.5	0.0
SNORA9.3	128	9016	2933.5833333333353	0.0
PRPF8	109	5285	2770.9615490789406	0.0
C19orf48	501	3346	2765.3785714285696	0.0
SNORD4A	451	2762	2761.5	0.0
RNY4P11	972	23730	2757.7900131188267	0.0
Y_RNA.133	263	3862	2730.7102149296875	0.0
SNORD41	430	2702	2701.0	0.0
TRNAI6	184	2703	2694.9285714285716	0.0
EIF4G2	549	4720	2691.7333333333336	0.0
UBAP2	404	5175	2660.291315117631	0.0
MLYCD	27	5273	2648.340909090909	0.0
SNORD90	316	2647	2647.0	0.0
SNORD121B	410	5232	2647.0	0.0
SNORD97	629	4985	2635.833333333333	0.0
Y_RNA.256	734	16982	2609.308109980219	0.0
SNHG6	607	3615	2600.800000000003	0.0
SNORD123	347	2561	2561.0	0.0
Y_RNA.670	40	2799	2557.9973284476205	0.0
SNORD59A	490	2523	2523.0	0.0
SNORD72	260	2475	2475.0	0.0
GNL3	648	4619	2459.2999999999997	0.0
SNORA20.3	171	2763	2452.0000000000005	0.0
SCARNA3	235	2428	2428.0	0.0
Y_RNA.13	719	6933	2422.6520584102254	0.0
SNORD15A	478	4284	2393.8333333333353	0.0
SNORD42B	648	4318	2390.833333333333	0.0
SNORD105B	478	2388	2388.0	0.0
Y_RNA.161	407	19512	2355.2000778305614	0.0
Y_RNA.601	448	38184	2320.464637306158	0.0
SNORD19B	623	4587	2293.5	0.0
FLJ27365	130	2267	2277.866666666667	0.0
SNORD1B	167	2229	2228.5	0.0
Y_RNA.182	679	17282	2218.830781791305	0.0
MT-TL2	742	2209	2203.5	0.0
SNORD73A	601	6579	2192.733333333323	0.0
SNORD34	936	10896	2179.2000000000166	0.0
RP5-857K21.11	1848	3563	2101.4722222222217	0.0
Y_RNA.20	346	18676	2087.959999840694	0.0
Y_RNA.318	70	4279	2087.0892807384184	0.0
RNU2-36P	951	13995	2072.609192879702	0.0
SNORD91A	329	2050	2050.0	0.0
SNORD61	458	4088	2043.5	0.0
RP11-1113L8.6	603	6263	2033.0332112332017	0.0
MTRNR2L6	1721	7140	1996.3697552447568	0.0
C1orf213	554	9457	1973.0861832611802	0.0
Y_RNA.272	550	9451	1965.0861832611804	0.0
MTND5P11	1974	4069	1960.8166666666648	0.0
ZC3HAV1	485	1945	1948.744586894587	0.0
SNORD14C	693	5837	1941.8928571428412	0.0
ATP5G3	440	17679	1939.5577791182247	0.0
U8.13	143	4975	1938.7499999999998	0.0
FAT1	1357	1848	1922.4999999999995	0.0
Y_RNA.121	415	17651	1910.8720648325102	0.0
MRPS16	119	1912	1907.8846320346322	0.0
Y_RNA.546	170	8671	1889.9889458218242	0.0
RNY4P2	378	6825	1877.0424325523898	0.0
HOXA13	172	1841	1868.2	0.0
RNU2-48P	1522	17175	1854.7463537732033	0.0
MT-TW	322	1850	1849.5	0.0
RPS3	415	3650	1842.9697873391356	0.0
WBP11	113	3781	1815.783333333333	0.0
