ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	75	2854	2823.75	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	18	1833	906.4166666666666	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	18	1833	906.4166666666666	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	64	678	678.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	21	491	451.58333333333337	0.0
hsa-mir-4708:MI0017341:Homo:sapiens:miR-4708:stem-loop	72	377	377.0	0.0
hsa-mir-98:MI0000100:Homo:sapiens:miR-98:stem-loop	16	120	90.5	0.0
hsa-mir-101-1:MI0000103:Homo:sapiens:miR-101-1:stem-loop	11	57	57.0	0.0
hsa-mir-548q:MI0010637:Homo:sapiens:miR-548q:stem-loop	10	35	35.0	0.0
hsa-mir-5580:MI0019135:Homo:sapiens:miR-5580:stem-loop	10	29	29.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	9	28	26.5	0.0
hsa-mir-3925:MI0016433:Homo:sapiens:miR-3925:stem-loop	14	26	26.0	0.0
hsa-mir-148a:MI0000253:Homo:sapiens:miR-148a:stem-loop	14	24	24.0	0.0
hsa-mir-93:MI0000095:Homo:sapiens:miR-93:stem-loop	16	24	24.0	0.0
hsa-mir-219a-1:MI0000296:Homo:sapiens:miR-219a-1:stem-loop	10	21	21.0	0.0
hsa-mir-374a:MI0000782:Homo:sapiens:miR-374a:stem-loop	4	20	20.0	0.0
hsa-mir-942:MI0005767:Homo:sapiens:miR-942:stem-loop	9	19	19.0	0.0
hsa-mir-27b:MI0000440:Homo:sapiens:miR-27b:stem-loop	8	18	18.0	0.0
hsa-mir-2116:MI0010635:Homo:sapiens:miR-2116:stem-loop	5	17	17.0	0.0
hsa-mir-582:MI0003589:Homo:sapiens:miR-582:stem-loop	6	17	17.0	0.0
hsa-mir-199a-1:MI0000242:Homo:sapiens:miR-199a-1:stem-loop	12	43	15.666666666666668	0.0
hsa-mir-183:MI0000273:Homo:sapiens:miR-183:stem-loop	6	15	15.0	0.0
hsa-mir-2115:MI0010634:Homo:sapiens:miR-2115:stem-loop	9	14	14.0	0.0
hsa-mir-199a-2:MI0000281:Homo:sapiens:miR-199a-2:stem-loop	11	41	13.666666666666668	0.0
hsa-mir-199b:MI0000282:Homo:sapiens:miR-199b:stem-loop	11	41	13.666666666666668	0.0
hsa-mir-324:MI0000813:Homo:sapiens:miR-324:stem-loop	7	13	13.0	0.0
hsa-mir-5684:MI0019285:Homo:sapiens:miR-5684:stem-loop	7	13	13.0	0.0
