ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-24-2:MI0000081:Homo:sapiens:miR-24-2:stem-loop	209	16757	16744.0	0.0
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	357	10376	10376.0	0.0
hsa-mir-452:MI0001733:Homo:sapiens:miR-452:stem-loop	189	5079	5079.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	230	4020	4020.0	0.0
hsa-mir-141:MI0000457:Homo:sapiens:miR-141:stem-loop	114	3057	3057.0	0.0
hsa-mir-200b:MI0000342:Homo:sapiens:miR-200b:stem-loop	181	3053	3053.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	208	2812	2811.5	0.0
hsa-mir-192:MI0000234:Homo:sapiens:miR-192:stem-loop	175	1978	1978.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	241	1914	1914.0	0.0
hsa-mir-3607:MI0015997:Homo:sapiens:miR-3607:stem-loop	372	1761	1761.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	57	1461	1461.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	195	1419	1418.5	0.0
hsa-mir-33a:MI0000091:Homo:sapiens:miR-33a:stem-loop	23	1327	1327.0	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	119	1280	1280.0	0.0
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	164	1156	1156.0	0.0
hsa-mir-2110:MI0010629:Homo:sapiens:miR-2110:stem-loop	145	1149	1149.0	0.0
hsa-mir-96:MI0000098:Homo:sapiens:miR-96:stem-loop	38	1100	1100.0	0.0
hsa-mir-7-1:MI0000263:Homo:sapiens:miR-7-1:stem-loop	153	2165	1068.9999999999998	0.0
hsa-mir-877:MI0005561:Homo:sapiens:miR-877:stem-loop	175	1041	1041.0	0.0
hsa-mir-425:MI0001448:Homo:sapiens:miR-425:stem-loop	213	983	983.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	79	977	977.0	0.0
hsa-mir-4521:MI0016887:Homo:sapiens:miR-4521:stem-loop	186	912	912.0	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	75	872	872.0	0.0
hsa-mir-1273c:MI0014171:Homo:sapiens:miR-1273c:stem-loop	86	865	865.0	0.0
hsa-mir-196a-1:MI0000238:Homo:sapiens:miR-196a-1:stem-loop	74	803	803.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	105	771	771.0	0.0
hsa-mir-429:MI0001641:Homo:sapiens:miR-429:stem-loop	112	770	769.5	0.0
