depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	1	266805
1	superkingdom	10239	1	Viruses	0	39
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	30
3	family	10501	35237	Phycodnaviridae	0	5
4	genus	181083	10501	Chlorovirus	0	5
5	species	381899	181083	Paramecium bursaria Chlorella virus A1	0	5
6	no rank	399781	381899	Paramecium bursaria Chlorella virus FR483	5	0
3	order	28883	35237	Caudovirales	4	4
4	family	10662	28883	Myoviridae	0	4
3	family	423358	35237	Bicaudaviridae	0	14
4	no rank	1123963	423358	unclassified Bicaudaviridae	0	14
5	species	285013	1123963	Sulfolobus virus STSV1	14	0
2	no rank	35268	10239	Retro-transcribing viruses	0	5
3	family	11632	35268	Retroviridae	0	5
4	subfamily	327045	11632	Orthoretrovirinae	0	5
5	genus	153136	327045	Deltaretrovirus	0	5
6	species	194441	153136	Primate T-lymphotropic virus 2	0	5
7	no rank	33748	194441	Simian T-lymphotropic virus 2	5	0
1	no rank	131567	1	cellular organisms	43700	223066
2	superkingdom	2	131567	Bacteria	5072	10924
3	phylum	1117	2	Cyanobacteria	13	272
4	order	1161	1117	Nostocales	1	36
5	family	1162	1161	Nostocaceae	4	23
6	genus	1177	1162	Nostoc	0	16
7	species	272131	1177	Nostoc punctiforme	0	14
8	no rank	63737	272131	Nostoc punctiforme PCC 73102	14	0
6	genus	98443	1162	Richelia	0	3
7	species	1164990	98443	Richelia intracellularis	3	0
5	family	1185	1161	Rivulariaceae	0	9
6	genus	1186	1185	Calothrix	0	6
7	species	99598	1186	Calothrix sp. PCC 7507	3	0
7	species	1337936	1186	Calothrix sp. 336/3	3	0
6	genus	373984	1185	Rivularia	0	3
7	species	373994	373984	Rivularia sp. PCC 7116	3	0
4	order	52604	1117	Pleurocapsales	0	38
5	genus	44474	52604	Pleurocapsa	0	24
6	species	54308	44474	Pleurocapsa minor	0	24
7	no rank	118163	54308	Pleurocapsa sp. PCC 7327	24	0
5	genus	54298	52604	Chroococcidiopsis	0	13
6	species	54299	54298	Chroococcidiopsis thermalis	0	13
7	no rank	251229	54299	Chroococcidiopsis thermalis PCC 7203	13	0
4	class	307596	1117	Gloeobacteria	0	4
5	order	307595	307596	Gloeobacterales	0	4
6	genus	33071	307595	Gloeobacter	0	4
4	subclass	1301283	1117	Oscillatoriophycideae	5	184
5	order	1118	1301283	Chroococcales	1	97
6	genus	1129	1118	Synechococcus	10	20
