ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
bta-mir-2898:MI0013073:Bos:taurus:miR-2898:stem-loop	3	7155	7155.0	0.0
ppy-mir-1273e:MI0020933:Pongo:pygmaeus:miR-1273e:stem-loop	5	9	9.0	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	12	14	8.333333333333332	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	8	13	8.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	7	8	6.666666666666666	0.0
hsa-mir-4459:MI0016805:Homo:sapiens:miR-4459:stem-loop	10	16	6.5	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	7	7	6.333333333333333	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	4	10	6.0	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	2	8	4.0	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	8	10	3.333333333333333	0.0
ptr-mir-1273:MI0008474:Pan:troglodytes:miR-1273:stem-loop	6	8	2.5	0.0
hsa-mir-3135a:MI0014156:Homo:sapiens:miR-3135a:stem-loop	1	2	2.0	0.0
ppe-MIR6290:MI0021662:Prunus:persica:miR6290:stem-loop	1	2	2.0	0.0
gga-mir-466:MI0003713:Gallus:gallus:miR-466:stem-loop	2	2	2.0	0.0
mmu-mir-467g:MI0006301:Mus:musculus:miR-467g:stem-loop	1	2	2.0	0.0
ath-MIR414:MI0001425:Arabidopsis:thaliana:miR414:stem-loop	1	2	2.0	0.0
hsa-mir-619:MI0003633:Homo:sapiens:miR-619:stem-loop	3	6	1.5	0.0
ptr-mir-619:MI0008818:Pan:troglodytes:miR-619:stem-loop	3	6	1.5	0.0
mml-mir-619:MI0007872:Macaca:mulatta:miR-619:stem-loop	3	6	1.5	0.0
ppy-mir-619:MI0015104:Pongo:pygmaeus:miR-619:stem-loop	3	6	1.5	0.0
mmu-mir-1187:MI0006285:Mus:musculus:miR-1187:stem-loop	2	2	1.3333333333333333	0.0
sme-mir-2a-1:MI0005131:Schmidtea:mediterranea:miR-2a-1:stem-loop	1	1	1.0	0.0
mml-mir-7174:MI0023649:Macaca:mulatta:miR-7174:stem-loop	1	1	1.0	0.0
api-mir-3027:MI0013970:Acyrthosiphon:pisum:miR-3027:stem-loop	1	1	1.0	0.0
hsa-mir-1285-1:MI0006346:Homo:sapiens:miR-1285-1:stem-loop	1	2	1.0	0.0
eca-mir-9179:MI0028408:Equus:caballus:miR-9179:stem-loop	1	1	1.0	0.0
bra-MIR5713:MI0019324:Brassica:rapa:miR5713:stem-loop	1	1	1.0	0.0
osa-MIR1874:MI0008277:Oryza:sativa:miR1874:stem-loop	1	1	1.0	0.0
hsa-mir-3929:MI0016439:Homo:sapiens:miR-3929:stem-loop	1	1	1.0	0.0
ola-mir-31:MI0019530:Oryzias:latipes:miR-31:stem-loop	1	1	1.0	0.0
hco-mir-43:MI0020012:Haemonchus:contortus:miR-43:stem-loop	1	1	1.0	0.0
ptr-mir-1285:MI0008486:Pan:troglodytes:miR-1285:stem-loop	1	2	1.0	0.0
hsa-mir-8086:MI0025922:Homo:sapiens:miR-8086:stem-loop	1	1	1.0	0.0
hsa-mir-3135b:MI0016809:Homo:sapiens:miR-3135b:stem-loop	1	1	1.0	0.0
cgr-mir-1285:MI0020390:Cricetulus:griseus:miR-1285:stem-loop	1	1	1.0	0.0
csi-MIR164:MI0013295:Citrus:sinensis:miR164:stem-loop	1	1	1.0	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	1	2	0.6666666666666666	0.0
ptr-mir-1254:MI0008459:Pan:troglodytes:miR-1254:stem-loop	1	2	0.6666666666666666	0.0
cin-mir-4095:MI0015648:Ciona:intestinalis:miR-4095:stem-loop	1	1	0.5	0.0
asu-mir-34:MI0018535:Ascaris:suum:miR-34:stem-loop	1	1	0.5	0.0
efu-mir-9256a-2:MI0028551:Eptesicus:fuscus:miR-9256a-2:stem-loop	1	1	0.3333333333333333	0.0
mmu-mir-466q:MI0018032:Mus:musculus:miR-466q:stem-loop	1	1	0.3333333333333333	0.0
cgr-mir-374:MI0020513:Cricetulus:griseus:miR-374:stem-loop	1	1	0.08333333333333333	0.0
eca-mir-374a:MI0012959:Equus:caballus:miR-374a:stem-loop	1	1	0.08333333333333333	0.0
ssc-mir-374b:MI0013131:Sus:scrofa:miR-374b:stem-loop	1	1	0.08333333333333333	0.0
bta-mir-374b:MI0009816:Bos:taurus:miR-374b:stem-loop	1	1	0.08333333333333333	0.0
oar-mir-374b:MI0025284:Ovis:aries:miR-374b:stem-loop	1	1	0.08333333333333333	0.0
bta-mir-374a:MI0005466:Bos:taurus:miR-374a:stem-loop	1	1	0.08333333333333333	0.0
oar-mir-374a:MI0025283:Ovis:aries:miR-374a:stem-loop	1	1	0.08333333333333333	0.0
cfa-mir-374b:MI0008180:Canis:familiaris:miR-374b:stem-loop	1	1	0.08333333333333333	0.0
chi-mir-374a:MI0030765:Capra:hircus:miR-374a:stem-loop	1	1	0.08333333333333333	0.0
eca-mir-374b:MI0012960:Equus:caballus:miR-374b:stem-loop	1	1	0.08333333333333333	0.0
ssc-mir-374a:MI0013130:Sus:scrofa:miR-374a:stem-loop	1	1	0.08333333333333333	0.0
chi-mir-374b:MI0030766:Capra:hircus:miR-374b:stem-loop	1	1	0.08333333333333333	0.0
