ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
fru-mir-200a:MI0003303:Fugu:rubripes:miR-200a:stem-loop	3	21	20.1	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	18	25	18.583333333333336	0.0
ipu-mir-7550:MI0024681:Ictalurus:punctatus:miR-7550:stem-loop	2	13	13.0	0.0
hsa-mir-5096:MI0018004:Homo:sapiens:miR-5096:stem-loop	8	11	11.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	9	14	10.5	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	8	12	9.0	0.0
bma-let-7:MI0013319:Brugia:malayi:let-7:stem-loop	1	9	9.0	0.0
mmu-mir-101c:MI0016974:Mus:musculus:miR-101c:stem-loop	2	9	9.0	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	5	8	5.333333333333333	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	6	10	4.083333333333334	0.0
mmu-mir-6240:MI0021587:Mus:musculus:miR-6240:stem-loop	4	4	4.0	0.0
sja-mir-3480:MI0015303:Schistosoma:japonicum:miR-3480:stem-loop	1	4	4.0	0.0
efu-mir-9226:MI0028498:Eptesicus:fuscus:miR-9226:stem-loop	1	3	3.0	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	4	6	3.0	0.0
hsa-mir-8086:MI0025922:Homo:sapiens:miR-8086:stem-loop	2	3	3.0	0.0
cfa-mir-615:MI0010419:Canis:familiaris:miR-615:stem-loop	2	3	3.0	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	4	5	2.5	0.0
hsa-mir-1254-2:MI0016747:Homo:sapiens:miR-1254-2:stem-loop	1	2	2.0	0.0
cgr-mir-33:MI0020497:Cricetulus:griseus:miR-33:stem-loop	1	2	2.0	0.0
efu-mir-9277:MI0028600:Eptesicus:fuscus:miR-9277:stem-loop	1	2	2.0	0.0
xtr-mir-148a:MI0004905:Xenopus:tropicalis:miR-148a:stem-loop	1	2	2.0	0.0
mml-mir-7174:MI0023649:Macaca:mulatta:miR-7174:stem-loop	2	2	2.0	0.0
ola-mir-222:MI0019416:Oryzias:latipes:miR-222:stem-loop	1	2	2.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	2	2	2.0	0.0
