GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
TOR3A	69	2424	2424.0	0.0
NPTX2	84	2307	2285.5	0.0
MT-ND6	991	1499	1274.3333333333335	0.0
MT-ND5	891	1140	970.0547619047626	0.0
ZIM2	21	949	946.9487179487176	0.0
FCGR2A	127	618	616.5	0.0
MT-ND2	547	1149	582.1428571428571	0.0
MTND2P28	530	1132	565.6428571428571	0.0
MT-RNR2	440	655	500.75912698412685	0.0
RP11-72I8.1	100	433	433.0	0.0
MT-CO1	449	813	421.72619047619037	0.0
SCARNA15	41	419	419.0	0.0
MT-CYB	342	433	380.4666666666667	0.0
MT-CO2	275	452	377.66666666666646	0.0
HMBS	18	369	370.00000000000006	0.0
RP11-958F21.1	14	363	363.0	0.0
MT-CO3	293	631	360.561111111111	0.0
RNFT1	33	409	358.0	0.0
hsa-mir-6723.1	374	728	349.1095238095237	0.0
HYLS1	38	342	344.0	0.0
IL12RB2	38	318	318.00000000000017	0.0
SETP5	33	304	304.0	0.0
MT-ND4	350	415	298.05555555555554	0.0
CTD-2366F13.1	14	280	280.0	0.0
TTI2	154	254	256.0	0.0
MT-ND1	244	295	254.06666666666666	0.0
RP5-857K21.11	196	514	248.89444444444453	0.0
AC073236.3	54	335	244.99999999999994	0.0
TRPS1	34	258	236.5	0.0
MT-ND4L	151	244	235.75000000000003	0.0
MT-TP	127	215	215.0	0.0
ACAD10	15	202	202.00000000000003	0.0
SHF	34	203	201.0	0.0
MT-TT	93	191	191.0	0.0
MINK1	24	182	182.0	0.0
ZNF772	22	214	178.2444444444445	0.0
MTND6P4	268	383	176.66666666666686	0.0
MS4A15	9	175	175.0	0.0
ZNF521	20	187	171.0	0.0
MT-TE	99	158	158.0	0.0
LYPD3	13	141	137.5	0.0
MTND5P11	240	277	135.83333333333334	0.0
MYO3B	7	128	128.0	0.0
PIK3CG	4	125	125.00000000000001	0.0
KCNQ1OT1	200	218	123.38650793650797	0.0
MT-TA	65	117	116.5	0.0
TMEM147	6	112	112.00000000000003	0.0
PHF14	8	112	112.0	0.0
MT-ATP6	141	167	109.0	0.0
EFCAB11	33	101	106.5	0.0
MT-ND3	90	103	98.5	0.0
C5orf42	8	96	95.99999999999997	0.0
NFE4	24	271	94.99999999999999	0.0
MT-RNR1	63	93	93.0	0.0
MTND4P12	153	178	92.86111111111113	0.0
GPRC5B	26	91	91.0	0.0
SNX11	22	90	89.99999999999997	0.0
RP11-600F24.7	19	89	89.0	0.0
TMEM245	27	101	85.0	0.0
LAPTM4B	10	85	85.0	0.0
SSBP1	10	85	84.33333333333334	0.0
LAMA4	5	83	84.0	0.0
RP11-473I1.10	41	83	83.0	0.0
AC011525.2	9	80	79.125	0.0
RAI1	8	82	79.0	0.0
B3GNT2	6	76	76.0	0.0
AVL9	19	73	75.83333333333333	0.0
MT-TQ	33	72	72.0	0.0
TUBGCP4	13	72	72.0	0.0
MT-TL1	52	68	68.0	0.0
GVQW1	7	66	66.0	0.0
C1orf86	14	62	65.50000000000001	0.0
RP5-998N21.7	35	64	63.5	0.0
RP11-346D14.1	112	127	62.26230158730161	0.0
RP5-857K21.7	110	133	59.166666666666686	0.0
DGKA	17	59	59.0	0.0
PPP1R12A	5	58	58.0	0.0
ZNF180	14	83	57.86666666666665	0.0
KTN1	12	56	57.0	0.0
TSIX	53	62	56.36666666666667	0.0
HES7	31	54	54.0	0.0
CEBPG	19	54	54.0	0.0
MTATP6P1	92	109	53.83333333333333	0.0
RPAP2	83	97	53.152777777777786	0.0
ZNF773	18	52	53.0	0.0
ASAP1	1	52	52.333333333333336	0.0
HOXA13	18	51	51.0	0.0
NNAT	7	51	51.0	0.0
RPS28P8	8	51	51.0	0.0
TBC1D3P1-DHX40P1	32	408	51.0	0.0
MTND6P3	112	168	50.16666666666669	0.0
GABARAPL1	28	48	49.99999999999999	0.0
TANGO2	12	47	48.0	0.0
RP11-110H1.8	6	47	47.0	0.0
MIPOL1	73	84	46.082936507936516	0.0
AC114730.5	22	46	45.5	0.0
PAX9	3	44	44.0	0.0
PTCHD4	11	44	44.0	0.0
CACNG2	13	44	43.333333333333336	0.0
PDE4C	20	43	43.0	0.0
SEMA4D	13	41	42.625	0.0
ESRG	42	48	42.4734068627451	0.0
CTD-2328D6.1	35	42	42.0	0.0
MTRNR2L8	103	153	41.13055555555554	0.0
GCC2	7	85	40.25	0.0
GPR180	4	40	40.0	0.0
MT-TD	31	40	40.0	0.0
RP13-726E6.2	9	40	40.0	0.0
SLC1A6	20	40	39.625	0.0
SYNE1	14	37	39.5	0.0
RP11-475J5.11	101	141	39.249999999999986	0.0
AC010970.2	29	39	39.0	0.0
ZNF814	16	17	39.0	0.0
MAP1LC3B	16	36	38.00000000000001	0.0
AP001442.2	8	36	38.0	0.0
FAM228B	54	59	37.991269841269855	0.0
GSG1L	12	37	37.0	0.0
C1orf159	14	37	37.0	0.0
AC078855.1	11	36	36.0	0.0
AC093897.1	8	69	35.266666666666666	0.0
HOXB8	18	34	35.0	0.0
RP11-782C8.2	7	49	34.5	0.0
SNX29P2	33	36	34.0	0.0
SLC22A8	7	34	34.0	0.0
CLDN20	9	34	34.0	0.0
FGF8	8	35	34.0	0.0
LINC00504	55	62	33.660714285714285	0.0
MTND1P23	61	73	33.36666666666666	0.0
MTRNR2L12	92	142	33.00912698412697	0.0
AL033403.1	20	129	33.0	0.0
AL589675.1	20	129	33.0	0.0
AC008410.1	20	129	33.0	0.0
EMR2	11	50	32.940000000000005	0.0
RSRC1	4	32	32.92307692307694	0.0
MEN1	7	32	32.0	0.0
PTPRT	4	32	31.999999999999993	0.0
GLI2	1	46	31.846153846153854	0.0
BEST1	21	25	31.499999999999993	0.0
ADAMTSL3	59	65	31.30396825396824	0.0
MTRNR2L1	71	111	31.009126984126976	0.0
ANKUB1	8	19	31.0	0.0
AC112198.2	19	121	31.0	0.0
MATR3	10	26	30.976190476190474	0.0
TMEM170B	10	31	30.5	0.0
PKD1L2	7	14	30.366666666666667	0.0
NOP58	5	30	30.0	0.0
COG8	12	30	30.0	0.0
MSL1	24	29	30.0	0.0
CCNL1	11	18	30.0	0.0
NLRX1	14	30	30.0	0.0
UBE2D4	5	30	29.666666666666664	0.0
CPNE4	3	29	29.0	0.0
ING1	25	27	29.0	0.0
CEP97	10	29	29.0	0.0
TP53BP2	3	29	28.999999999999996	0.0
PRRC2C	8	30	28.571428571428577	0.0
MRFAP1	18	29	28.5	0.0
TBC1D8B	82	97	28.15515873015872	0.0
RP11-108M9.5	13	28	28.0	0.0
ARHGEF6	6	28	27.999999999999996	0.0
ERVW-1	15	17	27.041666666666668	0.0
LINC00635	4	27	27.0	0.0
MT-TC	21	27	27.0	0.0
MT-TS1	18	27	27.0	0.0
AC005154.6	10	16	26.74444444444444	0.0
KCNB2	5	26	26.0	0.0
RP11-18H21.2	8	25	25.0	0.0
TBX3	3	25	25.0	0.0
ACBD5	3	25	25.0	0.0
COBLL1	7	22	24.999999999999996	0.0
SULT1C2	24	25	24.833333333333336	0.0
ASAP3	11	25	24.083333333333336	0.0
RP11-266L9.2	10	24	24.0	0.0
BMPR1A	15	24	24.0	0.0
HIST2H2AB	24	29	23.4	0.0
WNK3	7	24	23.25	0.0
CTTN	9	23	23.000000000000004	0.0
SSNA1	8	23	23.000000000000004	0.0
RP11-573D15.9	20	23	23.0	0.0
RP5-1115A15.1	4	23	23.0	0.0
GABRP	17	20	23.0	0.0
RP11-165F24.3	9	23	23.0	0.0
TTN	13	23	22.999999999999996	0.0
RP11-703G6.1	64	69	22.75753968253967	0.0
MTND5P10	45	55	22.750000000000007	0.0
ST6GAL2	6	23	22.66666666666667	0.0
TPTEP1	20	23	22.53697691197691	0.0
OSCAR	8	26	22.428571428571427	0.0
G3BP1	14	22	22.249999999999993	0.0
SLC47A1	9	22	22.16666666666667	0.0
KIAA1328	39	44	22.112301587301584	0.0
AP4B1	4	22	22.0	0.0
ARHGAP42	10	22	22.0	0.0
RDH13	12	16	21.999999999999993	0.0
ZNF589	17	24	21.58333333333333	0.0
SCARF1	9	21	21.333333333333332	0.0
OBSCN	7	53	21.153846153846153	0.0
NSRP1	9	19	21.01282051282051	0.0
ISG20	9	21	21.0	0.0
MIR1302-2	18	21	21.0	0.0
PHF15	10	17	20.999999999999996	0.0
TEX2	15	19	20.999999999999996	0.0
DLX6-AS1	10	20	20.833333333333332	0.0
HERC2P4	6	41	20.5	0.0
NDUFAF3	18	21	20.5	0.0
CDC27	14	16	20.131410256410255	0.0
ALDH1L1	3	19	20.0	0.0
AC114730.3	12	19	20.0	0.0
SEC61A2	13	20	20.0	0.0
RP11-138A9.2	16	20	20.0	0.0
DYTN	2	20	20.0	0.0
RP11-475J5.6	42	57	19.94444444444444	0.0
SOD2	19	22	19.833333333333336	0.0
NXPE3	9	19	19.4	0.0
NOX5	5	19	19.333333333333332	0.0
RPL27A	16	19	19.0	0.0
CCDC14	3	19	19.0	0.0
HRNR	17	19	19.0	0.0
JUND	17	19	19.0	0.0
RP11-160E2.11	16	19	18.5	0.0
AL451006.1	6	52	18.266666666666666	0.0
ATMIN	10	23	18.1	0.0
TFPI	24	29	18.01458333333333	0.0
COA1	14	15	18.0	0.0
SPAG5-AS1	2	17	18.0	0.0
MT-TW	16	18	18.0	0.0
LRG1	10	18	18.0	0.0
NR1H2	10	18	17.999999999999996	0.0
TGIF1	7	8	17.952380952380945	0.0
SRGAP3	4	31	17.75	0.0
CCDC149	7	17	17.333333333333336	0.0
MPV17L	18	20	17.333333333333336	0.0
LPPR5	6	18	17.333333333333332	0.0
RP11-259O2.3	36	45	17.29801587301587	0.0
FSIP2	12	16	17.142857142857142	0.0
RP11-193H22.2	16	20	17.142857142857142	0.0
RGPD5	7	84	17.083333333333336	0.0
RGPD6	7	84	17.083333333333336	0.0
MTMR2	14	16	17.000000000000004	0.0
KAZALD1	5	14	17.0	0.0
PGBD4P5	5	17	17.0	0.0
OGFRL1	7	17	17.0	0.0
RNF6	6	17	17.0	0.0
SRC	3	16	17.0	0.0
IRF5	4	16	17.0	0.0
RP11-506H20.2	8	17	17.0	0.0
ACBD6	10	15	17.0	0.0
SZT2	8	11	16.566666666666666	0.0
CD97	8	46	16.560000000000002	0.0
FGD2	8	15	16.5	0.0
LINC00383	4	26	16.5	0.0
RP11-777B9.5	43	73	16.349999999999998	0.0
RP11-3J10.4	10	18	16.333333333333332	0.0
PLD1	9	15	16.125	0.0
AC005276.1	19	34	16.016666666666666	0.0
LEPREL1-AS1	20	35	16.016666666666666	0.0
SMAGP	4	15	16.0	0.0
STK4	6	16	16.0	0.0
RGPD8	4	79	16.0	0.0
MT-TN	13	16	16.0	0.0
RP11-797H7.1	16	18	16.0	0.0
AC092022.1	4	16	16.0	0.0
AC004837.5	4	16	16.0	0.0
APBA3	4	16	16.0	0.0
CTD-3088G3.8	9	16	16.0	0.0
RP11-983P16.4	7	14	16.0	0.0
MTRNR2L2	48	67	15.659126984126983	0.0
ERI2	14	14	15.600000000000001	0.0
C7orf55	10	16	15.5	0.0
FOXP1	13	17	15.399999999999999	0.0
RP11-593P24.2	18	32	15.3	0.0
AC012391.1	6	49	15.266666666666667	0.0
PCBP1-AS1	6	7	15.015151515151516	0.0
MYO18B	9	14	15.000000000000005	0.0
HDAC5	5	14	15.000000000000002	0.0
AC016683.6	9	14	15.0	0.0
ESAM	5	15	15.0	0.0
LEKR1	12	15	15.0	0.0
GALNT2	4	10	15.0	0.0
RP11-626G11.5	3	15	15.0	0.0
SEC14L2	10	13	15.0	0.0
AC013269.5	4	15	15.0	0.0
C19orf44	10	15	14.999999999999998	0.0
MLXIPL	3	15	14.999999999999996	0.0
HYAL1	9	15	14.999999999999996	0.0
PTMA	10	12	14.88888888888889	0.0
MAB21L3	52	56	14.833333333333334	0.0
ZNF771	10	13	14.833333333333334	0.0
RP11-461G12.2	28	42	14.799999999999999	0.0
MTIF2	11	14	14.75	0.0
CTB-36O1.7	29	42	14.633333333333333	0.0
DNTTIP2	10	12	14.5	0.0
JAK3	6	15	14.357142857142858	0.0
CENPV	7	15	14.35	0.0
CLHC1	15	29	14.333333333333334	0.0
FKBP9	6	10	14.333333333333334	0.0
TMEM63A	12	14	14.333333333333332	0.0
HP	3	15	14.249999999999996	0.0
ASPH	6	13	14.000000000000004	0.0
OR51T1	1	14	14.0	0.0
BRF1	10	14	14.0	0.0
ITM2BP1	6	14	14.0	0.0
C7orf55-LUC7L2	9	11	14.0	0.0
RUSC1-AS1	8	8	14.0	0.0
RP11-443N24.4	4	14	14.0	0.0
WBSCR16	12	14	14.0	0.0
TGFBRAP1	14	14	14.0	0.0
NR2F2-AS1	7	8	14.0	0.0
