ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ssc-mir-1285:MI0013164:Sus:scrofa:miR-1285:stem-loop	2	8	8.0	0.0
pxy-mir-6497:MI0027355:Plutella:xylostella:miR-6497:stem-loop	3	16	8.0	0.0
bmo-mir-6497:MI0022087:Bombyx:mori:miR-6497:stem-loop	3	16	8.0	0.0
mmu-mir-6240:MI0021587:Mus:musculus:miR-6240:stem-loop	3	5	5.0	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	4	5	4.333333333333333	0.0
hsa-mir-7641-2:MI0024976:Homo:sapiens:miR-7641-2:stem-loop	4	4	4.0	0.0
gma-MIR1535a:MI0007257:Glycine:max:miR1535:stem-loop	1	3	3.0	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	4	4	2.833333333333333	0.0
peu-MIR2916:MI0012640:Populus:euphratica:miR2916:stem-loop	2	2	2.0	0.0
hsa-mir-4419a:MI0016755:Homo:sapiens:miR-4419a:stem-loop	1	2	2.0	0.0
eca-mir-1543:MI0028380:Equus:caballus:miR-1543:stem-loop	1	1	1.0	0.0
xtr-mir-140:MI0004841:Xenopus:tropicalis:miR-140:stem-loop	1	1	1.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	1	1	1.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	1	1	1.0	0.0
tgu-mir-18b:MI0013837:Taeniopygia:guttata:miR-18b:stem-loop	1	1	1.0	0.0
atr-MIR8552a:MI0027426:Amborella:trichopoda:miR8552a:stem-loop	1	1	1.0	0.0
ath-MIR858b:MI0019228:Arabidopsis:thaliana:miR858b:stem-loop	1	2	0.6666666666666666	0.0
ppe-MIR858:MI0026169:Prunus:persica:miR858:stem-loop	1	2	0.6666666666666666	0.0
cme-MIR858:MI0023187:Cucumis:melo:miR858:stem-loop	1	2	0.6666666666666666	0.0
ptc-MIR6440a:MI0022015:Populus:trichocarpa:miR6440a:stem-loop	1	1	0.5	0.0
ptc-MIR6440d:MI0022000:Populus:trichocarpa:miR6440d:stem-loop	1	1	0.5	0.0
ppy-mir-566:MI0015057:Pongo:pygmaeus:miR-566:stem-loop	1	1	0.5	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	1	1	0.3333333333333333	0.0
dre-mir-365-2:MI0002069:Danio:rerio:miR-365-2:stem-loop	1	1	0.16666666666666666	0.0
fru-mir-365:MI0003283:Fugu:rubripes:miR-365:stem-loop	1	1	0.16666666666666666	0.0
tni-mir-365:MI0003284:Tetraodon:nigroviridis:miR-365:stem-loop	1	1	0.16666666666666666	0.0
ccr-mir-365:MI0023394:Cyprinus:carpio:miR-365:stem-loop	1	1	0.16666666666666666	0.0
ssa-mir-365-1:MI0026693:Salmo:salar:miR-365-1:stem-loop	1	1	0.16666666666666666	0.0
ipu-mir-365-2:MI0024627:Ictalurus:punctatus:miR-365-2:stem-loop	1	1	0.16666666666666666	0.0
efu-mir-574-2:MI0028910:Eptesicus:fuscus:miR-574-2:stem-loop	1	1	0.14285714285714285	0.0
bta-mir-574:MI0021122:Bos:taurus:miR-574:stem-loop	1	1	0.14285714285714285	0.0
ssc-mir-574:MI0013161:Sus:scrofa:miR-574:stem-loop	1	1	0.14285714285714285	0.0
hsa-mir-574:MI0003581:Homo:sapiens:miR-574:stem-loop	1	1	0.14285714285714285	0.0
ggo-mir-574:MI0020709:Gorilla:gorilla:miR-574:stem-loop	1	1	0.14285714285714285	0.0
mmu-mir-574:MI0005518:Mus:musculus:miR-574:stem-loop	1	1	0.14285714285714285	0.0
cfa-mir-574:MI0008080:Canis:familiaris:miR-574:stem-loop	1	1	0.14285714285714285	0.0
lgi-let-7:MI0010143:Lottia:gigantea:let-7:stem-loop	1	1	0.09090909090909091	0.0
bfl-let-7a-2:MI0010007:Branchiostoma:floridae:let-7a-2:stem-loop	1	1	0.09090909090909091	0.0
sko-let-7:MI0010180:Saccoglossus:kowalevskii:let-7:stem-loop	1	1	0.09090909090909091	0.0
bbe-let-7a-1:MI0026170:Branchiostoma:belcheri:let-7a-1:stem-loop	1	1	0.09090909090909091	0.0
isc-let-7:MI0012260:Ixodes:scapularis:let-7:stem-loop	1	1	0.09090909090909091	0.0
asu-let-7:MI0018525:Ascaris:suum:let-7:stem-loop	1	1	0.09090909090909091	0.0
fru-let-7a-1:MI0003407:Fugu:rubripes:let-7a-1:stem-loop	1	1	0.09090909090909091	0.0
bbe-let-7a-2:MI0026171:Branchiostoma:belcheri:let-7a-2:stem-loop	1	1	0.09090909090909091	0.0
tni-let-7a-1:MI0003408:Tetraodon:nigroviridis:let-7a-1:stem-loop	1	1	0.09090909090909091	0.0
ssa-let-7a-2:MI0026742:Salmo:salar:let-7a-2:stem-loop	1	1	0.09090909090909091	0.0
xtr-let-7a:MI0004908:Xenopus:tropicalis:let-7a:stem-loop	1	1	0.09090909090909091	0.0
