GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
LUZP2	7	167	167.0	0.0
CTD-2328D6.1	94	152	152.0	0.0
RBBP7	12	116	116.0	0.0
AC010970.2	55	103	101.5	0.0
TBC1D8B	154	292	91.6535714285714	0.0
RP11-259O2.3	146	282	88.74285714285712	0.0
SLC38A6	146	283	87.82619047619046	0.0
HIF1AN	6	67	67.0	0.0
HSPA8P20	19	48	47.0	0.0
KSR2	5	33	32.5	0.0
KCNQ1OT1	55	75	29.535714285714278	0.0
KDM3B	8	28	28.0	0.0
PPP2R2A	5	24	24.0	0.0
MT-ND4	18	21	18.833333333333332	0.0
MT-ND5	16	19	18.0	0.0
RP11-346D14.1	27	30	17.442857142857143	0.0
RYK	6	17	17.0	0.0
MROH2B	10	17	17.0	0.0
RP11-677M14.7	8	17	17.0	0.0
MUC12	8	16	16.0	0.0
GNPDA1	5	15	15.0	0.0
RP1-140C12.2	4	14	14.0	0.0
SMC1A	4	12	12.0	0.0
MT-TQ	4	12	12.0	0.0
ESRG	9	16	12.0	0.0
HHLA1	11	13	11.75	0.0
RP4-712E4.1	4	23	11.5	0.0
RP4-712E4.2	4	23	11.5	0.0
ZNF859P	4	11	11.0	0.0
SLC12A9	2	11	11.0	0.0
C1orf51	5	11	10.999999999999996	0.0
RP11-142G1.3	27	38	10.75952380952381	0.0
MYO1F	4	10	10.333333333333334	0.0
IL16	6	10	10.000000000000004	0.0
RP11-38P22.2	4	10	10.0	0.0
RP11-87E22.2	5	10	10.0	0.0
FCGR2A	7	10	10.0	0.0
MT-CO2	8	10	9.5	0.0
RPAP2	16	19	9.45	0.0
SOD2	7	11	9.166666666666668	0.0
HP	2	9	9.0	0.0
TTI2	8	9	9.0	0.0
ESYT1	5	9	9.0	0.0
CCDC125	9	10	8.0	0.0
TTC39B	5	8	8.0	0.0
KIAA1328	14	15	7.659523809523808	0.0
MIPOL1	16	19	7.276190476190476	0.0
MT-CYB	8	8	7.25	0.0
UGDH-AS1	13	13	7.041666666666666	0.0
KCTD11	2	7	7.0	0.0
LURAP1L	2	7	7.0	0.0
CMTM7	3	7	7.0	0.0
RP11-727A23.10	7	7	7.0	0.0
EHMT1	2	6	7.0	0.0
CAPN2	2	7	7.0	0.0
PHF14	3	7	7.0	0.0
SULT1C2	4	6	6.999999999999999	0.0
SAFB	5	7	6.8999999999999995	0.0
MEF2BNB	6	7	6.5	0.0
ADAMTSL3	11	14	6.476190476190475	0.0
RP11-946L20.4	8	10	6.333333333333334	0.0
AC072062.1	6	7	6.2	0.0
INCA1	2	6	6.000000000000001	0.0
C10orf76	3	6	6.0	0.0
AP000462.1	2	6	6.0	0.0
IP6K1	4	6	6.0	0.0
DNAJC11	1	6	6.0	0.0
CDC37	2	6	6.0	0.0
SLC14A2	1	6	6.0	0.0
HYLS1	4	6	6.0	0.0
RP11-617J18.1	1	6	6.0	0.0
RN7SL694P	2	6	6.0	0.0
TOR3A	3	6	6.0	0.0
ARHGAP39	2	6	6.0	0.0
NAV2	2	6	5.999999999999999	0.0
MTND4P12	7	7	5.5	0.0
HSD17B7P2	2	7	5.5	0.0
LINC00504	7	7	5.166666666666666	0.0
PXDN	2	3	5.071428571428571	0.0
CTD-2247C11.4	2	5	5.0	0.0
PI4K2A	3	5	5.0	0.0
YTHDF1P1	1	5	5.0	0.0
PTPRQ	11	16	4.95	0.0
AL590867.1	9	9	4.910714285714286	0.0
TPTEP1	6	7	4.875	0.0
MTRF1L	2	6	4.8	0.0
MT-RNR2	5	5	4.333333333333334	0.0
TFPI	4	5	4.333333333333334	0.0
C5orf45	2	4	4.166666666666667	0.0
GGT1	4	7	4.095	0.0
