depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	2	298899
1	superkingdom	10239	1	Viruses	0	28
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	11
3	family	10508	35237	Adenoviridae	0	3
4	genus	10552	10508	Aviadenovirus	0	3
5	species	1146875	10552	Turkey aviadenovirus B	0	3
6	no rank	878329	1146875	Turkey adenovirus 1	3	0
3	order	28883	35237	Caudovirales	0	3
4	family	10699	28883	Siphoviridae	0	3
5	no rank	196894	10699	unclassified Siphoviridae	0	3
6	species	1211640	196894	Caulobacter phage CcrColossus	3	0
3	order	548681	35237	Herpesvirales	0	5
4	family	10292	548681	Herpesviridae	0	5
5	subfamily	10293	10292	Alphaherpesvirinae	0	3
6	genus	180252	10293	Mardivirus	0	3
7	species	104388	180252	Anatid herpesvirus 1	3	0
2	no rank	439488	10239	ssRNA viruses	0	17
3	no rank	35278	439488	ssRNA positive-strand viruses, no DNA stage	0	17
4	order	675063	35278	Tymovirales	0	17
5	family	675068	675063	Betaflexiviridae	0	17
6	genus	12163	675068	Carlavirus	0	17
7	species	335963	12163	Hippeastrum latent virus	5	0
7	species	1177630	12163	American hop latent virus	12	0
1	no rank	131567	1	cellular organisms	152793	146078
2	superkingdom	2	131567	Bacteria	6648	37477
3	phylum	1117	2	Cyanobacteria	403	802
4	order	1161	1117	Nostocales	4	76
5	family	1162	1161	Nostocaceae	5	54
6	genus	1163	1162	Anabaena	0	25
7	species	1165	1163	Anabaena cylindrica	0	4
8	no rank	272123	1165	Anabaena cylindrica PCC 7122	0	4
9	no rank	1335021	272123	Anabaena cylindrica CCAP 1403/2B	4	0
7	species	46234	1163	Anabaena sp. 90	21	0
6	genus	1177	1162	Nostoc	0	12
7	species	28072	1177	Nostoc sp. PCC 7524	3	0
7	species	272131	1177	Nostoc punctiforme	0	7
8	no rank	63737	272131	Nostoc punctiforme PCC 73102	7	0
6	genus	56106	1162	Cylindrospermum	0	4
7	species	142864	56106	Cylindrospermum stagnale	0	4
8	no rank	56107	142864	Cylindrospermum stagnale PCC 7417	4	0
6	genus	98443	1162	Richelia	0	9
7	species	1164990	98443	Richelia intracellularis	9	0
6	genus	244599	1162	Raphidiopsis	0	4
7	species	668331	244599	Raphidiopsis brookii	0	4
8	no rank	533247	668331	Raphidiopsis brookii D9	4	0
5	family	1185	1161	Rivulariaceae	0	17
6	genus	1186	1185	Calothrix	0	12
7	species	32054	1186	Calothrix parietina	0	8
8	no rank	1170562	32054	Calothrix sp. PCC 6303	8	0
6	genus	373984	1185	Rivularia	0	5
7	species	373994	373984	Rivularia sp. PCC 7116	5	0
4	order	1189	1117	Stigonematales	0	17
5	genus	1190	1189	Fischerella	0	17
6	species	741277	1190	Fischerella sp. JSC-11	17	0
4	class	307596	1117	Gloeobacteria	0	13
5	order	307595	307596	Gloeobacterales	0	13
6	genus	33071	307595	Gloeobacter	0	13
7	species	33072	33071	Gloeobacter violaceus	0	13
8	no rank	251221	33072	Gloeobacter violaceus PCC 7421	13	0
4	subclass	1301283	1117	Oscillatoriophycideae	127	563
5	order	1118	1301283	Chroococcales	53	308
6	genus	1125	1118	Microcystis	9	1
6	genus	1129	1118	Synechococcus	4	83
7	species	32046	1129	Synechococcus elongatus	7	0
7	species	32049	1129	Synechococcus sp. PCC 7002	3	0
7	species	64471	1129	Synechococcus sp. CC9311	3	0
7	species	69042	1129	Synechococcus sp. WH 5701	51	0
7	species	91464	1129	Synechococcus sp. PCC 7335	4	0
7	species	221360	1129	Synechococcus sp. RS9917	5	0
7	species	321327	1129	Synechococcus sp. JA-3-3Ab	3	0
