depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	563	155256
1	no rank	12908	1	unclassified sequences	0	75
2	no rank	151659	12908	environmental samples	0	75
3	no rank	81490	151659	prokaryotic environmental samples	0	11
4	species	198431	81490	uncultured prokaryote	11	0
3	species	155900	151659	uncultured organism	63	0
1	no rank	131567	1	cellular organisms	1436	153745
2	superkingdom	2	131567	Bacteria	1199	13706
3	phylum	1117	2	Cyanobacteria	144	76
4	no rank	34079	1117	unclassified Cyanobacteria	15	0
4	no rank	48504	1117	environmental samples	0	14
5	species	1211	48504	uncultured cyanobacterium	12	0
4	subclass	1301283	1117	Oscillatoriophycideae	4	39
5	order	1118	1301283	Chroococcales	0	26
6	genus	1125	1118	Microcystis	0	20
7	species	1126	1125	Microcystis aeruginosa	5	15
8	no rank	285035	1126	Microcystis aeruginosa UTEX 'LB 2385'	0	15
9	no rank	1296356	285035	Microcystis aeruginosa CCAP 1450/12	15	0
6	genus	217161	1118	Chamaesiphon	0	3
5	order	1150	1301283	Oscillatoriales	2	11
6	genus	1152	1150	Pseudanabaena	0	3
7	no rank	500528	1152	environmental samples	0	3
8	species	500530	500528	uncultured Pseudanabaena sp.	3	0
6	genus	1198	1150	Phormidium	0	3
3	phylum	1224	2	Proteobacteria	864	7100
4	class	1236	1224	Gammaproteobacteria	147	683
5	order	72273	1236	Thiotrichales	0	18
6	family	34064	72273	Francisellaceae	0	12
7	genus	262	34064	Francisella	12	0
6	family	135617	72273	Thiotrichaceae	0	4
7	genus	90372	135617	Thiomargarita	0	3
8	no rank	298391	90372	environmental samples	0	3
9	species	298392	298391	uncultured Thiomargarita sp.	3	0
5	order	72274	1236	Pseudomonadales	4	128
6	family	468	72274	Moraxellaceae	2	12
7	genus	469	468	Acinetobacter	4	0
7	genus	212791	468	Enhydrobacter	7	0
6	family	135621	72274	Pseudomonadaceae	6	108
7	genus	286	135621	Pseudomonas	88	16
8	species group	136843	286	Pseudomonas fluorescens group	0	9
9	species	294	136843	Pseudomonas fluorescens	9	0
5	order	91347	1236	Enterobacteriales	0	41
6	family	543	91347	Enterobacteriaceae	1	40
7	genus	547	543	Enterobacter	0	3
7	genus	122277	543	Pectobacterium	0	28
8	no rank	228953	122277	environmental samples	0	28
9	species	228954	228953	uncultured Pectobacterium sp.	28	0
7	no rank	191675	543	unclassified Enterobacteriaceae	3	2
5	no rank	118884	1236	unclassified Gammaproteobacteria	354	1
5	order	118969	1236	Legionellales	0	4
6	family	444	118969	Legionellaceae	0	3
7	genus	445	444	Legionella	3	0
5	order	135614	1236	Xanthomonadales	0	86
6	family	32033	135614	Xanthomonadaceae	61	25
7	genus	338	32033	Xanthomonas	0	15
8	species	343	338	Xanthomonas translucens	15	0
7	genus	40323	32033	Stenotrophomonas	5	0
5	order	135618	1236	Methylococcales	0	11
6	family	403	135618	Methylococcaceae	3	8
7	genus	429	403	Methylobacter	8	0
5	order	135619	1236	Oceanospirillales	0	10
6	family	28256	135619	Halomonadaceae	0	8
7	genus	2745	28256	Halomonas	6	1
