GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
RNY4	4154	572889	134542.4773060169	0.0
RNY4P10	3095	567670	132920.7241097353	0.0
RNY1	2033	144053	126908.83948225618	0.0
Y_RNA.320	2462	536272	117616.09165153856	0.0
RNY4P7	2143	525313	114512.64923616243	0.0
RNY4P20	1262	245901	46581.43999771397	0.0
RNY5	1867	25659	23642.74999999997	0.0
SNHG1	1778	13366	16193.999999999987	0.0
RNU5E-1	1142	15273	15104.162265512276	0.0
C17orf76-AS1	293	10659	10744.12307692309	0.0
RNU5B-1	1614	10257	8718.328932178929	0.0
WDR74	2448	25808	8261.738512271311	0.0
RNU5A-1	1545	9727	8095.995598845591	0.0
RMRP	1021	7931	7928.666666666666	0.0
RNU2-48P	1378	54872	6861.434980398359	0.0
GAS5	337	3197	6820.280769230773	0.0
RPPH1	864	6262	6261.0	0.0
RNY4P17	242	34568	6249.015388825732	0.0
RNU2-61P	1012	42450	6178.885900618977	0.0
RNU2-37P	714	40554	5629.1125706072335	0.0
RNU2-33P	708	40194	5559.833573779162	0.0
RNU2-7P	502	38872	5297.69208887518	0.0
RNU12	531	4365	4354.999999999998	0.0
RNY4P27	1075	26959	4316.19768618861	0.0
LINC00910	1319	21549	4150.31038974027	0.0
RNU2-2P	2446	25806	4129.806756135656	0.0
RNU2-6P	1085	26239	3827.475136366531	0.0
VTRNA1-1	802	4113	3783.7500000000014	0.0
RPL23	422	5417	3771.086058386052	0.0
RNU2-59P	1026	10621	3654.0094048773058	0.0
GNB2L1	405	4105	3476.230158730173	0.0
RNU1-27P	3405	32165	3076.8847334826637	0.0
RNU1-28P	3405	32165	3076.8847334826637	0.0
RNU1-2	3405	32165	3076.8847334826637	0.0
RNU1-1	3405	32165	3076.8847334826637	0.0
RNU1-4	3405	32165	3076.8847334826637	0.0
RNU1-3	3405	32165	3076.8847334826637	0.0
RNVU1-18	3405	32165	3076.8847334826637	0.0
RNU2-26P	497	26011	3053.101281976761	0.0
RNU2-57P	497	26011	3053.101281976761	0.0
SNORD3A	1468	13998	2836.3483092697147	0.0
SNORD3C	1344	13731	2713.3760870474925	0.0
SNORD3B-2	1288	13577	2588.014975936381	0.0
SNORD3B-1	1287	13575	2586.014975936381	0.0
RP11-696N14.1	29	2318	2318.0	0.0
RN7SL1	1767	5881	2286.509466505942	0.0
SNORD3D	892	11255	2262.3684226884143	0.0
MT-RNR2	1770	3493	2183.2738095238115	0.0
RNU2-29P	302	16694	1875.6137681310106	0.0
RN7SL2	1454	5192	1778.3767578172533	0.0
SNORA21	307	5200	1733.3333333333308	0.0
RNU11	507	1623	1620.6666666666665	0.0
RPL17	313	1666	1608.6517538386772	0.0
RNVU1-17	907	15496	1602.3549534298338	0.0
SNORD6	282	1600	1600.0	0.0
RNVU1-7	2447	16606	1594.8416293645732	0.0
RNVU1-9	2447	16606	1594.8416293645732	0.0
RNY4P2	253	6023	1589.3120207951072	0.0
C1orf213	399	7424	1515.1244270066818	0.0
Y_RNA.272	398	7423	1514.1244270066818	0.0
Y_RNA.133	104	1620	1466.413646072862	0.0
Y_RNA.488	51	7374	1466.0646139806033	0.0
Y_RNA.40	50	7369	1464.0760387117862	0.0
Y_RNA.556	70	7394	1462.4534905479663	0.0
Y_RNA.196	42	7312	1458.655687806653	0.0
Y_RNA.122	187	7726	1457.4786608117413	0.0
RNU2-30P	828	15349	1416.5921052636604	0.0
SNHG5	318	1386	1395.0000000000002	0.0
RNU2-23P	736	14935	1370.951331492948	0.0
Y_RNA.318	39	2799	1358.488062455542	0.0
EIF4A2	471	1693	1342.6694444444404	0.0
RNU2-46P	696	14700	1302.9851133993138	0.0
VTRNA2-1	524	1274	1273.3333333333333	0.0
TAF1D	424	1752	1255.0999999999992	0.0
RNVU1-1	1543	16109	1232.446525509578	0.0
RNVU1-10	1543	16109	1232.446525509578	0.0
Y_RNA.44	273	8558	1194.4650765900756	0.0
RNY4P14	100	7912	1168.5542140536563	0.0
Y_RNA.79	98	7907	1167.202698902141	0.0
RPL13A	354	1673	1158.564028373585	0.0
RNY4P5	1016	5710	1128.0118590670206	0.0
NCAPG	32	1105	1103.3999999999999	0.0
Y_RNA.383	147	2552	1084.2782106782104	0.0
RNU2-41P	415	12018	1058.2655264655032	0.0
SNORD20	202	1049	1049.0	0.0
VTRNA1-2	367	1187	1048.9166666666665	0.0
RNU2-13P	363	11710	1039.5698321271614	0.0
MALAT1	717	994	993.6666666666665	0.0
Y_RNA.3	278	8301	973.5916718635276	0.0
SNORD48	142	1145	935.0	0.0
RNU2-36P	468	7030	933.5580146747478	0.0
