depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	0	276742
1	superkingdom	10239	1	Viruses	0	38
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	33
3	family	423358	35237	Bicaudaviridae	0	18
4	no rank	1123963	423358	unclassified Bicaudaviridae	0	18
5	species	285013	1123963	Sulfolobus virus STSV1	18	0
3	order	548681	35237	Herpesvirales	0	11
4	family	10292	548681	Herpesviridae	0	8
5	subfamily	10357	10292	Betaherpesvirinae	0	4
6	genus	10358	10357	Cytomegalovirus	0	4
7	species	1535247	10358	Saimiriine herpesvirus 4	4	0
4	family	548682	548681	Alloherpesviridae	0	3
5	genus	692606	548682	Cyprinivirus	0	3
6	species	317858	692606	Cyprinid herpesvirus 1	3	0
2	no rank	35268	10239	Retro-transcribing viruses	0	3
3	family	11632	35268	Retroviridae	0	3
4	subfamily	327045	11632	Orthoretrovirinae	0	3
5	genus	153136	327045	Deltaretrovirus	0	3
6	species	194441	153136	Primate T-lymphotropic virus 2	0	3
7	no rank	33748	194441	Simian T-lymphotropic virus 2	3	0
1	no rank	131567	1	cellular organisms	44886	231818
2	superkingdom	2	131567	Bacteria	2325	8755
3	phylum	1117	2	Cyanobacteria	6	157
4	order	1161	1117	Nostocales	0	20
5	family	1162	1161	Nostocaceae	2	14
6	genus	1177	1162	Nostoc	0	9
7	species	103690	1177	Nostoc sp. PCC 7120	4	0
7	species	272131	1177	Nostoc punctiforme	0	5
8	no rank	63737	272131	Nostoc punctiforme PCC 73102	5	0
6	genus	77021	1162	Cylindrospermopsis	0	3
7	species	77022	77021	Cylindrospermopsis raciborskii	0	3
8	no rank	533240	77022	Cylindrospermopsis raciborskii CS-505	3	0
5	family	1185	1161	Rivulariaceae	0	4
6	genus	1186	1185	Calothrix	0	4
7	species	1337936	1186	Calothrix sp. 336/3	3	0
4	order	52604	1117	Pleurocapsales	0	26
5	genus	44474	52604	Pleurocapsa	0	17
6	species	54308	44474	Pleurocapsa minor	0	17
7	no rank	118163	54308	Pleurocapsa sp. PCC 7327	17	0
5	genus	54298	52604	Chroococcidiopsis	0	8
6	species	54299	54298	Chroococcidiopsis thermalis	0	8
