ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	50	1333	1313.25	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	15	1018	504.4166666666667	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	15	1018	504.4166666666667	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	9	237	220.25	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	35	199	199.0	0.0
hsa-mir-4708:MI0017341:Homo:sapiens:miR-4708:stem-loop	30	115	115.0	0.0
hsa-mir-98:MI0000100:Homo:sapiens:miR-98:stem-loop	12	64	45.0	0.0
hsa-mir-101-1:MI0000103:Homo:sapiens:miR-101-1:stem-loop	8	26	26.0	0.0
hsa-mir-5580:MI0019135:Homo:sapiens:miR-5580:stem-loop	12	24	24.0	0.0
hsa-mir-548q:MI0010637:Homo:sapiens:miR-548q:stem-loop	5	15	15.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	9	15	13.5	0.0
hsa-mir-2116:MI0010635:Homo:sapiens:miR-2116:stem-loop	5	13	13.0	0.0
hsa-mir-3922:MI0016429:Homo:sapiens:miR-3922:stem-loop	7	11	11.0	0.0
hsa-mir-374a:MI0000782:Homo:sapiens:miR-374a:stem-loop	4	10	10.0	0.0
hsa-mir-324:MI0000813:Homo:sapiens:miR-324:stem-loop	5	8	8.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	6	7	7.0	0.0
hsa-mir-219a-1:MI0000296:Homo:sapiens:miR-219a-1:stem-loop	3	7	7.0	0.0
hsa-mir-196a-1:MI0000238:Homo:sapiens:miR-196a-1:stem-loop	5	6	6.0	0.0
hsa-mir-4645:MI0017272:Homo:sapiens:miR-4645:stem-loop	4	6	6.0	0.0
hsa-mir-23b:MI0000439:Homo:sapiens:miR-23b:stem-loop	3	6	6.0	0.0
hsa-mir-93:MI0000095:Homo:sapiens:miR-93:stem-loop	3	6	6.0	0.0
hsa-mir-4473:MI0016825:Homo:sapiens:miR-4473:stem-loop	2	6	6.0	0.0
hsa-mir-4754:MI0017394:Homo:sapiens:miR-4754:stem-loop	4	6	6.0	0.0
hsa-mir-629:MI0003643:Homo:sapiens:miR-629:stem-loop	5	5	5.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	2	5	5.0	0.0
hsa-mir-6077:MI0020354:Homo:sapiens:miR-6077:stem-loop	4	5	5.0	0.0
hsa-mir-1278:MI0006425:Homo:sapiens:miR-1278:stem-loop	1	5	5.0	0.0
hsa-mir-3925:MI0016433:Homo:sapiens:miR-3925:stem-loop	4	4	4.0	0.0
hsa-mir-497:MI0003138:Homo:sapiens:miR-497:stem-loop	2	4	4.0	0.0
hsa-let-7d:MI0000065:Homo:sapiens:let-7d:stem-loop	3	4	4.0	0.0
