depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	91	5356
1	no rank	12908	1	unclassified sequences	0	14
2	no rank	151659	12908	environmental samples	0	14
3	species	155900	151659	uncultured organism	13	0
1	no rank	131567	1	cellular organisms	48	5294
2	superkingdom	2	131567	Bacteria	80	1780
3	phylum	1117	2	Cyanobacteria	2	5
4	no rank	48504	1117	environmental samples	0	3
5	species	1211	48504	uncultured cyanobacterium	3	0
3	phylum	1224	2	Proteobacteria	22	1211
4	class	1236	1224	Gammaproteobacteria	19	165
5	order	72273	1236	Thiotrichales	0	19
6	family	135617	72273	Thiotrichaceae	0	19
7	genus	90372	135617	Thiomargarita	0	19
8	no rank	298391	90372	environmental samples	0	19
9	species	298392	298391	uncultured Thiomargarita sp.	19	0
5	order	72274	1236	Pseudomonadales	0	22
6	family	468	72274	Moraxellaceae	0	3
6	family	135621	72274	Pseudomonadaceae	1	18
7	genus	286	135621	Pseudomonas	11	6
8	no rank	62104	286	environmental samples	0	3
9	species	114707	62104	uncultured Pseudomonas sp.	3	0
5	order	91347	1236	Enterobacteriales	0	50
6	family	543	91347	Enterobacteriaceae	2	48
7	genus	620	543	Shigella	0	41
8	species	624	620	Shigella sonnei	41	0
7	no rank	191675	543	unclassified Enterobacteriaceae	4	0
5	no rank	118884	1236	unclassified Gammaproteobacteria	63	0
5	order	135614	1236	Xanthomonadales	0	5
6	family	32033	135614	Xanthomonadaceae	2	3
5	order	135619	1236	Oceanospirillales	0	4
6	family	28256	135619	Halomonadaceae	0	4
4	class	28211	1224	Alphaproteobacteria	0	25
5	order	356	28211	Rhizobiales	2	10
6	family	119045	356	Methylobacteriaceae	0	4
7	genus	407	119045	Methylobacterium	1	3
5	order	204457	28211	Sphingomonadales	0	8
6	family	41297	204457	Sphingomonadaceae	0	8
7	genus	13687	41297	Sphingomonas	4	3
8	species	1609977	13687	Sphingomonas sp. WHSC-8	3	0
4	class	28216	1224	Betaproteobacteria	8	72
5	order	80840	28216	Burkholderiales	4	47
6	family	80864	80840	Comamonadaceae	4	6
6	family	119060	80840	Burkholderiaceae	0	23
7	genus	32008	119060	Burkholderia	17	6
8	no rank	77118	32008	environmental samples	0	6
9	species	188058	77118	uncultured Burkholderia sp.	6	0
6	no rank	119065	80840	unclassified Burkholderiales	6	6
7	no rank	224471	119065	Burkholderiales Genera incertae sedis	0	6
8	genus	92793	224471	Aquabacterium	2	4
9	no rank	158752	92793	environmental samples	0	4
10	species	158753	158752	uncultured Aquabacterium sp.	4	0
5	no rank	119066	28216	unclassified Betaproteobacteria	13	1
5	order	206389	28216	Rhodocyclales	0	4
6	family	75787	206389	Rhodocyclaceae	0	4
7	genus	73029	75787	Dechloromonas	0	4
8	species	188737	73029	Dechloromonas sp. HZ	4	0
4	no rank	32045	1224	unclassified Proteobacteria	12	0
4	subphylum	68525	1224	delta/epsilon subdivisions	0	910
5	class	28221	68525	Deltaproteobacteria	6	4
5	class	29547	68525	Epsilonproteobacteria	0	900
6	no rank	34035	29547	unclassified Epsilonproteobacteria	899	0
3	phylum	1239	2	Firmicutes	1	52
4	class	91061	1239	Bacilli	0	16
5	order	1385	91061	Bacillales	0	12
6	family	90964	1385	Staphylococcaceae	0	3
6	family	186817	1385	Bacillaceae	0	5
7	genus	1386	186817	Bacillus	1	4
5	order	186826	91061	Lactobacillales	0	4
6	family	1300	186826	Streptococcaceae	0	3
7	genus	1301	1300	Streptococcus	3	0
4	class	186801	1239	Clostridia	0	36
5	order	186802	186801	Clostridiales	6	29
6	family	186807	186802	Peptococcaceae	0	14
7	genus	36853	186807	Desulfitobacterium	0	13
8	species	49338	36853	Desulfitobacterium hafniense	13	0
6	family	541000	186802	Ruminococcaceae	1	8
7	genus	216851	541000	Faecalibacterium	0	4
8	species	853	216851	Faecalibacterium prausnitzii	0	4
9	no rank	657322	853	Faecalibacterium prausnitzii SL3/3	4	0
7	no rank	552397	541000	unclassified Ruminococcaceae	4	0
3	no rank	2323	2	unclassified Bacteria	125	115
4	no rank	49928	2323	unclassified Bacteria (miscellaneous)	0	114
5	species	1292554	49928	bacterium 20-L049642-122-014-D03	112	0
3	phylum	32066	2	Fusobacteria	0	3
4	class	203490	32066	Fusobacteriia	0	3
5	order	203491	203490	Fusobacteriales	0	3
3	superphylum	51290	2	Chlamydiae/Verrucomicrobia group	0	8
4	phylum	74201	51290	Verrucomicrobia	0	8
5	class	203494	74201	Verrucomicrobiae	0	3
6	order	48461	203494	Verrucomicrobiales	0	3
7	family	203557	48461	Verrucomicrobiaceae	0	3
3	phylum	67819	2	Armatimonadetes	4	1
3	superphylum	68336	2	Bacteroidetes/Chlorobi group	0	65
4	phylum	976	68336	Bacteroidetes	18	47
5	class	117743	976	Flavobacteriia	0	12
6	order	200644	117743	Flavobacteriales	0	12
7	family	49546	200644	Flavobacteriaceae	4	8
8	genus	237	49546	Flavobacterium	1	4
9	species	96345	237	Flavobacterium psychrophilum	4	0
5	class	117747	976	Sphingobacteriia	0	20
6	order	200666	117747	Sphingobacteriales	1	19
7	family	84566	200666	Sphingobacteriaceae	0	11
8	genus	28453	84566	Sphingobacterium	9	0
7	family	563835	200666	Chitinophagaceae	1	7
8	genus	79328	563835	Chitinophaga	3	0
5	class	200643	976	Bacteroidia	0	7
6	order	171549	200643	Bacteroidales	2	5
7	family	171551	171549	Porphyromonadaceae	0	3
5	class	768503	976	Cytophagia	0	5
6	order	768507	768503	Cytophagales	0	5
7	family	89373	768507	Cytophagaceae	0	5
3	superphylum	131550	2	Fibrobacteres/Acidobacteria group	0	7
4	phylum	57723	131550	Acidobacteria	4	3
3	phylum	142182	2	Gemmatimonadetes	0	4
4	no rank	142185	142182	environmental samples	0	4
5	species	203437	142185	uncultured Gemmatimonadetes bacterium	4	0
3	phylum	200795	2	Chloroflexi	2	9
4	no rank	58229	200795	environmental samples	0	4
5	species	166587	58229	uncultured Chloroflexi bacterium	4	0
4	class	292625	200795	Anaerolineae	0	4
5	order	292629	292625	Anaerolineales	0	3
6	family	292628	292629	Anaerolineaceae	0	3
3	phylum	201174	2	Actinobacteria	1	79
4	class	1760	201174	Actinobacteria	12	65
5	order	2037	1760	Actinomycetales	0	7
6	no rank	38987	2037	unclassified Actinomycetales	0	6
7	no rank	105426	38987	unclassified Actinomycetales (miscellaneous)	6	0
5	no rank	35766	1760	environmental samples	0	3
6	species	152507	35766	uncultured actinobacterium	3	0
5	order	85006	1760	Micrococcales	1	14
6	family	85023	85006	Microbacteriaceae	0	11
7	genus	33882	85023	Microbacterium	7	1
5	order	85007	1760	Corynebacteriales	0	32
6	family	85025	85007	Nocardiaceae	0	30
7	genus	1827	85025	Rhodococcus	0	30
8	species	373913	1827	Rhodococcus sp. B-1016	29	0
5	order	85013	1760	Frankiales	0	5
6	family	74712	85013	Frankiaceae	0	5
7	genus	1854	74712	Frankia	5	0
3	phylum	203682	2	Planctomycetes	0	54
4	class	203683	203682	Planctomycetia	0	54
5	order	112	203683	Planctomycetales	2	52
6	family	126	112	Planctomycetaceae	17	32
7	no rank	69476	126	unclassified Planctomycetaceae	24	0
7	genus	600332	126	Zavarzinella	4	1
6	no rank	40903	112	environmental samples	0	3
7	species	120965	40903	uncultured planctomycete	3	0
3	phylum	203691	2	Spirochaetes	0	4
4	class	203692	203691	Spirochaetia	0	4
5	order	136	203692	Spirochaetales	0	3
2	superkingdom	2157	131567	Archaea	22	88
3	phylum	28890	2157	Euryarchaeota	0	3
4	no rank	68359	28890	environmental samples	0	3
3	no rank	48510	2157	environmental samples	5	29
4	species	115547	48510	uncultured archaeon	28	0
3	phylum	651137	2157	Thaumarchaeota	0	49
4	class	1643678	651137	Nitrososphaeria	0	48
5	order	1033996	1643678	Nitrososphaerales	0	48
6	family	1033997	1033996	Nitrososphaeraceae	0	48
7	genus	497726	1033997	Nitrososphaera	48	0
2	superkingdom	2759	131567	Eukaryota	29	3295
3	no rank	33154	2759	Opisthokonta	0	3243
4	kingdom	4751	33154	Fungi	401	2841
5	phylum	4761	4751	Chytridiomycota	4	82
6	class	451435	4761	Chytridiomycetes	6	73
