GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
GAS5	5660	218917	372507.01009253436	0.0
SNHG1	8012	164081	204360.7059340652	0.0
RNY1	2954	193672	143345.67255621008	0.0
MT-RNR2	33714	202152	135617.84491341523	0.0
C17orf76-AS1	2024	90102	90775.22850678679	0.0
MT-RNR1	17504	86760	86716.62692307692	0.0
SNORD48	627	82530	80279.0	0.0
MT-TE	2975	64157	64157.0	0.0
RNY4	3509	256087	61119.481665456464	0.0
RNY4P10	2701	251253	60289.92661322463	0.0
Y_RNA.320	2167	236080	53055.07480160034	0.0
RNY4P7	1880	228918	50899.699024832706	0.0
SNORD78	1707	50478	50403.625	0.0
MT-TS2	1709	47153	47068.25	0.0
SNORD104	1436	46320	46319.2	0.0
SNHG5	2530	43043	43068.93333333349	0.0
SNORD63	1701	41558	41558.0	0.0
VTRNA1-2	1845	38888	37980.80000000002	0.0
MT-TF	2743	36853	36853.0	0.0
SNORD12C	1196	36380	36380.0	0.0
SNORD82	1623	32739	32548.67792207792	0.0
RPL17	2130	23888	30312.11508654765	0.0
SNORD101	1149	28598	28592.6	0.0
SNORD3A	4793	144309	25855.8926347574	0.0
SNORD60	1286	25679	25667.88888888889	0.0
SNORD3C	4533	143818	25632.798190312955	0.0
SNORD3B-2	4409	141569	24423.75374586846	0.0
SNORD3B-1	4300	141401	24368.43707920177	0.0
MT-ND4	10806	27127	22869.783333333296	0.0
MT-TP	875	21149	21148.5	0.0
MTRNR2L8	9040	72613	19523.936976912424	0.0
MT-TH	2167	19094	19092.75	0.0
MT-CO1	12636	35480	19067.643859371747	0.0
RPL4	1265	19019	18970.211548908526	0.0
SNORD69	1158	17908	17908.0	0.0
RNY4P20	1095	91906	17572.647286258598	0.0
MT-CO2	7443	23654	17535.133333333448	0.0
EIF4A2	2261	21063	16872.82612803825	0.0
MTRNR2L12	8838	62034	16004.389357864633	0.0
MT-ND5	8225	17983	14989.903174603212	0.0
MTRNR2L2	6959	57113	14555.425072150258	0.0
VTRNA2-1	1365	14238	14236.733333333332	0.0
SNORD6	1078	13645	13619.833333333332	0.0
MT-CYB	5592	13875	12706.192063492068	0.0
SNORD119	920	12694	12694.0	0.0
MT-ND1	5154	14120	12564.37500000001	0.0
TAF1D	1747	18184	12432.594733044674	0.0
SNORD43	1380	19894	12328.0	0.0
ERBB2	435	11615	11632.855452734404	0.0
SNORD13	575	11972	11622.318650793646	0.0
