ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-24-2:MI0000081:Homo:sapiens:miR-24-2:stem-loop	238	28417	28404.0	0.0
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	323	7587	7587.0	0.0
hsa-mir-141:MI0000457:Homo:sapiens:miR-141:stem-loop	100	2966	2966.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	187	2913	2912.5	0.0
hsa-mir-200b:MI0000342:Homo:sapiens:miR-200b:stem-loop	166	2892	2892.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	191	2581	2581.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	259	2005	2005.0	0.0
hsa-mir-3607:MI0015997:Homo:sapiens:miR-3607:stem-loop	349	1918	1918.0	0.0
hsa-mir-452:MI0001733:Homo:sapiens:miR-452:stem-loop	99	1893	1893.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	46	1420	1420.0	0.0
hsa-mir-33a:MI0000091:Homo:sapiens:miR-33a:stem-loop	30	1229	1229.0	0.0
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	150	1149	1149.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	185	1090	1090.0	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	69	1049	1049.0	0.0
hsa-mir-425:MI0001448:Homo:sapiens:miR-425:stem-loop	229	1006	1006.0	0.0
hsa-mir-192:MI0000234:Homo:sapiens:miR-192:stem-loop	97	897	897.0	0.0
hsa-mir-7-1:MI0000263:Homo:sapiens:miR-7-1:stem-loop	145	1664	855.8333333333334	0.0
hsa-mir-96:MI0000098:Homo:sapiens:miR-96:stem-loop	36	847	847.0	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	94	819	819.0	0.0
hsa-mir-2110:MI0010629:Homo:sapiens:miR-2110:stem-loop	131	799	799.0	0.0
hsa-mir-429:MI0001641:Homo:sapiens:miR-429:stem-loop	104	753	753.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	39	704	704.0	0.0
hsa-mir-27a:MI0000085:Homo:sapiens:miR-27a:stem-loop	49	667	666.5	0.0
hsa-mir-30d:MI0000255:Homo:sapiens:miR-30d:stem-loop	90	644	643.0	0.0
hsa-mir-30e:MI0000749:Homo:sapiens:miR-30e:stem-loop	116	622	621.5	0.0
hsa-mir-15b:MI0000438:Homo:sapiens:miR-15b:stem-loop	32	614	614.0	0.0
hsa-mir-4521:MI0016887:Homo:sapiens:miR-4521:stem-loop	155	597	597.0	0.0
hsa-mir-4473:MI0016825:Homo:sapiens:miR-4473:stem-loop	77	581	581.0	0.0
hsa-mir-1273c:MI0014171:Homo:sapiens:miR-1273c:stem-loop	78	527	527.0	0.0
hsa-mir-7-2:MI0000264:Homo:sapiens:miR-7-2:stem-loop	62	1330	525.3333333333335	0.0
hsa-mir-877:MI0005561:Homo:sapiens:miR-877:stem-loop	109	522	522.0	0.0
hsa-mir-196a-1:MI0000238:Homo:sapiens:miR-196a-1:stem-loop	60	486	486.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	92	446	446.0	0.0
hsa-mir-29c:MI0000735:Homo:sapiens:miR-29c:stem-loop	56	453	445.0	0.0
hsa-mir-4326:MI0015866:Homo:sapiens:miR-4326:stem-loop	45	422	422.0	0.0
hsa-mir-148b:MI0000811:Homo:sapiens:miR-148b:stem-loop	32	414	414.0	0.0
hsa-mir-1306:MI0006443:Homo:sapiens:miR-1306:stem-loop	45	411	411.0	0.0
hsa-mir-7-3:MI0000265:Homo:sapiens:miR-7-3:stem-loop	62	1217	408.83333333333337	0.0
hsa-mir-942:MI0005767:Homo:sapiens:miR-942:stem-loop	30	398	398.0	0.0
hsa-mir-182:MI0000272:Homo:sapiens:miR-182:stem-loop	130	363	363.0	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	120	419	324.0833333333333	0.0
hsa-mir-7854:MI0025524:Homo:sapiens:miR-7854:stem-loop	47	312	312.0	0.0
hsa-mir-27b:MI0000440:Homo:sapiens:miR-27b:stem-loop	39	312	311.5	0.0
hsa-mir-4485:MI0016846:Homo:sapiens:miR-4485:stem-loop	67	303	303.0	0.0
hsa-mir-1291:MI0006353:Homo:sapiens:miR-1291:stem-loop	47	294	294.0	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	97	381	286.0833333333333	0.0
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	84	268	268.0	0.0
hsa-mir-181b-1:MI0000270:Homo:sapiens:miR-181b-1:stem-loop	89	461	250.16666666666666	0.0
hsa-mir-3155a:MI0014183:Homo:sapiens:miR-3155a:stem-loop	35	247	247.0	0.0
hsa-mir-3653:MI0016053:Homo:sapiens:miR-3653:stem-loop	92	244	244.0	0.0
hsa-mir-142:MI0000458:Homo:sapiens:miR-142:stem-loop	40	231	231.0	0.0
hsa-mir-181b-2:MI0000683:Homo:sapiens:miR-181b-2:stem-loop	76	438	228.16666666666666	0.0
hsa-mir-331:MI0000812:Homo:sapiens:miR-331:stem-loop	61	224	224.0	0.0
hsa-mir-29a:MI0000087:Homo:sapiens:miR-29a:stem-loop	52	224	224.0	0.0
hsa-mir-183:MI0000273:Homo:sapiens:miR-183:stem-loop	99	220	220.0	0.0
hsa-mir-559:MI0003565:Homo:sapiens:miR-559:stem-loop	43	219	219.0	0.0
