ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_piR_020008|gb|DQ597482|Homo_sapiens:11:10487020:10487050:Minus	16	17	17.0	0.0
hsa_piR_000615|gb|DQ570764|Homo_sapiens:10:100244314:100244344:Plus	5	6	6.0	0.0
hsa_piR_007871|gb|DQ580710|Homo_sapiens:1:108683370:108683400:Plus	2	5	5.0	0.0
hsa_piR_010512|gb|DQ584155|Homo_sapiens:8:101028685:101028710:Minus	3	3	3.0	0.0
hsa_piR_016924|gb|DQ593320|Homo_sapiens:12:100064940:100064968:Plus	3	3	3.0	0.0
hsa_piR_008160|gb|DQ581094|Homo_sapiens:12:54797417:54797447:Minus	2	3	3.0	0.0
hsa_piR_019521|gb|DQ596805|Homo_sapiens:11:10487516:10487542:Minus	2	3	3.0	0.0
hsa_piR_008252|gb|DQ581210|Homo_sapiens:11:100030807:100030837:Plus	2	3	3.0	0.0
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	5	5	2.5	0.0
hsa_piR_001169|gb|DQ571525|Homo_sapiens:17:21945564:21945589:Plus	5	5	2.5	0.0
hsa_piR_021221|gb|DQ599154|Homo_sapiens:16:71380219:71380245:Minus	2	3	2.5	0.0
hsa_piR_002758|gb|DQ573714|Homo_sapiens:9:114913455:114913485:Minus	1	2	2.0	0.0
hsa_piR_017788|gb|DQ594553|Homo_sapiens:2:53911966:53911992:Minus	1	2	2.0	0.0
hsa_piR_009391|gb|DQ582692|Homo_sapiens:12:10009535:10009562:Minus	1	2	2.0	0.0
hsa_piR_015232|gb|DQ590807|Homo_sapiens:6:27208516:27208545:Plus	2	2	2.0	0.0
hsa_piR_008416|gb|DQ581422|Homo_sapiens:17:19999582:19999607:Plus	2	2	2.0	0.0
hsa_piR_015995|gb|DQ591840|Homo_sapiens:5:63710955:63710981:Minus	1	2	2.0	0.0
hsa_piR_000725|gb|DQ570900|Homo_sapiens:15:49361936:49361966:Minus	2	2	2.0	0.0
hsa_piR_013268|gb|DQ587982|Homo_sapiens:2:111165915:111165942:Plus	1	2	2.0	0.0
hsa_piR_017952|gb|DQ594758|Homo_sapiens:Y:1156588:1156613:Minus	1	2	2.0	0.0
hsa_piR_014116|gb|DQ589287|Homo_sapiens:12:102142119:102142145:Plus	2	2	2.0	0.0
hsa_piR_001587|gb|DQ572160|Homo_sapiens:8:132903804:132903830:Minus	2	2	2.0	0.0
hsa_piR_004224|gb|DQ575760|Homo_sapiens:13:26922406:26922432:Minus	2	2	2.0	0.0
hsa_piR_016044|gb|DQ591900|Homo_sapiens:2:213606360:213606386:Minus	1	2	2.0	0.0
hsa_piR_020240|gb|DQ597791|Homo_sapiens:16:11926819:11926845:Plus	2	2	2.0	0.0
hsa_piR_021281|gb|DQ599234|Homo_sapiens:10:79202018:79202046:Plus	1	2	2.0	0.0
hsa_piR_019221|gb|DQ596386|Homo_sapiens:16:30577665:30577691:Plus	1	1	1.0	0.0
hsa_piR_021523|gb|DQ599532|Homo_sapiens:18:11611040:11611065:Minus	1	1	1.0	0.0
hsa_piR_012798|gb|DQ587333|Homo_sapiens:15:49371862:49371891:Minus	1	1	1.0	0.0
hsa_piR_005112|gb|DQ577054|Homo_sapiens:10:79200182:79200211:Plus	1	1	1.0	0.0
hsa_piR_008540|gb|DQ581594|Homo_sapiens:Y:24735847:24735876:Minus	1	1	1.0	0.0
hsa_piR_008674|gb|DQ581776|Homo_sapiens:22:30680966:30680991:Minus	1	1	1.0	0.0
hsa_piR_018916|gb|DQ595985|Homo_sapiens:11:45673140:45673169:Minus	1	1	1.0	0.0
hsa_piR_006326|gb|DQ578649|Homo_sapiens:18:11627303:11627330:Plus	1	1	1.0	0.0
hsa_piR_002506|gb|DQ573378|Homo_sapiens:17:38215225:38215251:Plus	1	1	1.0	0.0
hsa_piR_003522|gb|DQ574779|Homo_sapiens:9:42358459:42358488:Plus	1	1	1.0	0.0
hsa_piR_017357|gb|DQ593997|Homo_sapiens:17:16385622:16385647:Plus	1	1	1.0	0.0
hsa_piR_023218|gb|DQ601758|Homo_sapiens:20:37348425:37348452:Plus	1	1	1.0	0.0
hsa_piR_009563|gb|DQ582901|Homo_sapiens:10:81132666:81132691:Plus	1	1	1.0	0.0
hsa_piR_000416|gb|DQ570503|Homo_sapiens:8:145715273:145715301:Minus	1	1	1.0	0.0
hsa_piR_007394|gb|DQ580078|Homo_sapiens:12:52666365:52666393:Minus	1	1	1.0	0.0
hsa_piR_003879|gb|DQ575278|Homo_sapiens:10:105950050:105950080:Plus	1	1	1.0	0.0
hsa_piR_010958|gb|DQ584785|Homo_sapiens:17:49851102:49851128:Minus	1	1	1.0	0.0
hsa_piR_009684|gb|DQ583052|Homo_sapiens:5:64820332:64820359:Minus	1	1	1.0	0.0
hsa_piR_014440|gb|DQ589771|Homo_sapiens:X:100710490:100710516:Plus	1	1	1.0	0.0
hsa_piR_013284|gb|DQ587999|Homo_sapiens:10:1381326:1381354:Plus	1	1	1.0	0.0
hsa_piR_014268|gb|DQ589500|Homo_sapiens:17:18248100:18248128:Minus	1	1	1.0	0.0
hsa_piR_009159|gb|DQ582405|Homo_sapiens:1:120830899:120830924:Minus	1	1	1.0	0.0
hsa_piR_017480|gb|DQ594153|Homo_sapiens:11:45654536:45654565:Minus	1	1	1.0	0.0
hsa_piR_010003|gb|DQ583465|Homo_sapiens:16:29385587:29385612:Minus	1	1	1.0	0.0
hsa_piR_006419|gb|DQ578769|Homo_sapiens:15:19031905:19031934:Plus	1	1	1.0	0.0
hsa_piR_018962|gb|DQ596042|Homo_sapiens:22:17214800:17214830:Plus	1	1	1.0	0.0
hsa_piR_002852|gb|DQ573835|Homo_sapiens:1:106806493:106806521:Plus	1	1	1.0	0.0
hsa_piR_008213|gb|DQ581157|Homo_sapiens:16:71379019:71379045:Minus	1	1	1.0	0.0
hsa_piR_014985|gb|DQ590496|Homo_sapiens:6:158764380:158764407:Plus	1	1	1.0	0.0
hsa_piR_017288|gb|DQ593899|Homo_sapiens:8:77667657:77667684:Minus	1	1	1.0	0.0
hsa_piR_002855|gb|DQ573840|Homo_sapiens:X:100326038:100326067:Plus	1	1	1.0	0.0
hsa_piR_022383|gb|DQ600625|Homo_sapiens:15:86888000:86888028:Plus	1	1	1.0	0.0
hsa_piR_000912|gb|DQ571160|Homo_sapiens:4:104698841:104698866:Plus	1	1	1.0	0.0
hsa_piR_011550|gb|DQ585646|Homo_sapiens:3:158079790:158079817:Plus	1	1	1.0	0.0
hsa_piR_005255|gb|DQ577237|Homo_sapiens:10:104508697:104508726:Plus	1	1	1.0	0.0
hsa_piR_000187|gb|DQ570191|Homo_sapiens:10:46572352:46572380:Plus	1	1	1.0	0.0
hsa_piR_004923|gb|DQ576771|Homo_sapiens:11:11885987:11886018:Minus	1	1	1.0	0.0
hsa_piR_006791|gb|DQ579273|Homo_sapiens:17:44026242:44026268:Minus	1	1	1.0	0.0
hsa_piR_009087|gb|DQ582315|Homo_sapiens:1:98899625:98899650:Plus	1	1	1.0	0.0
hsa_piR_020643|gb|DQ598408|Homo_sapiens:12:130534875:130534902:Minus	1	1	1.0	0.0
hsa_piR_018483|gb|DQ595419|Homo_sapiens:15:49355854:49355884:Minus	1	1	1.0	0.0
hsa_piR_013797|gb|DQ588848|Homo_sapiens:21:44727469:44727500:Minus	1	1	1.0	0.0
hsa_piR_015247|gb|DQ590827|Homo_sapiens:16:70613430:70613459:Minus	1	1	1.0	0.0
hsa_piR_014269|gb|DQ589501|Homo_sapiens:10:126299821:126299847:Minus	1	1	1.0	0.0
hsa_piR_011917|gb|DQ586116|Homo_sapiens:22:23605842:23605868:Plus	1	1	1.0	0.0
hsa_piR_022583|gb|DQ600893|Homo_sapiens:7:103991350:103991378:Plus	1	1	1.0	0.0
hsa_piR_023023|gb|DQ601472|Homo_sapiens:X:150373156:150373184:Plus	1	1	1.0	0.0
hsa_piR_008848|gb|DQ582006|Homo_sapiens:10:91542961:91542990:Minus	1	1	1.0	0.0
hsa_piR_020124|gb|DQ597641|Homo_sapiens:2:156907198:156907229:Minus	1	1	1.0	0.0
hsa_piR_008308|gb|DQ581286|Homo_sapiens:19:9294425:9294454:Minus	1	1	1.0	0.0
hsa_piR_015875|gb|DQ591696|Homo_sapiens:Y:10674167:10674195:Minus	1	1	1.0	0.0
hsa_piR_004610|gb|DQ576340|Homo_sapiens:2:242351272:242351299:Plus	1	1	1.0	0.0
hsa_piR_016285|gb|DQ592199|Homo_sapiens:10:79202910:79202938:Plus	1	1	1.0	0.0
hsa_piR_000574|gb|DQ570716|Homo_sapiens:3:11528240:11528265:Plus	1	1	1.0	0.0
hsa_piR_002035|gb|DQ572724|Homo_sapiens:10:79199471:79199499:Plus	1	1	1.0	0.0
hsa_piR_011579|gb|DQ585679|Homo_sapiens:1:119207433:119207462:Plus	1	1	0.5	0.0
hsa_piR_002193|gb|DQ572941|Homo_sapiens:1:119207440:119207470:Plus	1	1	0.5	0.0
hsa_piR_000498|gb|DQ570616|Homo_sapiens:16:71380215:71380243:Minus	1	1	0.5	0.0
hsa_piR_006393|gb|DQ578736|Homo_sapiens:11:100597045:100597074:Minus	1	1	0.3333333333333333	0.0
hsa_piR_006392|gb|DQ578735|Homo_sapiens:1:100502153:100502181:Plus	1	1	0.3333333333333333	0.0
hsa_piR_018006|gb|DQ594820|Homo_sapiens:1:100502152:100502180:Plus	1	1	0.3333333333333333	0.0
