ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
bta-mir-2898:MI0013073:Bos:taurus:miR-2898:stem-loop	7	11202	11202.0	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	22	33	24.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	14	23	18.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	10	14	13.5	0.0
bol-MIR9411:MI0029005:Brassica:oleracea:miR9411:stem-loop	3	13	13.0	0.0
ppy-mir-1273e:MI0020933:Pongo:pygmaeus:miR-1273e:stem-loop	6	13	12.5	0.0
hsa-mir-4459:MI0016805:Homo:sapiens:miR-4459:stem-loop	10	19	8.0	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	4	6	6.0	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	3	9	5.0	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	3	9	5.0	0.0
gga-mir-466:MI0003713:Gallus:gallus:miR-466:stem-loop	4	5	5.0	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	9	12	4.0	0.0
hsa-mir-8086:MI0025922:Homo:sapiens:miR-8086:stem-loop	3	4	4.0	0.0
hsa-mir-1273g:MI0018003:Homo:sapiens:miR-1273g:stem-loop	3	5	3.5	0.0
ptr-mir-1273:MI0008474:Pan:troglodytes:miR-1273:stem-loop	6	9	2.5	0.0
mmu-mir-669h:MI0006289:Mus:musculus:miR-669h:stem-loop	1	2	2.0	0.0
nta-MIR156b:MI0021320:Nicotiana:tabacum:miR156b:stem-loop	2	4	2.0	0.0
bdi-MIR156f:MI0025291:Brachypodium:distachyon:miR156f:stem-loop	2	4	2.0	0.0
hsa-mir-3929:MI0016439:Homo:sapiens:miR-3929:stem-loop	2	2	2.0	0.0
cgr-mir-1285:MI0020390:Cricetulus:griseus:miR-1285:stem-loop	2	2	2.0	0.0
gra-MIR167b:MI0027579:Gossypium:raimondii:miR167b:stem-loop	1	1	1.0	0.0
atr-MIR8552d:MI0027471:Amborella:trichopoda:miR8552d:stem-loop	1	1	1.0	0.0
cpa-MIR156a:MI0026328:Carica:papaya:miR156a:stem-loop	1	1	1.0	0.0
hsa-mir-4472-2:MI0016824:Homo:sapiens:miR-4472-2:stem-loop	1	1	1.0	0.0
mmu-mir-7046:MI0022895:Mus:musculus:miR-7046:stem-loop	1	1	1.0	0.0
eca-mir-9072:MI0028245:Equus:caballus:miR-9072:stem-loop	1	1	1.0	0.0
