ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-5096:MI0018004:Homo:sapiens:miR-5096:stem-loop	12	21	21.0	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	19	20	16.833333333333332	0.0
ipu-mir-7550:MI0024681:Ictalurus:punctatus:miR-7550:stem-loop	2	13	13.0	0.0
hsa-mir-5095:MI0018001:Homo:sapiens:miR-5095:stem-loop	6	15	10.5	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	10	11	9.833333333333332	0.0
fru-mir-200a:MI0003303:Fugu:rubripes:miR-200a:stem-loop	3	10	9.1	0.0
sja-mir-3480:MI0015303:Schistosoma:japonicum:miR-3480:stem-loop	1	9	9.0	0.0
mmu-mir-101c:MI0016974:Mus:musculus:miR-101c:stem-loop	3	7	7.0	0.0
hsa-mir-3159:MI0014188:Homo:sapiens:miR-3159:stem-loop	4	10	5.5	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	6	6	5.333333333333334	0.0
efu-mir-9226:MI0028498:Eptesicus:fuscus:miR-9226:stem-loop	3	5	5.0	0.0
mdo-let-7a-1:MI0005360:Monodelphis:domestica:let-7a-1:stem-loop	2	6	5.0	0.0
hbr-MIR6173:MI0021483:Hevea:brasiliensis:miR6173:stem-loop	2	5	5.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	5	5	4.5	0.0
ola-mir-222:MI0019416:Oryzias:latipes:miR-222:stem-loop	1	4	4.0	0.0
cgr-mir-1285:MI0020390:Cricetulus:griseus:miR-1285:stem-loop	4	4	4.0	0.0
mmu-mir-6240:MI0021587:Mus:musculus:miR-6240:stem-loop	2	3	3.0	0.0
pma-mir-30b:MI0017040:Petromyzon:marinus:miR-30b:stem-loop	2	3	3.0	0.0
hsa-mir-8086:MI0025922:Homo:sapiens:miR-8086:stem-loop	2	3	3.0	0.0
mml-mir-7174:MI0023649:Macaca:mulatta:miR-7174:stem-loop	3	3	3.0	0.0
hsa-mir-1285-1:MI0006346:Homo:sapiens:miR-1285-1:stem-loop	5	6	2.5	0.0
ptr-mir-1285:MI0008486:Pan:troglodytes:miR-1285:stem-loop	5	6	2.5	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	3	3	2.3333333333333335	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	5	5	2.333333333333333	0.0
smo-MIR1102:MI0006089:Selaginella:moellendorffii:miR1102:stem-loop	1	2	2.0	0.0
bma-let-7:MI0013319:Brugia:malayi:let-7:stem-loop	1	2	2.0	0.0
gga-mir-466:MI0003713:Gallus:gallus:miR-466:stem-loop	2	2	2.0	0.0
ola-mir-301a:MI0019498:Oryzias:latipes:miR-301a:stem-loop	1	2	2.0	0.0
peu-MIR2916:MI0012640:Populus:euphratica:miR2916:stem-loop	2	2	2.0	0.0
ssa-mir-19a-2:MI0026571:Salmo:salar:miR-19a-2:stem-loop	1	2	2.0	0.0
xtr-mir-148a:MI0004905:Xenopus:tropicalis:miR-148a:stem-loop	2	2	2.0	0.0
aly-MIR394b:MI0014575:Arabidopsis:lyrata:miR394b:stem-loop	2	2	2.0	0.0
ssc-mir-1285:MI0013164:Sus:scrofa:miR-1285:stem-loop	3	4	1.75	0.0
ola-mir-92a-2:MI0019419:Oryzias:latipes:miR-92a-2:stem-loop	2	3	1.5	0.0
ssa-mir-21a-1:MI0026626:Salmo:salar:miR-21a-1:stem-loop	1	3	1.5	0.0
gga-mir-106:MI0001210:Gallus:gallus:miR-106:stem-loop	1	3	1.5	0.0
eca-mir-10a:MI0012768:Equus:caballus:miR-10a:stem-loop	1	3	1.5	0.0
tgu-mir-106:MI0013818:Taeniopygia:guttata:miR-106:stem-loop	1	3	1.5	0.0
ppy-mir-1273e:MI0020933:Pongo:pygmaeus:miR-1273e:stem-loop	2	2	1.5	0.0
