depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	0	461333
1	superkingdom	10239	1	Viruses	0	23
2	no rank	35237	10239	dsDNA viruses, no RNA stage	0	18
3	family	10508	35237	Adenoviridae	0	8
4	genus	10552	10508	Aviadenovirus	0	8
5	species	1146875	10552	Turkey aviadenovirus B	0	8
6	no rank	878329	1146875	Turkey adenovirus 1	8	0
3	order	28883	35237	Caudovirales	0	6
4	family	10662	28883	Myoviridae	0	6
5	no rank	196896	10662	unclassified Myoviridae	0	6
6	species	1204528	196896	Salmonella phage SKML-39	6	0
3	order	548681	35237	Herpesvirales	0	4
4	family	10292	548681	Herpesviridae	0	4
5	subfamily	10357	10292	Betaherpesvirinae	0	4
6	genus	10358	10357	Cytomegalovirus	0	4
7	species	1535247	10358	Saimiriine herpesvirus 4	4	0
2	no rank	439488	10239	ssRNA viruses	0	5
3	no rank	35278	439488	ssRNA positive-strand viruses, no DNA stage	0	5
4	order	675063	35278	Tymovirales	0	5
5	family	675068	675063	Betaflexiviridae	0	5
6	genus	12163	675068	Carlavirus	0	5
7	species	1177630	12163	American hop latent virus	5	0
1	no rank	131567	1	cellular organisms	220185	241125
2	superkingdom	2	131567	Bacteria	11401	66132
3	phylum	1117	2	Cyanobacteria	704	1620
4	order	1161	1117	Nostocales	9	151
5	family	1162	1161	Nostocaceae	8	86
6	genus	1163	1162	Anabaena	0	50
7	species	1172	1163	Anabaena variabilis	0	7
8	no rank	240292	1172	Anabaena variabilis ATCC 29413	7	0
7	species	46234	1163	Anabaena sp. 90	43	0
6	genus	1177	1162	Nostoc	0	14
7	species	103690	1177	Nostoc sp. PCC 7120	12	0
6	genus	98443	1162	Richelia	0	15
7	species	1164990	98443	Richelia intracellularis	15	0
6	genus	159191	1162	Nodularia	0	7
7	species	70799	159191	Nodularia spumigena	0	7
8	no rank	313624	70799	Nodularia spumigena CCY9414	7	0
5	family	1185	1161	Rivulariaceae	0	57
6	genus	1186	1185	Calothrix	1	27
7	species	32054	1186	Calothrix parietina	0	14
8	no rank	1170562	32054	Calothrix sp. PCC 6303	14	0
7	species	99598	1186	Calothrix sp. PCC 7507	13	0
