GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
AC010970.2	143	309	304.0	0.0
LUZP2	11	273	273.0	0.0
RBBP7	9	190	190.0	0.0
KSR2	6	113	113.0	0.0
TBC1D8B	182	331	105.96071428571419	0.0
RP11-259O2.3	154	303	101.61785714285706	0.0
SLC38A6	148	295	92.95119047619043	0.0
RYK	4	73	73.0	0.0
CTD-2328D6.1	56	71	71.0	0.0
SMC1A	15	54	54.0	0.0
HSPA8P20	18	54	53.0	0.0
MT-ND5	44	56	48.5	0.0
IL16	16	45	45.00000000000001	0.0
MT-ND4	41	51	41.5	0.0
GNPDA1	6	37	37.0	0.0
KDM3B	6	33	33.0	0.0
RP4-712E4.1	8	65	32.5	0.0
RP4-712E4.2	8	65	32.5	0.0
MROH2B	9	32	32.0	0.0
PPP2R2A	10	31	31.0	0.0
TOR3A	5	31	31.0	0.0
RP11-677M14.7	11	30	30.0	0.0
TTC39B	3	28	29.0	0.0
CDC37	4	28	28.0	0.0
ESYT1	11	27	27.0	0.0
KCNQ1OT1	47	65	26.196428571428566	0.0
CASP8AP2	3	26	26.0	0.0
LURAP1L	2	25	25.0	0.0
MT-RNR2	29	38	23.75	0.0
ARHGAP39	5	21	20.999999999999996	0.0
RP11-87E22.2	4	19	19.0	0.0
HIF1AN	8	19	19.0	0.0
LRRC28	5	18	18.0	0.0
ZNF792	5	18	18.0	0.0
RP11-346D14.1	24	30	16.62857142857143	0.0
MT-ND1	16	18	15.083333333333332	0.0
MIPOL1	21	30	14.503571428571428	0.0
SFMBT2	6	14	14.0	0.0
MT-ATP6	12	17	13.5	0.0
SAFB	6	14	13.3	0.0
DNAJC11	1	13	13.0	0.0
ZSWIM3	7	13	13.0	0.0
MYO1F	5	13	13.0	0.0
MT-CYB	9	13	12.5	0.0
KIAA1328	16	17	12.011904761904761	0.0
C1orf51	2	12	12.0	0.0
SHROOM3	3	12	12.0	0.0
MT-TP	9	11	11.0	0.0
ECD	2	11	11.0	0.0
MUC12	8	11	11.0	0.0
CEP85L	2	11	10.999999999999998	0.0
NEDD4	28	29	10.069047619047621	0.0
MAMDC2-AS1	4	10	10.0	0.0
CCND3	3	10	10.0	0.0
GPR162	3	10	10.0	0.0
RP11-284J1.1	1	10	10.0	0.0
RP11-169F17.1	4	10	9.833333333333332	0.0
C12orf76	5	10	9.398809523809524	0.0
DIAPH2	6	9	9.0	0.0
ZNF859P	3	9	9.0	0.0
OR11A1	6	18	9.0	0.0
YTHDF1P1	5	9	9.0	0.0
OR5V1	6	18	9.0	0.0
MTND4P12	15	18	8.5	0.0
DEAF1	4	9	8.5	0.0
MT-CO2	8	10	8.333333333333334	0.0
HYLS1	2	8	8.0	0.0
ZNF267	4	8	8.0	0.0
TMEM68	2	8	8.0	0.0
MINK1	3	8	8.0	0.0
MT-CO1	9	15	7.5	0.0
MTMR2	5	8	7.5	0.0
AC072062.1	5	8	7.25	0.0
RP11-142G1.3	21	30	7.167857142857144	0.0
DENND1C	5	7	7.000000000000001	0.0
TPH1	4	7	7.0	0.0
ZNF296	1	7	7.0	0.0
SH3BGRL	5	7	7.0	0.0
RP1-140C12.2	3	7	7.0	0.0
HP	2	7	7.0	0.0
EHMT1	3	7	7.0	0.0
FGF8	2	7	7.0	0.0
TTI2	4	7	7.0	0.0
FAM163A	6	7	7.0	0.0
RPAP2	15	19	6.65	0.0
MAPK13	4	9	6.428571428571429	0.0
NBPF1	3	6	6.052631578947368	0.0
ABCC4	4	6	6.000000000000001	0.0
CTD-2247C11.4	2	6	6.0	0.0
RP5-998N21.7	6	6	6.0	0.0
ZNF620	2	6	6.0	0.0
RP11-727A23.10	4	6	6.0	0.0
ZBTB43	4	6	6.0	0.0
MT-CO3	8	8	6.0	0.0
TMEM131	4	6	6.0	0.0
RP11-617J18.1	3	6	6.0	0.0
MTND5P11	10	13	6.0	0.0
ADCY8	3	6	6.0	0.0
KBTBD13	3	6	6.0	0.0
SLC34A2	2	6	6.0	0.0
TCEB3	4	6	6.0	0.0
LIMS2	4	6	6.0	0.0
DNHD1	3	6	5.999999999999999	0.0
RP11-703G6.1	10	14	5.934523809523809	0.0
HHLA1	10	10	5.5476190476190474	0.0
OR1N1	6	6	5.5	0.0
REXO1L1	5	7	5.25	0.0
LINC00504	6	8	5.2250000000000005	0.0
PTPRQ	13	18	5.1000000000000005	0.0
PPP1R13B	1	5	5.0	0.0
PSMD8	4	5	5.0	0.0
LINC00174	3	5	5.0	0.0
RP11-72I8.1	4	5	5.0	0.0
RP11-155L15.1	5	5	5.0	0.0
AP000462.1	3	5	5.0	0.0
MT-TA	5	5	5.0	0.0
MT-TQ	4	5	5.0	0.0
TCEANC2	3	5	5.0	0.0
MT-ND6	5	5	5.0	0.0
MS4A15	1	5	5.0	0.0
CMTM7	3	5	5.0	0.0
RP11-501E14.1	4	5	5.0	0.0
FAM175B	4	10	5.0	0.0
NYNRIN	4	5	5.0	0.0
AMIGO1	2	5	5.0	0.0
