GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
RNY1	1226	70287	60631.22186816716	0.0
RNY4	1906	153663	36642.597054531034	0.0
RNY4P10	1419	152102	36061.82604054628	0.0
Y_RNA.320	1153	142155	31224.913437988922	0.0
RNY4P7	1008	138765	30220.3860817324	0.0
RPPH1	1185	14516	14513.333333333334	0.0
RNY4P20	604	68303	12962.246498822826	0.0
RMRP	836	7637	7636.0	0.0
RNU5E-1	647	5918	5848.213214563212	0.0
RNY5	574	4728	4593.499999999995	0.0
WDR74	1496	16089	4164.0466025096675	0.0
SNHG1	682	3332	4090.4400000000014	0.0
GAS5	217	1693	3374.0857142857158	0.0
C17orf76-AS1	136	2820	2844.9230769230794	0.0
LINC00910	962	14017	2756.2623324110145	0.0
VTRNA1-1	508	2834	2669.5	0.0
RNU2-2P	1492	16084	2079.523301254834	0.0
RNU5B-1	698	2562	2076.046547896547	0.0
RNU2-48P	864	17809	1942.661757836091	0.0
RP11-696N14.1	20	1896	1896.0	0.0
RNU5A-1	605	2206	1714.1965478965471	0.0
RNY4P17	125	8041	1498.7456862342638	0.0
VTRNA1-2	330	1537	1486.8333333333335	0.0
LINC00338	138	1437	1430.0333333333335	0.0
RNU2-61P	565	8138	1383.6142107892108	0.0
RN7SL1	1154	3563	1340.542747579615	0.0
RNU2-37P	432	7680	1237.0392952096925	0.0
RNU11	411	1211	1208.1666666666665	0.0
RNU2-23P	636	12473	1173.3109327261327	0.0
RNU2-30P	576	12269	1131.4324440126632	0.0
RNU2-46P	520	12064	1090.9857518159704	0.0
RNY4P27	435	6202	1085.0672686166965	0.0
RNU2-59P	575	3509	1067.082340560044	0.0
RNU1-27P	1974	10815	924.3196637941872	0.0
RNU1-28P	1974	10815	924.3196637941872	0.0
RNU1-2	1974	10815	924.3196637941872	0.0
RNU1-1	1974	10815	924.3196637941872	0.0
RNU1-4	1974	10815	924.3196637941872	0.0
RNU1-3	1974	10815	924.3196637941872	0.0
RNVU1-18	1974	10815	924.3196637941872	0.0
VTRNA2-1	362	919	917.6666666666665	0.0
RNU2-41P	340	9982	888.2144734707333	0.0
RNU2-13P	298	9779	872.7754383830141	0.0
RNU2-33P	320	5700	845.5028041403049	0.0
SNORD20	152	795	795.0	0.0
RN7SL2	973	3211	779.0837956648207	0.0
RNU2-7P	216	5367	775.2547369297371	0.0
RNU12	250	779	774.0	0.0
SNORD83A	75	756	754.0	0.0
RNU2-26P	310	5305	736.687939749038	0.0
RNU2-57P	310	5305	736.687939749038	0.0
Y_RNA.488	32	3642	725.3595238095239	0.0
Y_RNA.40	31	3639	724.6928571428573	0.0
Y_RNA.556	50	3654	724.1498183814526	0.0
Y_RNA.196	28	3612	721.573412698413	0.0
RNVU1-7	1653	8222	717.5578062073274	0.0
RNVU1-9	1653	8222	717.5578062073274	0.0
Y_RNA.383	113	1501	648.5908730158733	0.0
SNHG5	175	634	635.7999999999998	0.0
NCAPG	21	635	635.0	0.0
RPL17	136	634	632.2210273279698	0.0
GNB2L1	143	668	595.8627828054299	0.0
SNORD3A	707	2843	568.5909259080361	0.0
MT-RNR2	552	889	558.6380952380952	0.0
RPL23	161	682	552.3393162393163	0.0
C1orf213	201	2609	547.3278499278497	0.0
Y_RNA.272	200	2608	546.3278499278497	0.0
RNVU1-1	953	6861	539.61784748289	0.0
RNVU1-10	953	6861	539.61784748289	0.0
RNU2-6P	569	3677	535.5685962376313	0.0
Y_RNA.133	39	583	535.437407133097	0.0
SNORD3C	631	2724	526.8409259080358	0.0
Y_RNA.318	24	1028	499.0963464696223	0.0
RNY4P2	125	2016	491.99052544677545	0.0
SNORD3B-2	639	2702	489.59092590803544	0.0
SNORD3B-1	638	2699	488.84092590803544	0.0
SNORD6	110	452	451.3333333333333	0.0
RNVU1-19	721	5874	451.09164097812277	0.0
SPTBN1	283	397	418.6875000000001	0.0
LAMB2	35	409	409.0	0.0
Y_RNA.122	72	1580	408.82791638801336	0.0
FAT1	322	389	396.50000000000006	0.0
SNORD63	86	395	395.0	0.0
EIF4A2	138	483	391.69761904761947	0.0
RPL4	130	320	378.56602286602265	0.0
SNORD3D	447	1802	365.7410214785201	0.0
C3orf17	35	361	361.0	0.0
SNORD82	65	361	360.5	0.0
AC103965.1	17	1109	360.40845356634827	0.0
Y_RNA.245	83	1449	349.87965781127815	0.0
Y_RNA.44	131	2621	349.19451659451664	0.0
RNY4P14	45	2283	333.9083314346474	0.0
Y_RNA.79	42	2279	332.7416647679807	0.0
RNY4P5	468	1678	331.56955381856557	0.0
SNORD48	55	364	331.0	0.0
RNU2-68P	194	2337	328.95890775890774	0.0
RNU2-36P	269	3263	328.50473598039366	0.0
RPL13A	195	464	326.4296085665281	0.0
Y_RNA.807	140	3837	291.126872992147	0.0
HSPA8	115	294	289.79068879263144	0.0
Y_RNA.31	110	4066	285.2753061722814	0.0
RN7SL5P	685	2163	284.0904671836998	0.0
HSP90AA1	218	312	265.18650793650806	0.0
RNVU1-13	352	3617	263.5103606829105	0.0
RN7SL3	547	1970	260.7195152537092	0.0
TAF1D	130	367	259.70714285714286	0.0
RNVU1-17	347	2857	259.5914874491147	0.0
SNORD67	36	255	255.0	0.0
Y_RNA.359	40	521	251.91666666666669	0.0
RNU2-29P	122	2162	249.02889449929307	0.0
RNU1-11P	758	3372	244.73726994639085	0.0
SNORD104	83	242	242.0	0.0
PAQR5	78	3682	240.1699950695694	0.0
MACF1	164	213	239.09090909090898	0.0
EEF1A1	369	470	233.93155222176492	0.0
PLEC	170	230	233.47827540106928	0.0
C12orf57	66	823	231.960606060606	0.0
RABGGTB	103	256	227.73333333333338	0.0
NCL	179	231	226.61028842431273	0.0
Y_RNA.3	122	1351	225.302262617461	0.0
RNY4P1	389	1071	220.0157285696759	0.0
SNHG12	75	166	213.8571428571429	0.0
RPL3	91	221	202.378971028971	0.0
SNORD60	74	200	200.0	0.0
BICD2	156	200	199.66666666666666	0.0
RNU2-64P	173	1422	197.47702575202575	0.0
Y_RNA.790	78	1123	191.9210517201142	0.0
EIF3A	143	185	184.99999999999997	0.0
RPL13	66	189	184.37869352869356	0.0
Y_RNA.546	33	1697	183.46027131782947	0.0
SNORA21	71	547	182.33333333333337	0.0
RPL37A	107	184	180.7009657009657	0.0
Y_RNA.13	104	409	170.0959496442255	0.0
Y_RNA.340	66	358	168.757331187396	0.0
SNORD43	77	260	165.0	0.0
LRRC19	13	256	164.7333333333333	0.0
RNY4P31	124	387	163.02142857142846	0.0
Y_RNA.491	41	355	162.23333333333335	0.0
RNY4P8	135	1073	161.468650647598	0.0
PABPC1	134	158	150.82759740259735	0.0
