ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	26	65	65.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	10	60	60.0	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	20	56	55.5	0.0
hsa-mir-423:MI0001445:Homo:sapiens:miR-423:stem-loop	11	48	48.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	26	47	47.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	16	39	39.0	0.0
hsa-mir-182:MI0000272:Homo:sapiens:miR-182:stem-loop	12	30	30.0	0.0
hsa-mir-1291:MI0006353:Homo:sapiens:miR-1291:stem-loop	14	23	23.0	0.0
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	11	23	23.0	0.0
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	12	17	17.0	0.0
hsa-mir-181b-1:MI0000270:Homo:sapiens:miR-181b-1:stem-loop	15	27	16.5	0.0
hsa-mir-141:MI0000457:Homo:sapiens:miR-141:stem-loop	5	14	14.0	0.0
hsa-mir-200b:MI0000342:Homo:sapiens:miR-200b:stem-loop	6	14	14.0	0.0
hsa-mir-181b-2:MI0000683:Homo:sapiens:miR-181b-2:stem-loop	11	22	11.5	0.0
hsa-mir-320a:MI0000542:Homo:sapiens:miR-320a:stem-loop	4	11	11.0	0.0
hsa-mir-7706:MI0025242:Homo:sapiens:miR-7706:stem-loop	3	11	11.0	0.0
hsa-mir-6516:MI0025513:Homo:sapiens:miR-6516:stem-loop	4	11	11.0	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	5	11	11.0	0.0
hsa-mir-183:MI0000273:Homo:sapiens:miR-183:stem-loop	7	10	10.0	0.0
hsa-mir-29a:MI0000087:Homo:sapiens:miR-29a:stem-loop	2	10	10.0	0.0
hsa-mir-1273c:MI0014171:Homo:sapiens:miR-1273c:stem-loop	6	9	9.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	1	9	9.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	3	9	9.0	0.0
hsa-mir-425:MI0001448:Homo:sapiens:miR-425:stem-loop	5	9	9.0	0.0
hsa-mir-330:MI0000803:Homo:sapiens:miR-330:stem-loop	2	8	8.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	4	7	7.0	0.0
hsa-mir-1225:MI0006311:Homo:sapiens:miR-1225:stem-loop	4	6	6.0	0.0
hsa-mir-3609:MI0015999:Homo:sapiens:miR-3609:stem-loop	3	5	5.0	0.0
hsa-mir-877:MI0005561:Homo:sapiens:miR-877:stem-loop	3	5	5.0	0.0
hsa-mir-96:MI0000098:Homo:sapiens:miR-96:stem-loop	5	5	5.0	0.0
hsa-mir-4741:MI0017379:Homo:sapiens:miR-4741:stem-loop	1	5	5.0	0.0
hsa-mir-200c:MI0000650:Homo:sapiens:miR-200c:stem-loop	4	5	5.0	0.0
hsa-mir-2110:MI0010629:Homo:sapiens:miR-2110:stem-loop	3	5	5.0	0.0
hsa-mir-3138:MI0014161:Homo:sapiens:miR-3138:stem-loop	2	5	5.0	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	4	9	4.5	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	4	9	4.5	0.0
hsa-mir-192:MI0000234:Homo:sapiens:miR-192:stem-loop	2	4	4.0	0.0
hsa-mir-4721:MI0017356:Homo:sapiens:miR-4721:stem-loop	2	4	4.0	0.0
hsa-mir-760:MI0005567:Homo:sapiens:miR-760:stem-loop	1	4	4.0	0.0
hsa-mir-3155a:MI0014183:Homo:sapiens:miR-3155a:stem-loop	2	4	4.0	0.0
hsa-mir-3651:MI0016051:Homo:sapiens:miR-3651:stem-loop	3	4	4.0	0.0
hsa-mir-4426:MI0016765:Homo:sapiens:miR-4426:stem-loop	2	4	4.0	0.0
hsa-mir-7641-1:MI0024975:Homo:sapiens:miR-7641-1:stem-loop	2	4	4.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	3	4	4.0	0.0
hsa-mir-4700:MI0017333:Homo:sapiens:miR-4700:stem-loop	3	4	4.0	0.0
hsa-mir-30d:MI0000255:Homo:sapiens:miR-30d:stem-loop	3	3	3.0	0.0
hsa-mir-1248:MI0006383:Homo:sapiens:miR-1248:stem-loop	1	3	3.0	0.0
hsa-mir-421:MI0003685:Homo:sapiens:miR-421:stem-loop	2	3	3.0	0.0
hsa-mir-378c:MI0015825:Homo:sapiens:miR-378c:stem-loop	2	3	3.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	3	3	3.0	0.0
hsa-mir-3187:MI0014231:Homo:sapiens:miR-3187:stem-loop	1	3	3.0	0.0
hsa-mir-4449:MI0016792:Homo:sapiens:miR-4449:stem-loop	1	3	3.0	0.0
hsa-mir-6084:MI0020361:Homo:sapiens:miR-6084:stem-loop	2	3	3.0	0.0
hsa-mir-4326:MI0015866:Homo:sapiens:miR-4326:stem-loop	1	3	3.0	0.0
hsa-mir-224:MI0000301:Homo:sapiens:miR-224:stem-loop	2	3	3.0	0.0
hsa-mir-1307:MI0006444:Homo:sapiens:miR-1307:stem-loop	2	3	3.0	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	3	3	3.0	0.0
hsa-mir-942:MI0005767:Homo:sapiens:miR-942:stem-loop	1	3	3.0	0.0
hsa-mir-1244-3:MI0015975:Homo:sapiens:miR-1244-3:stem-loop	9	11	2.75	0.0
hsa-mir-1244-4:MI0031511:Homo:sapiens:miR-1244-4:stem-loop	9	11	2.75	0.0
hsa-mir-1244-2:MI0015974:Homo:sapiens:miR-1244-2:stem-loop	9	11	2.75	0.0
hsa-mir-1244-1:MI0006379:Homo:sapiens:miR-1244-1:stem-loop	9	11	2.75	0.0
hsa-mir-7111:MI0022962:Homo:sapiens:miR-7111:stem-loop	1	2	2.0	0.0
hsa-mir-1229:MI0006319:Homo:sapiens:miR-1229:stem-loop	2	2	2.0	0.0
hsa-mir-339:MI0000815:Homo:sapiens:miR-339:stem-loop	2	2	2.0	0.0
hsa-mir-196a-1:MI0000238:Homo:sapiens:miR-196a-1:stem-loop	1	2	2.0	0.0
hsa-mir-203a:MI0000283:Homo:sapiens:miR-203a:stem-loop	1	2	2.0	0.0
hsa-mir-29c:MI0000735:Homo:sapiens:miR-29c:stem-loop	1	2	2.0	0.0
hsa-mir-210:MI0000286:Homo:sapiens:miR-210:stem-loop	1	2	2.0	0.0
hsa-mir-1293:MI0006355:Homo:sapiens:miR-1293:stem-loop	1	2	2.0	0.0
hsa-mir-1247:MI0006382:Homo:sapiens:miR-1247:stem-loop	2	2	2.0	0.0
hsa-mir-26b:MI0000084:Homo:sapiens:miR-26b:stem-loop	2	2	2.0	0.0
hsa-mir-3656:MI0016056:Homo:sapiens:miR-3656:stem-loop	2	2	2.0	0.0
hsa-mir-6785:MI0022630:Homo:sapiens:miR-6785:stem-loop	2	2	2.0	0.0
hsa-mir-3939:MI0016596:Homo:sapiens:miR-3939:stem-loop	1	2	2.0	0.0
hsa-mir-345:MI0000825:Homo:sapiens:miR-345:stem-loop	2	2	2.0	0.0
hsa-mir-3607:MI0015997:Homo:sapiens:miR-3607:stem-loop	2	2	2.0	0.0
hsa-mir-4473:MI0016825:Homo:sapiens:miR-4473:stem-loop	2	2	2.0	0.0
hsa-mir-636:MI0003651:Homo:sapiens:miR-636:stem-loop	2	2	2.0	0.0
hsa-mir-6807:MI0022652:Homo:sapiens:miR-6807:stem-loop	1	2	2.0	0.0
hsa-mir-6831:MI0022676:Homo:sapiens:miR-6831:stem-loop	1	2	2.0	0.0
hsa-mir-6734:MI0022579:Homo:sapiens:miR-6734:stem-loop	1	2	2.0	0.0
hsa-mir-1306:MI0006443:Homo:sapiens:miR-1306:stem-loop	2	2	2.0	0.0
hsa-mir-3131:MI0014151:Homo:sapiens:miR-3131:stem-loop	1	2	2.0	0.0
hsa-mir-503:MI0003188:Homo:sapiens:miR-503:stem-loop	2	2	2.0	0.0
hsa-mir-941-2:MI0005764:Homo:sapiens:miR-941-2:stem-loop	2	9	1.8	0.0
hsa-mir-941-3:MI0005765:Homo:sapiens:miR-941-3:stem-loop	2	9	1.8	0.0
hsa-mir-941-1:MI0005763:Homo:sapiens:miR-941-1:stem-loop	2	9	1.8	0.0
hsa-mir-941-5:MI0031520:Homo:sapiens:miR-941-5:stem-loop	2	9	1.8	0.0
hsa-mir-941-4:MI0005766:Homo:sapiens:miR-941-4:stem-loop	2	9	1.8	0.0
hsa-mir-103a-2:MI0000108:Homo:sapiens:miR-103a-2:stem-loop	2	4	1.3333333333333333	0.0
hsa-mir-7-1:MI0000263:Homo:sapiens:miR-7-1:stem-loop	2	2	1.3333333333333333	0.0
hsa-mir-107:MI0000114:Homo:sapiens:miR-107:stem-loop	2	4	1.3333333333333333	0.0
hsa-mir-103a-1:MI0000109:Homo:sapiens:miR-103a-1:stem-loop	2	4	1.3333333333333333	0.0
hsa-mir-5696:MI0019303:Homo:sapiens:miR-5696:stem-loop	1	1	1.0	0.0
hsa-mir-4472-2:MI0016824:Homo:sapiens:miR-4472-2:stem-loop	1	1	1.0	0.0
hsa-mir-4461:MI0016807:Homo:sapiens:miR-4461:stem-loop	1	1	1.0	0.0
hsa-mir-671:MI0003760:Homo:sapiens:miR-671:stem-loop	1	1	1.0	0.0
hsa-mir-142:MI0000458:Homo:sapiens:miR-142:stem-loop	1	1	1.0	0.0
hsa-mir-766:MI0003836:Homo:sapiens:miR-766:stem-loop	1	1	1.0	0.0
hsa-mir-3655:MI0016055:Homo:sapiens:miR-3655:stem-loop	1	1	1.0	0.0
hsa-mir-212:MI0000288:Homo:sapiens:miR-212:stem-loop	1	1	1.0	0.0
hsa-mir-2277:MI0011284:Homo:sapiens:miR-2277:stem-loop	1	1	1.0	0.0
hsa-mir-6824:MI0022669:Homo:sapiens:miR-6824:stem-loop	1	1	1.0	0.0
hsa-mir-6748:MI0022593:Homo:sapiens:miR-6748:stem-loop	1	1	1.0	0.0
hsa-mir-6861:MI0022708:Homo:sapiens:miR-6861:stem-loop	1	1	1.0	0.0
hsa-mir-26a-2:MI0000750:Homo:sapiens:miR-26a-2:stem-loop	1	1	1.0	0.0
hsa-mir-7845:MI0025515:Homo:sapiens:miR-7845:stem-loop	1	1	1.0	0.0
hsa-mir-5699:MI0019306:Homo:sapiens:miR-5699:stem-loop	1	1	1.0	0.0
hsa-mir-4468:MI0016819:Homo:sapiens:miR-4468:stem-loop	1	1	1.0	0.0
hsa-mir-4758:MI0017399:Homo:sapiens:miR-4758:stem-loop	1	1	1.0	0.0
hsa-mir-8086:MI0025922:Homo:sapiens:miR-8086:stem-loop	1	1	1.0	0.0
hsa-mir-6792:MI0022637:Homo:sapiens:miR-6792:stem-loop	1	1	1.0	0.0
hsa-mir-147b:MI0005544:Homo:sapiens:miR-147b:stem-loop	1	1	1.0	0.0
hsa-mir-1301:MI0003815:Homo:sapiens:miR-1301:stem-loop	1	1	1.0	0.0
hsa-mir-3680-1:MI0016081:Homo:sapiens:miR-3680-1:stem-loop	2	2	1.0	0.0
hsa-mir-5687:MI0019291:Homo:sapiens:miR-5687:stem-loop	1	1	1.0	0.0
