depth	level	ID	parentID	name	readCount_direct	readCount_inherited
0	no rank	1	-1	root	499	154551
1	no rank	12908	1	unclassified sequences	0	86
2	no rank	151659	12908	environmental samples	0	86
3	no rank	81490	151659	prokaryotic environmental samples	0	10
4	species	198431	81490	uncultured prokaryote	10	0
3	species	155900	151659	uncultured organism	76	0
1	no rank	131567	1	cellular organisms	1110	153355
2	superkingdom	2	131567	Bacteria	1031	11476
3	phylum	1117	2	Cyanobacteria	166	71
4	no rank	34079	1117	unclassified Cyanobacteria	20	0
4	no rank	48504	1117	environmental samples	0	19
5	species	1211	48504	uncultured cyanobacterium	19	0
4	subclass	1301283	1117	Oscillatoriophycideae	1	28
5	order	1118	1301283	Chroococcales	3	19
6	genus	1125	1118	Microcystis	1	14
7	species	1126	1125	Microcystis aeruginosa	3	11
8	no rank	285035	1126	Microcystis aeruginosa UTEX 'LB 2385'	0	11
9	no rank	1296356	285035	Microcystis aeruginosa CCAP 1450/12	11	0
5	order	1150	1301283	Oscillatoriales	0	6
6	genus	1198	1150	Phormidium	0	4
7	species	1397097	1198	Phormidium sp. 04156_00002	4	0
3	phylum	1224	2	Proteobacteria	617	5136
4	class	1236	1224	Gammaproteobacteria	119	520
5	no rank	50423	1236	environmental samples	0	3
6	species	86473	50423	uncultured gamma proteobacterium	3	0
5	order	72273	1236	Thiotrichales	0	7
6	family	34064	72273	Francisellaceae	0	4
7	genus	262	34064	Francisella	4	0
6	family	135617	72273	Thiotrichaceae	0	3
5	order	72274	1236	Pseudomonadales	2	113
6	family	468	72274	Moraxellaceae	0	17
7	genus	469	468	Acinetobacter	4	3
7	genus	212791	468	Enhydrobacter	9	0
6	family	135621	72274	Pseudomonadaceae	2	94
7	genus	286	135621	Pseudomonas	69	19
8	species group	136843	286	Pseudomonas fluorescens group	0	10
9	species	294	136843	Pseudomonas fluorescens	10	0
7	no rank	190017	135621	unclassified Pseudomonadaceae	6	0
5	order	91347	1236	Enterobacteriales	0	45
6	family	543	91347	Enterobacteriaceae	3	42
7	genus	122277	543	Pectobacterium	0	30
8	no rank	228953	122277	environmental samples	0	30
9	species	228954	228953	uncultured Pectobacterium sp.	30	0
7	no rank	191675	543	unclassified Enterobacteriaceae	0	5
8	no rank	84563	191675	ant, tsetse, mealybug, aphid, etc. endosymbionts	0	5
5	no rank	118884	1236	unclassified Gammaproteobacteria	229	0
5	order	118969	1236	Legionellales	0	7
6	family	444	118969	Legionellaceae	0	5
7	genus	445	444	Legionella	4	1
5	order	135614	1236	Xanthomonadales	0	78
6	family	32033	135614	Xanthomonadaceae	50	27
7	genus	338	32033	Xanthomonas	0	20
8	species	343	338	Xanthomonas translucens	20	0
5	order	135618	1236	Methylococcales	0	8
6	family	403	135618	Methylococcaceae	3	5
7	genus	429	403	Methylobacter	5	0
5	order	135619	1236	Oceanospirillales	0	3
5	order	135625	1236	Pasteurellales	0	4
6	family	712	135625	Pasteurellaceae	0	4
7	genus	217201	712	Terrahaemophilus	0	3
8	no rank	303391	217201	environmental samples	0	3
9	species	303392	303391	uncultured Terrahaemophilus sp.	3	0
5	order	225057	1236	Acidithiobacillales	0	13
6	family	225058	225057	Acidithiobacillaceae	0	13
7	genus	119977	225058	Acidithiobacillus	13	0
5	order	1706369	1236	Cellvibrionales	0	3
4	class	28211	1224	Alphaproteobacteria	82	133
5	order	356	28211	Rhizobiales	6	23
6	family	41294	356	Bradyrhizobiaceae	2	3
7	genus	374	41294	Bradyrhizobium	3	0
6	family	45401	356	Hyphomicrobiaceae	2	3
6	no rank	119042	356	unclassified Rhizobiales	8	0
5	order	766	28211	Rickettsiales	0	14
6	family	775	766	Rickettsiaceae	2	6
7	tribe	33988	775	Rickettsieae	0	4
5	no rank	47925	28211	environmental samples	0	5
6	species	91750	47925	uncultured alpha proteobacterium	5	0
5	order	54526	28211	Pelagibacterales	0	6
6	no rank	54532	54526	environmental samples	0	3
7	species	309857	54532	uncultured SAR11 cluster alpha proteobacterium	3	0
6	family	1655514	54526	Pelagibacteraceae	0	3
7	genus	198251	1655514	Candidatus Pelagibacter	3	0
5	no rank	82117	28211	unclassified Alphaproteobacteria	15	20
6	no rank	33807	82117	unclassified Alphaproteobacteria (miscellaneous)	20	0
5	order	204441	28211	Rhodospirillales	1	9
6	family	433	204441	Acetobacteraceae	1	4
7	no rank	41293	433	unclassified Acetobacteraceae	3	0
5	order	204455	28211	Rhodobacterales	0	6
6	family	31989	204455	Rhodobacteraceae	1	5
5	order	204457	28211	Sphingomonadales	0	25
6	family	41297	204457	Sphingomonadaceae	5	19
7	genus	13687	41297	Sphingomonas	4	5
8	species	1609977	13687	Sphingomonas sp. WHSC-8	4	0
7	no rank	41298	41297	unclassified Sphingomonadaceae	0	3
8	no rank	122612	41298	unclassified Sphingomonadaceae (miscellaneous)	3	0
7	genus	165696	41297	Novosphingobium	3	1
5	order	204458	28211	Caulobacterales	0	3
4	class	28216	1224	Betaproteobacteria	230	3372
5	no rank	47926	28216	environmental samples	0	12
6	species	86027	47926	uncultured beta proteobacterium	12	0
5	order	80840	28216	Burkholderiales	1307	1781
6	family	506	80840	Alcaligenaceae	2	6
6	family	75682	80840	Oxalobacteraceae	5	19
7	genus	29580	75682	Janthinobacterium	6	0
7	no rank	119059	75682	unclassified Oxalobacteraceae	9	0
7	genus	149698	75682	Massilia	3	0
6	family	80864	80840	Comamonadaceae	293	95
7	genus	12916	80864	Acidovorax	8	0
7	genus	34072	80864	Variovorax	4	2
7	genus	47420	80864	Hydrogenophaga	7	3
8	species	795665	47420	Hydrogenophaga sp. PBC	3	0
7	no rank	83494	80864	unclassified Comamonadaceae	22	0
7	genus	238749	80864	Diaphorobacter	5	0
7	genus	281915	80864	Curvibacter	11	4
8	no rank	326293	281915	environmental samples	0	4
9	species	326294	326293	uncultured Curvibacter sp.	4	0
7	genus	335058	80864	Pelomonas	3	0
7	genus	352450	80864	Simplicispira	3	0
7	genus	665874	80864	Limnohabitans	11	0
6	family	119060	80840	Burkholderiaceae	0	65
7	genus	32008	119060	Burkholderia	28	35
8	no rank	77118	32008	environmental samples	0	35
9	species	188058	77118	uncultured Burkholderia sp.	35	0
6	no rank	119065	80840	unclassified Burkholderiales	1216	78
7	no rank	224471	119065	Burkholderiales Genera incertae sedis	8	70
8	genus	88	224471	Leptothrix	4	0
8	genus	92793	224471	Aquabacterium	15	46
9	no rank	158752	92793	environmental samples	0	46
10	species	158753	158752	uncultured Aquabacterium sp.	46	0
8	genus	212743	224471	Rhizobacter	3	1
5	no rank	119066	28216	unclassified Betaproteobacteria	94	86
6	genus	33055	119066	Kinetoplastibacterium	0	10
7	species	233181	33055	Kinetoplastibacterium blastocrithidii	10	0
6	no rank	33809	119066	unclassified Betaproteobacteria (miscellaneous)	76	0
5	order	206350	28216	Methylophilales	0	4
5	order	206351	28216	Neisseriales	0	3
5	order	206389	28216	Rhodocyclales	0	85
6	family	75787	206389	Rhodocyclaceae	15	70
7	genus	349	75787	Zoogloea	8	0
7	genus	73029	75787	Dechloromonas	0	54
8	species	188737	73029	Dechloromonas sp. HZ	53	0
7	genus	88875	75787	Ferribacterium	3	1
4	no rank	32045	1224	unclassified Proteobacteria	353	0
4	no rank	47936	1224	environmental samples	0	14
5	species	153809	47936	uncultured proteobacterium	14	0
4	subphylum	68525	1224	delta/epsilon subdivisions	0	312
5	class	28221	68525	Deltaproteobacteria	64	239
6	order	29	28221	Myxococcales	12	96
7	suborder	80811	29	Cystobacterineae	2	10
8	family	39	80811	Cystobacteraceae	0	9
9	no rank	1028513	39	unclassified Cystobacteraceae	9	0
7	suborder	80812	29	Sorangiineae	30	47
8	family	49	80812	Polyangiaceae	1	18
9	genus	39643	49	Sorangium	0	7
10	no rank	491147	39643	environmental samples	0	7
11	species	491148	491147	uncultured Sorangium sp.	7	0
9	no rank	80814	49	unclassified Polyangiaceae	0	11
10	species	80815	80814	myxobacterium SHI-1	11	0
8	no rank	215910	80812	unclassified Sorangiineae	28	0
7	no rank	83463	29	unclassified Myxococcales	6	0
6	no rank	34033	28221	environmental samples	0	24
7	species	34034	34033	uncultured delta proteobacterium	24	0
6	no rank	45456	28221	unclassified Deltaproteobacteria	24	3
7	no rank	131190	45456	SAR324 cluster	0	3
8	no rank	424750	131190	SAR276 cluster	0	3
9	no rank	424751	424750	environmental samples	0	3
10	species	424755	424751	uncultured SAR276 cluster bacterium	3	0
6	order	69541	28221	Desulfuromonadales	2	5
6	order	213115	28221	Desulfovibrionales	0	6
7	family	194924	213115	Desulfovibrionaceae	0	4
8	genus	872	194924	Desulfovibrio	1	3
6	order	213481	28221	Bdellovibrionales	0	63
7	family	213483	213481	Bdellovibrionaceae	0	63
8	genus	958	213483	Bdellovibrio	60	1
5	class	29547	68525	Epsilonproteobacteria	2	7
6	order	213849	29547	Campylobacterales	1	6
7	family	72293	213849	Helicobacteraceae	0	3
7	no rank	438853	213849	unclassified Campylobacterales	3	0
3	phylum	1239	2	Firmicutes	18	563
4	no rank	47928	1239	environmental samples	0	8
5	species	344338	47928	uncultured Firmicutes bacterium	8	0
4	class	91061	1239	Bacilli	3	148
5	order	1385	91061	Bacillales	2	127
6	family	90964	1385	Staphylococcaceae	0	4
7	genus	1279	90964	Staphylococcus	3	1
6	family	186817	1385	Bacillaceae	1	113
7	genus	1386	186817	Bacillus	0	111
8	no rank	65119	1386	environmental samples	0	83
9	species	83428	65119	uncultured Bacillus sp.	83	0
8	species group	86661	1386	Bacillus cereus group	0	25
9	species	1396	86661	Bacillus cereus	22	0
9	species	1428	86661	Bacillus thuringiensis	3	0
6	family	186822	1385	Paenibacillaceae	2	5
7	genus	44249	186822	Paenibacillus	1	4
5	order	186826	91061	Lactobacillales	0	19
6	family	1300	186826	Streptococcaceae	0	4
7	genus	1301	1300	Streptococcus	3	1
6	family	33958	186826	Lactobacillaceae	0	4
7	genus	1578	33958	Lactobacillus	3	0
6	family	186828	186826	Carnobacteriaceae	0	10
7	no rank	349921	186828	environmental samples	0	8
8	species	349922	349921	uncultured Carnobacteriaceae bacterium	8	0
4	class	186801	1239	Clostridia	0	381
5	order	53433	186801	Halanaerobiales	0	4
6	family	972	53433	Halanaerobiaceae	0	4
7	genus	2330	972	Halanaerobium	4	0
5	order	186802	186801	Clostridiales	38	339
6	family	186803	186802	Lachnospiraceae	4	11
7	no rank	186928	186803	unclassified Lachnospiraceae	11	0
6	family	186806	186802	Eubacteriaceae	0	12
7	genus	1730	186806	Eubacterium	9	2
6	family	186807	186802	Peptococcaceae	0	197
7	genus	36853	186807	Desulfitobacterium	0	197
8	species	49338	36853	Desulfitobacterium hafniense	197	0
6	no rank	186813	186802	unclassified Clostridiales	4	0
6	family	541000	186802	Ruminococcaceae	2	101
7	genus	216851	541000	Faecalibacterium	0	43
8	species	853	216851	Faecalibacterium prausnitzii	0	43
9	no rank	657322	853	Faecalibacterium prausnitzii SL3/3	43	0
7	no rank	552397	541000	unclassified Ruminococcaceae	55	0
6	family	1570339	186802	Peptoniphilaceae	0	4
7	genus	162289	1570339	Peptoniphilus	4	0
4	class	909932	1239	Negativicutes	0	18
5	order	909929	909932	Selenomonadales	2	16
6	family	31977	909929	Veillonellaceae	3	13
7	no rank	42214	31977	unclassified Veillonellaceae	9	0
4	no rank	1394757	1239	unclassified Firmicutes	4	0
3	phylum	1297	2	Deinococcus-Thermus	0	12
4	class	188787	1297	Deinococci	0	12
5	order	68933	188787	Thermales	0	4
6	family	188786	68933	Thermaceae	0	4
7	genus	65551	188786	Meiothermus	4	0
5	order	118964	188787	Deinococcales	0	8
6	family	183710	118964	Deinococcaceae	3	5
7	genus	1298	183710	Deinococcus	5	0
3	no rank	2323	2	unclassified Bacteria	975	113
4	no rank	49928	2323	unclassified Bacteria (miscellaneous)	0	6
4	phylum	95818	2323	Candidatus Saccharibacteria	4	4
5	species	713050	95818	TM7 phylum sp. oral taxon 347	4	0
4	phylum	221216	2323	Parcubacteria	0	6
5	no rank	1046984	221216	unclassified Parcubacteria	6	0
4	no rank	292449	2323	candidate division JS1	0	90
5	no rank	292450	292449	environmental samples	0	90
6	species	292451	292450	uncultured candidate division JS1 bacterium	90	0
3	phylum	32066	2	Fusobacteria	0	12
4	class	203490	32066	Fusobacteriia	0	12
5	order	203491	203490	Fusobacteriales	0	12
6	family	203492	203491	Fusobacteriaceae	0	5
7	genus	848	203492	Fusobacterium	5	0
