ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ssc-mir-1285:MI0013164:Sus:scrofa:miR-1285:stem-loop	2	13	11.5	0.0
bmo-mir-6497:MI0022087:Bombyx:mori:miR-6497:stem-loop	7	19	9.5	0.0
pxy-mir-6497:MI0027355:Plutella:xylostella:miR-6497:stem-loop	7	19	9.5	0.0
dpu-mir-281:MI0012236:Daphnia:pulex:miR-281:stem-loop	1	6	6.0	0.0
hsa-mir-7641-2:MI0024976:Homo:sapiens:miR-7641-2:stem-loop	5	6	6.0	0.0
ppy-mir-1273a:MI0015230:Pongo:pygmaeus:miR-1273a:stem-loop	7	7	5.333333333333333	0.0
mmu-mir-6928:MI0022775:Mus:musculus:miR-6928:stem-loop	1	3	3.0	0.0
hbr-MIR6173:MI0021483:Hevea:brasiliensis:miR6173:stem-loop	2	2	2.0	0.0
gga-mir-202:MI0003699:Gallus:gallus:miR-202:stem-loop	1	2	2.0	0.0
mmu-mir-6240:MI0021587:Mus:musculus:miR-6240:stem-loop	1	1	1.0	0.0
asu-mir-7:MI0018531:Ascaris:suum:miR-7:stem-loop	1	1	1.0	0.0
peu-MIR2916:MI0012640:Populus:euphratica:miR2916:stem-loop	1	1	1.0	0.0
bta-mir-1246:MI0021112:Bos:taurus:miR-1246:stem-loop	1	1	1.0	0.0
xtr-mir-140:MI0004841:Xenopus:tropicalis:miR-140:stem-loop	1	1	1.0	0.0
eca-mir-9158:MI0028382:Equus:caballus:miR-9158:stem-loop	1	1	1.0	0.0
atr-MIR8552a:MI0027426:Amborella:trichopoda:miR8552a:stem-loop	1	1	1.0	0.0
bmo-mir-3268:MI0014324:Bombyx:mori:miR-3268:stem-loop	1	1	1.0	0.0
ola-mir-222:MI0019416:Oryzias:latipes:miR-222:stem-loop	1	1	1.0	0.0
hsa-mir-1273d:MI0014254:Homo:sapiens:miR-1273d:stem-loop	1	1	1.0	0.0
mml-mir-1-2:MI0007569:Macaca:mulatta:miR-1-2:stem-loop	1	1	1.0	0.0
ipu-mir-7550:MI0024681:Ictalurus:punctatus:miR-7550:stem-loop	1	1	1.0	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	1	2	0.6666666666666666	0.0
ptr-mir-1254:MI0008459:Pan:troglodytes:miR-1254:stem-loop	1	2	0.6666666666666666	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	1	2	0.6666666666666666	0.0
ptr-mir-1303:MI0008524:Pan:troglodytes:miR-1303:stem-loop	1	2	0.5	0.0
ptr-mir-601:MI0008807:Pan:troglodytes:miR-601:stem-loop	1	1	0.5	0.0
hsa-mir-1303:MI0006370:Homo:sapiens:miR-1303:stem-loop	1	2	0.5	0.0
hsa-mir-4459:MI0016805:Homo:sapiens:miR-4459:stem-loop	1	1	0.5	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	1	1	0.5	0.0
hsa-mir-601:MI0003614:Homo:sapiens:miR-601:stem-loop	1	1	0.5	0.0
ppy-mir-1303:MI0015261:Pongo:pygmaeus:miR-1303:stem-loop	1	2	0.5	0.0
hsa-mir-1273a:MI0006409:Homo:sapiens:miR-1273a:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-4477a:MI0016829:Homo:sapiens:miR-4477a:stem-loop	1	1	0.3333333333333333	0.0
cfa-mir-8802:MI0027882:Canis:familiaris:miR-8802:stem-loop	1	1	0.3333333333333333	0.0
ppy-mir-566:MI0015057:Pongo:pygmaeus:miR-566:stem-loop	1	1	0.3333333333333333	0.0
dre-mir-184-2:MI0003243:Danio:rerio:miR-184-2:stem-loop	1	1	0.3333333333333333	0.0
mdo-mir-200b:MI0005345:Monodelphis:domestica:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
ola-mir-200b:MI0019449:Oryzias:latipes:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
tgu-mir-200b:MI0013820:Taeniopygia:guttata:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
ssa-mir-200a-2:MI0026582:Salmo:salar:miR-200a-2:stem-loop	1	1	0.058823529411764705	0.0
gga-mir-200b:MI0001250:Gallus:gallus:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
csa-mir-200:MI0007200:Ciona:savignyi:miR-200:stem-loop	1	1	0.058823529411764705	0.0
ccr-mir-200b:MI0023362:Cyprinus:carpio:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
oan-mir-200b:MI0006745:Ornithorhynchus:anatinus:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
tni-mir-200b:MI0003306:Tetraodon:nigroviridis:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
sha-mir-200b:MI0019631:Sarcophilus:harrisii:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
xtr-mir-200b:MI0004946:Xenopus:tropicalis:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
fru-mir-200b:MI0003305:Fugu:rubripes:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
dre-mir-200b:MI0002038:Danio:rerio:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
ipu-mir-200b:MI0024555:Ictalurus:punctatus:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
ssa-mir-200a-3:MI0026583:Salmo:salar:miR-200a-3:stem-loop	1	1	0.058823529411764705	0.0
ssa-mir-200a-1:MI0026581:Salmo:salar:miR-200a-1:stem-loop	1	1	0.058823529411764705	0.0
aca-mir-200b:MI0018803:Anolis:carolinensis:miR-200b:stem-loop	1	1	0.058823529411764705	0.0
