ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000445125.1:processed_pseudogene:AC010970.2-001	139	379	372.2	0.0
ENST00000299163.6:protein_coding:HIF1AN-002	13	271	269.5833333333333	0.0
ENST00000419932.1:processed_pseudogene:CTD-2328D6.1-001	90	193	193.0	0.0
ENST00000465244.1:retained_intron:RBBP7-011	18	165	164.5	0.0
ENST00000449567.2:processed_transcript:LUZP2-005	5	144	144.0	0.0
ENST00000581869.1:processed_transcript:ZNF521-014	8	78	73.0	0.0
ENST00000425217.1:protein_coding:KSR2-202	9	67	66.2	0.0
ENST00000484106.1:processed_transcript:RYK-008	8	51	51.0	0.0
ENST00000514519.1:lincRNA:RP11-259O2.3-001	86	176	50.96626984126986	0.0
ENST00000481617.2:protein_coding:TBC1D8B-003	85	175	50.42579365079368	0.0
ENST00000367627.3:protein_coding:TOR3A-001	10	50	50.0	0.0
ENST00000554304.1:processed_transcript:SLC38A6-019	78	167	47.116269841269876	0.0
ENST00000526028.1:protein_coding:HYLS1-003	11	47	47.0	0.0
ENST00000527970.1:processed_transcript:RP13-726E6.2-002	20	42	42.0	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	46	50	40.5	0.0
ENST00000561320.1:lincRNA:RP11-346D14.1-001	63	77	39.547619047619065	0.0
ENST00000448737.1:processed_pseudogene:HSPA8P20-001	17	40	37.0	0.0
ENST00000597346.1:antisense:KCNQ1OT1-001	79	101	33.03769841269839	0.0
ENST00000361381.2:protein_coding:MT-ND4-201	33	38	30.999999999999996	0.0
ENST00000463214.1:retained_intron:ZFYVE20-007	5	30	30.0	0.0
ENST00000551112.1:retained_intron:ESYT1-006	9	28	28.0	0.0
ENST00000244333.3:protein_coding:LYPD3-001	5	27	27.0	0.0
ENST00000361789.2:protein_coding:MT-CYB-201	24	27	25.75	0.0
ENST00000439394.1:lincRNA:RP4-712E4.1-001	7	50	25.0	0.0
ENST00000449439.1:lincRNA:RP4-712E4.2-001	7	50	25.0	0.0
ENST00000586501.1:protein_coding:KIAA1328-007	37	49	23.08095238095238	0.0
ENST00000606622.1:lincRNA:RP11-284J1.1-001	6	23	23.0	0.0
ENST00000374586.3:protein_coding:TMEM245-001	10	27	22.0	0.0
ENST00000489107.1:processed_transcript:LURAP1L-002	3	22	22.0	0.0
ENST00000361739.1:protein_coding:MT-CO2-201	13	20	18.5	0.0
ENST00000463684.1:nonsense_mediated_decay:SMC1A-002	12	37	18.333333333333336	0.0
ENST00000322213.4:protein_coding:SMC1A-001	12	37	18.333333333333336	0.0
ENST00000387416.2:Mt_tRNA:MT-TS1-201	10	18	18.0	0.0
ENST00000387461.2:Mt_tRNA:MT-TP-201	13	17	17.0	0.0
ENST00000610020.1:protein_coding:RPAP2-001	20	21	16.67222222222222	0.0
ENST00000403050.3:protein_coding:PHF14-001	4	33	16.5	0.0
ENST00000481418.1:processed_transcript:PHF14-010	4	33	16.5	0.0
ENST00000380737.3:protein_coding:PPP2R2A-001	11	16	16.0	0.0
ENST00000561009.1:retained_intron:IRF9-006	6	16	16.0	0.0
ENST00000607412.1:antisense:AC072062.1-001	16	18	15.666666666666666	0.0
ENST00000520036.1:processed_pseudogene:ACTBP6-001	5	15	15.0	0.0
ENST00000584245.1:misc_RNA:RN7SL694P-201	5	15	15.0	0.0
ENST00000421767.1:lincRNA:LINC00174-001	9	15	15.0	0.0
ENST00000467525.1:nonsense_mediated_decay:FCGR2A-018	9	15	15.0	0.0
ENST00000445445.1:nonsense_mediated_decay:RASGRP2-017	3	16	14.4	0.0
ENST00000555870.1:nonsense_mediated_decay:MIPOL1-004	35	48	13.088888888888887	0.0
ENST00000586448.1:protein_coding:SLC14A2-003	2	13	13.0	0.0
ENST00000324765.8:protein_coding:DIAPH2-002	10	13	13.0	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	14	16	12.666666666666668	0.0
ENST00000583516.1:sense_intronic:ESRG-001	15	17	12.226495726495726	0.0
ENST00000536317.1:antisense:RP11-1060J15.4-001	8	12	12.0	0.0
ENST00000575511.1:retained_intron:MINK1-013	7	24	12.0	0.0
ENST00000574871.1:retained_intron:MINK1-008	7	24	12.0	0.0
ENST00000569510.1:retained_intron:ADAMTSL3-008	29	36	10.914285714285711	0.0
ENST00000362079.2:protein_coding:MT-CO3-201	13	14	10.5	0.0
ENST00000511037.1:processed_pseudogene:MTND5P11-001	17	19	10.25	0.0
ENST00000361624.2:protein_coding:MT-CO1-201	17	17	10.083333333333334	0.0
ENST00000559231.1:processed_transcript:IGDCC3-003	6	10	10.0	0.0
ENST00000565117.1:retained_intron:POLR3E-008	4	10	10.0	0.0
ENST00000408926.3:protein_coding:XKR9-001	4	10	10.0	0.0
ENST00000222753.4:protein_coding:HOXA13-001	8	11	9.666666666666668	0.0
ENST00000402685.2:protein_coding:PDZRN4-001	4	14	9.5	0.0
ENST00000569998.1:lincRNA:RP11-142G1.3-001	27	42	9.390079365079366	0.0
ENST00000530045.1:antisense:RP11-727A23.10-001	9	9	9.0	0.0
ENST00000387392.1:Mt_tRNA:MT-TA-201	9	9	9.0	0.0
ENST00000361681.2:protein_coding:MT-ND6-201	11	11	9.0	0.0
ENST00000503250.2:protein_coding:WBSCR16-201	8	9	9.0	0.0
ENST00000239144.4:protein_coding:HOXB8-001	4	9	9.0	0.0
ENST00000411509.1:lincRNA:RP11-538D16.2-001	17	18	8.694444444444443	0.0
ENST00000457540.1:unprocessed_pseudogene:MTND2P28-001	13	16	8.625	0.0
ENST00000361453.3:protein_coding:MT-ND2-201	13	16	8.625	0.0
ENST00000563963.1:retained_intron:TUBGCP4-004	7	10	8.285714285714286	0.0
ENST00000506305.1:lincRNA:CTD-2383I20.1-001	15	16	8.11111111111111	0.0
ENST00000539813.1:lincRNA:LINC00273-001	4	8	8.0	0.0
ENST00000416982.1:lincRNA:AC073236.3-001	11	17	8.0	0.0
ENST00000586022.1:transcribed_unprocessed_pseudogene:LRRC37A16P-001	8	8	8.0	0.0
ENST00000564198.1:sense_overlapping:RP1-140C12.2-001	4	8	8.0	0.0
ENST00000519356.1:processed_transcript:TTI2-006	7	8	8.0	0.0
ENST00000470188.1:processed_transcript:CDHR3-002	3	8	8.0	0.0
ENST00000569858.1:antisense:RP11-72I8.1-001	6	8	8.0	0.0
ENST00000566821.1:retained_intron:HP-006	2	8	8.0	0.0
ENST00000505556.1:lincRNA:RP11-501E14.1-001	13	14	7.833333333333332	0.0
ENST00000361899.2:protein_coding:MT-ATP6-201	9	11	7.5	0.0
ENST00000301998.4:protein_coding:B3GNT2-001	4	15	7.5	0.0
ENST00000528170.1:protein_coding:MS4A15-003	2	8	7.5	0.0
ENST00000405767.1:protein_coding:B3GNT2-002	4	15	7.5	0.0
ENST00000547656.1:antisense:RP11-588H23.3-004	4	8	7.25	0.0
ENST00000453187.1:lincRNA:AC073236.3-002	10	16	7.0	0.0
ENST00000551944.1:retained_intron:C12orf50-001	6	7	7.0	0.0
ENST00000389680.2:Mt_rRNA:MT-RNR1-201	7	7	7.0	0.0
ENST00000557958.1:retained_intron:LDLR-009	3	7	7.0	0.0
ENST00000590492.1:antisense:CTD-2540B15.6-001	1	7	7.0	0.0
ENST00000551486.1:retained_intron:LIMA1-012	3	7	7.0	0.0
ENST00000498999.2:processed_pseudogene:MTND4P12-001	11	13	6.499999999999999	0.0
ENST00000608049.1:processed_transcript:ROCK1P1-003	5	7	6.333333333333334	0.0
ENST00000593916.1:protein_coding:ZNF773-005	15	19	6.333333333333333	0.0
ENST00000599847.1:protein_coding:ZNF773-003	15	19	6.333333333333333	0.0
ENST00000597061.1:nonsense_mediated_decay:ZNF773-004	15	19	6.333333333333333	0.0
ENST00000379010.2:protein_coding:REXO1L1-001	8	9	6.291666666666667	0.0
ENST00000358637.4:protein_coding:ASTN2-004	5	6	6.0	0.0
ENST00000500612.1:antisense:RP11-510M2.2-001	3	6	6.0	0.0
ENST00000237177.6:processed_transcript:CASP8AP2-003	3	12	6.0	0.0
ENST00000298492.5:protein_coding:FAM175B-001	5	11	6.0	0.0
ENST00000551025.1:processed_transcript:CASP8AP2-202	3	12	6.0	0.0
ENST00000290894.8:protein_coding:SHF-001	5	6	6.0	0.0
ENST00000444889.1:processed_pseudogene:RNF6P1-001	4	6	6.0	0.0
ENST00000466420.1:processed_transcript:FRS3-003	4	6	6.0	0.0
ENST00000511897.1:antisense:RP11-87E22.2-001	4	6	6.0	0.0
ENST00000483551.2:processed_transcript:ANP32A-002	5	6	6.0	0.0
ENST00000306318.4:protein_coding:GBX2-001	1	6	6.0	0.0
ENST00000568500.1:antisense:RP11-146F11.1-002	4	6	6.0	0.0
ENST00000419069.1:lincRNA:LINC00317-001	4	6	6.0	0.0
ENST00000226444.3:protein_coding:SULT1E1-001	2	6	6.0	0.0
ENST00000530000.1:lincRNA:RP3-468B3.2-003	5	6	6.0	0.0
ENST00000450670.1:protein_coding:TRIM22-008	16	19	5.742857142857145	0.0
ENST00000510505.1:lincRNA:RP11-703G6.1-001	19	33	5.740079365079366	0.0
ENST00000593124.1:protein_coding:CDC37-004	3	17	5.666666666666666	0.0
ENST00000588498.1:retained_intron:CDC37-005	3	17	5.666666666666666	0.0
ENST00000589755.1:retained_intron:CDC37-006	3	17	5.666666666666666	0.0
ENST00000503882.1:lincRNA:CTC-436P18.3-002	6	6	5.25	0.0
ENST00000504032.1:antisense:UGDH-AS1-001	10	11	5.183333333333334	0.0
ENST00000560854.1:retained_intron:PEAK1-003	6	7	5.166666666666667	0.0
ENST00000508177.1:protein_coding:GNPDA1-003	9	25	5.033333333333334	0.0
ENST00000503794.1:protein_coding:GNPDA1-004	9	25	5.033333333333334	0.0
ENST00000333538.5:protein_coding:WBSCR17-001	4	5	5.0	0.0
ENST00000591133.1:retained_intron:STK11-006	2	5	5.0	0.0
ENST00000608412.1:lincRNA:RP11-138A9.2-001	4	5	5.0	0.0
ENST00000403590.1:processed_pseudogene:TATDN2P2-001	5	5	5.0	0.0
ENST00000414645.2:protein_coding:DPY19L4-001	4	5	5.0	0.0
ENST00000453917.1:processed_pseudogene:RP11-108M9.5-001	4	5	5.0	0.0
ENST00000472866.2:processed_transcript:TTC21A-011	1	5	5.0	0.0
ENST00000443504.1:lincRNA:RP11-686D16.1-001	1	5	5.0	0.0
