ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	90	492	492.0	0.0
hsa-mir-182:MI0000272:Homo:sapiens:miR-182:stem-loop	67	339	339.0	0.0
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	59	304	304.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	18	296	296.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	77	291	291.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	29	210	210.0	0.0
hsa-mir-29a:MI0000087:Homo:sapiens:miR-29a:stem-loop	16	193	193.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	27	278	140.0	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	26	277	139.0	0.0
hsa-mir-103a-1:MI0000109:Homo:sapiens:miR-103a-1:stem-loop	12	368	123.49999999999999	0.0
hsa-mir-103a-2:MI0000108:Homo:sapiens:miR-103a-2:stem-loop	12	368	123.49999999999999	0.0
hsa-mir-107:MI0000114:Homo:sapiens:miR-107:stem-loop	10	366	121.99999999999999	0.0
hsa-mir-425:MI0001448:Homo:sapiens:miR-425:stem-loop	24	95	95.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	25	85	85.0	0.0
hsa-mir-181b-1:MI0000270:Homo:sapiens:miR-181b-1:stem-loop	35	162	83.83333333333333	0.0
hsa-mir-181b-2:MI0000683:Homo:sapiens:miR-181b-2:stem-loop	30	157	78.83333333333333	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	14	74	74.0	0.0
hsa-mir-452:MI0001733:Homo:sapiens:miR-452:stem-loop	17	69	69.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	29	61	61.0	0.0
hsa-mir-423:MI0001445:Homo:sapiens:miR-423:stem-loop	17	58	58.0	0.0
hsa-mir-1291:MI0006353:Homo:sapiens:miR-1291:stem-loop	26	55	55.0	0.0
hsa-mir-142:MI0000458:Homo:sapiens:miR-142:stem-loop	6	54	54.0	0.0
hsa-mir-24-2:MI0000081:Homo:sapiens:miR-24-2:stem-loop	9	51	50.5	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	25	54	50.33333333333333	0.0
hsa-mir-183:MI0000273:Homo:sapiens:miR-183:stem-loop	19	49	49.0	0.0
hsa-mir-6516:MI0025513:Homo:sapiens:miR-6516:stem-loop	21	49	49.0	0.0
hsa-mir-192:MI0000234:Homo:sapiens:miR-192:stem-loop	19	47	47.0	0.0
hsa-mir-378c:MI0015825:Homo:sapiens:miR-378c:stem-loop	7	45	45.0	0.0
hsa-mir-200b:MI0000342:Homo:sapiens:miR-200b:stem-loop	17	45	45.0	0.0
hsa-mir-4449:MI0016792:Homo:sapiens:miR-4449:stem-loop	17	40	40.0	0.0
hsa-mir-141:MI0000457:Homo:sapiens:miR-141:stem-loop	9	38	38.0	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	10	38	38.0	0.0
hsa-mir-4454:MI0016800:Homo:sapiens:miR-4454:stem-loop	8	32	32.0	0.0
hsa-mir-320a:MI0000542:Homo:sapiens:miR-320a:stem-loop	17	32	31.5	0.0
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	25	29	29.0	0.0
hsa-mir-148b:MI0000811:Homo:sapiens:miR-148b:stem-loop	2	27	27.0	0.0
hsa-mir-3138:MI0014161:Homo:sapiens:miR-3138:stem-loop	9	26	26.0	0.0
hsa-mir-330:MI0000803:Homo:sapiens:miR-330:stem-loop	12	23	23.0	0.0
hsa-mir-1248:MI0006383:Homo:sapiens:miR-1248:stem-loop	12	21	21.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	6	21	21.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	15	21	21.0	0.0
hsa-mir-200c:MI0000650:Homo:sapiens:miR-200c:stem-loop	11	21	21.0	0.0
hsa-mir-339:MI0000815:Homo:sapiens:miR-339:stem-loop	9	18	18.0	0.0
hsa-mir-1301:MI0003815:Homo:sapiens:miR-1301:stem-loop	6	18	18.0	0.0
hsa-mir-3651:MI0016051:Homo:sapiens:miR-3651:stem-loop	6	17	17.0	0.0
hsa-mir-16-2:MI0000115:Homo:sapiens:miR-16-2:stem-loop	8	17	16.0	0.0
hsa-mir-23a:MI0000079:Homo:sapiens:miR-23a:stem-loop	14	17	16.0	0.0
hsa-mir-429:MI0001641:Homo:sapiens:miR-429:stem-loop	5	15	15.0	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	7	15	15.0	0.0
hsa-mir-331:MI0000812:Homo:sapiens:miR-331:stem-loop	8	15	15.0	0.0
hsa-mir-544b:MI0014159:Homo:sapiens:miR-544b:stem-loop	8	15	15.0	0.0
hsa-mir-491:MI0003126:Homo:sapiens:miR-491:stem-loop	1	14	14.0	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	13	18	13.833333333333332	0.0
hsa-mir-1293:MI0006355:Homo:sapiens:miR-1293:stem-loop	9	13	13.0	0.0
hsa-mir-3143:MI0014167:Homo:sapiens:miR-3143:stem-loop	11	12	12.0	0.0
hsa-mir-3653:MI0016053:Homo:sapiens:miR-3653:stem-loop	9	12	12.0	0.0
