ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
tRNA-Ser-AGA-chr11-8	10	25	25.0	0.0
tRNA-Tyr-GTA-chr1-127	15	15	4.324242424242425	0.0
tRNA-Tyr-GTA-chr14-8	15	15	4.324242424242425	0.0
tRNA-Tyr-GTA-chr21-2	15	15	4.324242424242425	0.0
nmt-tRNA-Val-TAC-1-1	4	4	4.0	0.0
nmt-tRNA-Gln-TTG-7-1	6	8	3.5	0.0
nmt-tRNA-Gln-TTG-9-1	5	7	3.1666666666666665	0.0
tRNA-Ile-TAT-1-1	1	1	1.0	0.0
tRNA-Trp-CCA-2-1	1	1	1.0	0.0
nmt-tRNA-Gln-TTG-1-1	2	2	0.5	0.0
nmt-tRNA-Gln-TTG-6-1	2	2	0.5	0.0
tRNA-Tyr-GTA-chr9-10	3	3	0.49090909090909096	0.0
tRNA-Tyr-GTA-chr10-3	3	3	0.49090909090909096	0.0
tRNA-Lys-TTT-7-1	1	1	0.3333333333333333	0.0
tRNA-Lys-TTT-2-1	1	1	0.3333333333333333	0.0
tRNA-Lys-TTT-1-1	1	1	0.3333333333333333	0.0
tRNA-Thr-TGT-2-1	1	1	0.25	0.0
tRNA-Thr-TGT-4-1	1	1	0.25	0.0
tRNA-Thr-TGT-6-1	1	1	0.25	0.0
tRNA-Thr-TGT-5-1	1	1	0.25	0.0
tRNA-Tyr-ATA-chr9-2	1	1	0.16666666666666666	0.0
nmt-tRNA-Gln-TTG-5-1	1	1	0.16666666666666666	0.0
tRNA-Tyr-ATA-chr11-9	1	1	0.16666666666666666	0.0
nmt-tRNA-Gln-TTG-4-1	1	1	0.16666666666666666	0.0
tRNA-Tyr-ATA-chr1-52	1	1	0.16666666666666666	0.0
nmt-tRNA-Tyr-GTA-chr4-1	1	1	0.09090909090909091	0.0
tRNA-Tyr-GTA-chr7-6	1	1	0.09090909090909091	0.0
nmt-tRNA-Tyr-GTA-chr17-33	1	1	0.09090909090909091	0.0
tRNA-Tyr-GTA-chr7-1	1	1	0.09090909090909091	0.0
nmt-tRNA-Tyr-GTA-chr2-10	1	1	0.09090909090909091	0.0
tRNA-Tyr-GTA-chr2-12	1	1	0.09090909090909091	0.0
