ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	477	105219	105219.0	0.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	344	67473	66426.0	0.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	399	46445	46441.0	0.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	417	44068	44064.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	376	37769	37758.833333333336	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	234	36427	36427.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	405	31989	31989.0	0.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	244	31127	31127.0	0.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	547	33879	27936.533333333315	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	237	26525	26525.0	0.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	366	25720	25720.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	243	23543	23543.0	0.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	440	20834	20834.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	145	16429	16429.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	283	15750	15749.5	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	325	15579	15578.5	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	251	15756	15446.16666666667	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	325	14155	14155.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	246	13794	13791.0	0.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	184	12618	12318.5	0.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	160	10311	10309.5	0.0
hsa-miR-10a-3p:MIMAT0004555:Homo:sapiens:miR-10a-3p	197	10019	10019.0	0.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	186	10133	9995.5	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	142	9674	9672.5	0.0
