ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000516507.1:misc_RNA:RNY4-201	2784	171941	41052.70703854207	0.0
ENST00000365571.1:misc_RNA:RNY4P10-201	1993	168361	40256.4152335349	0.0
ENST00000364908.1:misc_RNA:Y_RNA.320-201	1615	156035	34242.863201255976	0.0
ENST00000364600.1:misc_RNA:RNY4P7-201	1375	151532	32970.80445434105	0.0
ENST00000364228.1:misc_RNA:RNY1-201	1191	35814	31268.470532293097	0.0
ENST00000386747.1:snoRNA:SNORD83A-201	270	15772	15755.445454545456	0.0
ENST00000516678.1:misc_RNA:RNY4P20-201	796	71346	13543.757849503469	0.0
ENST00000516501.1:misc_RNA:RNY5-201	922	7465	6847.33333333333	0.0
ENST00000602361.1:lincRNA:RMRP-001	957	7744	5152.0	0.0
ENST00000538654.1:retained_intron:SNHG1-003	1266	8619	3970.5499999999997	0.0
ENST00000384147.1:snoRNA:SNHG1-205	893	7302	3651.0	0.0
ENST00000363046.1:misc_RNA:RMRP-201	757	5180	2588.0	0.0
ENST00000362477.1:snRNA:RNU5E-1-201	382	2330	2284.755339105339	0.0
ENST00000411069.1:snRNA:RNU2-61P-201	648	13338	2246.4875392581307	0.0
ENST00000410694.1:snRNA:RNU2-48P-201	811	16139	2177.09555328572	0.0
ENST00000410695.1:snRNA:RNU2-37P-201	524	12959	2144.20750997369	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	1601	3553	2041.5150793650778	0.0
ENST00000363286.1:snRNA:RNU5B-1-201	703	2381	1981.8053391053386	0.0
ENST00000410344.1:snRNA:RNU2-33P-201	425	11662	1789.1386575842464	0.0
ENST00000410794.1:snRNA:RNU2-7P-201	327	11352	1725.658138103727	0.0
ENST00000364948.1:misc_RNA:RNY4P17-201	145	9220	1678.7082968436416	0.0
ENST00000431268.1:retained_intron:GAS5-002	304	6490	1617.4617585630754	0.0
ENST00000454813.1:retained_intron:GAS5-026	279	6430	1607.095238095238	0.0
ENST00000412059.1:retained_intron:GAS5-022	277	6429	1606.513888888889	0.0
ENST00000365524.1:snoRNA:GAS5-206	274	6424	1606.0	0.0
ENST00000365444.1:snoRNA:SNORD6-201	315	1605	1601.75	0.0
ENST00000363331.1:misc_RNA:Y_RNA.133-201	93	1607	1467.8704138742235	0.0
ENST00000362698.1:snRNA:RNU5A-1-201	557	1853	1432.7886724386724	0.0
