ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-409:MI0001735:Homo:sapiens:miR-409:stem-loop	28	347	347.0	0.0
hsa-mir-431:MI0001721:Homo:sapiens:miR-431:stem-loop	24	93	93.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	28	84	84.0	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	10	113	58.5	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	8	112	57.5	0.0
hsa-mir-423:MI0001445:Homo:sapiens:miR-423:stem-loop	22	53	53.0	0.0
hsa-mir-1291:MI0006353:Homo:sapiens:miR-1291:stem-loop	32	49	49.0	0.0
hsa-mir-214:MI0000290:Homo:sapiens:miR-214:stem-loop	10	48	48.0	0.0
hsa-mir-6516:MI0025513:Homo:sapiens:miR-6516:stem-loop	27	48	48.0	0.0
hsa-mir-4449:MI0016792:Homo:sapiens:miR-4449:stem-loop	22	47	47.0	0.0
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	27	42	42.0	0.0
hsa-mir-3653:MI0016053:Homo:sapiens:miR-3653:stem-loop	6	34	34.0	0.0
hsa-mir-181b-1:MI0000270:Homo:sapiens:miR-181b-1:stem-loop	14	61	33.0	0.0
hsa-mir-181b-2:MI0000683:Homo:sapiens:miR-181b-2:stem-loop	12	57	29.0	0.0
hsa-mir-1248:MI0006383:Homo:sapiens:miR-1248:stem-loop	17	25	25.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	4	24	24.0	0.0
hsa-mir-136:MI0000475:Homo:sapiens:miR-136:stem-loop	5	23	23.0	0.0
hsa-mir-103a-2:MI0000108:Homo:sapiens:miR-103a-2:stem-loop	4	18	16.0	0.0
hsa-mir-432:MI0003133:Homo:sapiens:miR-432:stem-loop	9	15	15.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	1	14	14.0	0.0
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	9	12	12.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	5	11	11.0	0.0
hsa-mir-3652:MI0016052:Homo:sapiens:miR-3652:stem-loop	9	10	10.0	0.0
hsa-mir-654:MI0003676:Homo:sapiens:miR-654:stem-loop	3	9	9.0	0.0
hsa-mir-541:MI0005539:Homo:sapiens:miR-541:stem-loop	2	9	9.0	0.0
hsa-mir-320a:MI0000542:Homo:sapiens:miR-320a:stem-loop	5	8	8.0	0.0
hsa-mir-1246:MI0006381:Homo:sapiens:miR-1246:stem-loop	5	6	6.0	0.0
hsa-mir-452:MI0001733:Homo:sapiens:miR-452:stem-loop	5	6	6.0	0.0
hsa-mir-3609:MI0015999:Homo:sapiens:miR-3609:stem-loop	4	5	5.0	0.0
hsa-mir-1293:MI0006355:Homo:sapiens:miR-1293:stem-loop	2	5	5.0	0.0
hsa-mir-134:MI0000474:Homo:sapiens:miR-134:stem-loop	4	5	5.0	0.0
hsa-mir-30d:MI0000255:Homo:sapiens:miR-30d:stem-loop	3	4	4.0	0.0
hsa-mir-664a:MI0006442:Homo:sapiens:miR-664:stem-loop	4	4	4.0	0.0
hsa-mir-382:MI0000790:Homo:sapiens:miR-382:stem-loop	4	4	4.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	4	4	4.0	0.0
hsa-let-7e:MI0000066:Homo:sapiens:let-7e:stem-loop	4	4	4.0	0.0
hsa-mir-3138:MI0014161:Homo:sapiens:miR-3138:stem-loop	3	4	4.0	0.0
hsa-mir-543:MI0005565:Homo:sapiens:miR-543:stem-loop	3	4	4.0	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	4	4	3.25	0.0
hsa-mir-505:MI0003190:Homo:sapiens:miR-505:stem-loop	2	3	3.0	0.0
hsa-mir-1245a:MI0006380:Homo:sapiens:miR-1245a:stem-loop	3	3	3.0	0.0
hsa-mir-664b:MI0019134:Homo:sapiens:miR-664b:stem-loop	3	3	3.0	0.0
hsa-mir-1913:MI0008334:Homo:sapiens:miR-1913:stem-loop	1	3	3.0	0.0
hsa-mir-3917:MI0016423:Homo:sapiens:miR-3917:stem-loop	3	3	3.0	0.0
hsa-let-7i:MI0000434:Homo:sapiens:let-7i:stem-loop	3	3	3.0	0.0
hsa-mir-152:MI0000462:Homo:sapiens:miR-152:stem-loop	2	3	3.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	3	3	3.0	0.0
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	3	3	3.0	0.0
hsa-mir-6883:MI0022730:Homo:sapiens:miR-6883:stem-loop	1	3	3.0	0.0
hsa-mir-493:MI0003132:Homo:sapiens:miR-493:stem-loop	1	3	3.0	0.0
hsa-mir-4426:MI0016765:Homo:sapiens:miR-4426:stem-loop	3	3	3.0	0.0
hsa-mir-1262:MI0006397:Homo:sapiens:miR-1262:stem-loop	3	3	3.0	0.0
hsa-mir-370:MI0000778:Homo:sapiens:miR-370:stem-loop	3	3	3.0	0.0
hsa-mir-199b:MI0000282:Homo:sapiens:miR-199b:stem-loop	4	4	2.666666666666667	0.0
hsa-mir-100:MI0000102:Homo:sapiens:miR-100:stem-loop	2	2	2.0	0.0
hsa-mir-125a:MI0000469:Homo:sapiens:miR-125a:stem-loop	2	2	2.0	0.0
hsa-mir-28:MI0000086:Homo:sapiens:miR-28:stem-loop	1	2	2.0	0.0
hsa-mir-671:MI0003760:Homo:sapiens:miR-671:stem-loop	1	2	2.0	0.0
hsa-mir-193a:MI0000487:Homo:sapiens:miR-193a:stem-loop	1	2	2.0	0.0
hsa-mir-6894:MI0022741:Homo:sapiens:miR-6894:stem-loop	1	2	2.0	0.0
hsa-mir-3976:MI0016994:Homo:sapiens:miR-3976:stem-loop	2	2	2.0	0.0
hsa-mir-4715:MI0017349:Homo:sapiens:miR-4715:stem-loop	1	2	2.0	0.0
hsa-mir-92b:MI0003560:Homo:sapiens:miR-92b:stem-loop	2	2	2.0	0.0
hsa-mir-361:MI0000760:Homo:sapiens:miR-361:stem-loop	1	2	2.0	0.0
hsa-mir-26b:MI0000084:Homo:sapiens:miR-26b:stem-loop	2	2	2.0	0.0
hsa-mir-30a:MI0000088:Homo:sapiens:miR-30a:stem-loop	2	2	2.0	0.0
hsa-mir-3944:MI0016601:Homo:sapiens:miR-3944:stem-loop	2	2	2.0	0.0
hsa-mir-3651:MI0016051:Homo:sapiens:miR-3651:stem-loop	2	2	2.0	0.0
hsa-mir-1181:MI0006274:Homo:sapiens:miR-1181:stem-loop	2	2	2.0	0.0
hsa-mir-181d:MI0003139:Homo:sapiens:miR-181d:stem-loop	2	2	2.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	2	2	2.0	0.0
hsa-mir-224:MI0000301:Homo:sapiens:miR-224:stem-loop	1	2	2.0	0.0
hsa-mir-379:MI0000787:Homo:sapiens:miR-379:stem-loop	1	2	2.0	0.0
hsa-mir-3605:MI0015995:Homo:sapiens:miR-3605:stem-loop	2	2	2.0	0.0
hsa-mir-626:MI0003640:Homo:sapiens:miR-626:stem-loop	1	2	2.0	0.0
hsa-mir-7705:MI0025241:Homo:sapiens:miR-7705:stem-loop	1	2	2.0	0.0
hsa-mir-4523:MI0016890:Homo:sapiens:miR-4523:stem-loop	2	2	2.0	0.0
hsa-mir-574:MI0003581:Homo:sapiens:miR-574:stem-loop	2	2	2.0	0.0
hsa-mir-342:MI0000805:Homo:sapiens:miR-342:stem-loop	2	2	2.0	0.0
hsa-mir-10b:MI0000267:Homo:sapiens:miR-10b:stem-loop	2	2	2.0	0.0
hsa-mir-503:MI0003188:Homo:sapiens:miR-503:stem-loop	1	2	2.0	0.0
hsa-mir-1244-3:MI0015975:Homo:sapiens:miR-1244-3:stem-loop	6	7	1.75	0.0
hsa-mir-1244-4:MI0031511:Homo:sapiens:miR-1244-4:stem-loop	6	7	1.75	0.0
hsa-mir-1244-2:MI0015974:Homo:sapiens:miR-1244-2:stem-loop	6	7	1.75	0.0
hsa-mir-1244-1:MI0006379:Homo:sapiens:miR-1244-1:stem-loop	6	7	1.75	0.0
hsa-let-7c:MI0000064:Homo:sapiens:let-7c:stem-loop	2	2	1.25	0.0
hsa-mir-7111:MI0022962:Homo:sapiens:miR-7111:stem-loop	1	1	1.0	0.0
hsa-mir-3674:MI0016075:Homo:sapiens:miR-3674:stem-loop	1	1	1.0	0.0
hsa-mir-661:MI0003669:Homo:sapiens:miR-661:stem-loop	1	1	1.0	0.0
hsa-mir-6839:MI0022685:Homo:sapiens:miR-6839:stem-loop	1	1	1.0	0.0
hsa-mir-4461:MI0016807:Homo:sapiens:miR-4461:stem-loop	1	1	1.0	0.0
hsa-mir-148a:MI0000253:Homo:sapiens:miR-148a:stem-loop	1	1	1.0	0.0
hsa-mir-424:MI0001446:Homo:sapiens:miR-424:stem-loop	1	1	1.0	0.0
hsa-mir-378f:MI0016756:Homo:sapiens:miR-378f:stem-loop	1	1	1.0	0.0
hsa-mir-1273c:MI0014171:Homo:sapiens:miR-1273c:stem-loop	1	1	1.0	0.0
hsa-mir-6816:MI0022661:Homo:sapiens:miR-6816:stem-loop	1	1	1.0	0.0
hsa-mir-3679:MI0016080:Homo:sapiens:miR-3679:stem-loop	1	1	1.0	0.0
hsa-mir-770:MI0005118:Homo:sapiens:miR-770:stem-loop	1	1	1.0	0.0
hsa-mir-1245b:MI0017431:Homo:sapiens:miR-1245b:stem-loop	1	1	1.0	0.0
hsa-mir-99b:MI0000746:Homo:sapiens:miR-99b:stem-loop	1	1	1.0	0.0
hsa-mir-125b-1:MI0000446:Homo:sapiens:miR-125b-1:stem-loop	1	1	1.0	0.0
hsa-mir-3929:MI0016439:Homo:sapiens:miR-3929:stem-loop	1	1	1.0	0.0
hsa-mir-421:MI0003685:Homo:sapiens:miR-421:stem-loop	1	1	1.0	0.0
hsa-mir-24-2:MI0000081:Homo:sapiens:miR-24-2:stem-loop	1	1	1.0	0.0
hsa-mir-4723:MI0017359:Homo:sapiens:miR-4723:stem-loop	1	1	1.0	0.0
hsa-mir-330:MI0000803:Homo:sapiens:miR-330:stem-loop	1	1	1.0	0.0
hsa-mir-487a:MI0002471:Homo:sapiens:miR-487a:stem-loop	1	1	1.0	0.0
hsa-mir-1301:MI0003815:Homo:sapiens:miR-1301:stem-loop	1	1	1.0	0.0
hsa-mir-6745:MI0022590:Homo:sapiens:miR-6745:stem-loop	1	1	1.0	0.0
hsa-mir-3656:MI0016056:Homo:sapiens:miR-3656:stem-loop	1	1	1.0	0.0
hsa-mir-7851:MI0025521:Homo:sapiens:miR-7851:stem-loop	1	1	1.0	0.0
hsa-mir-619:MI0003633:Homo:sapiens:miR-619:stem-loop	1	1	1.0	0.0
hsa-mir-107:MI0000114:Homo:sapiens:miR-107:stem-loop	3	3	1.0	0.0
hsa-mir-4444-2:MI0019111:Homo:sapiens:miR-4444-2:stem-loop	2	2	1.0	0.0
hsa-mir-6730:MI0022575:Homo:sapiens:miR-6730:stem-loop	1	1	1.0	0.0
hsa-mir-23a:MI0000079:Homo:sapiens:miR-23a:stem-loop	1	1	1.0	0.0
hsa-mir-5191:MI0018170:Homo:sapiens:miR-5191:stem-loop	1	1	1.0	0.0
hsa-mir-4769:MI0017410:Homo:sapiens:miR-4769:stem-loop	1	1	1.0	0.0
hsa-mir-4444-1:MI0016787:Homo:sapiens:miR-4444-1:stem-loop	2	2	1.0	0.0
hsa-mir-1303:MI0006370:Homo:sapiens:miR-1303:stem-loop	1	1	1.0	0.0
hsa-mir-27b:MI0000440:Homo:sapiens:miR-27b:stem-loop	1	1	1.0	0.0
hsa-mir-3129:MI0014146:Homo:sapiens:miR-3129:stem-loop	1	1	1.0	0.0
hsa-mir-548q:MI0010637:Homo:sapiens:miR-548q:stem-loop	1	1	1.0	0.0
hsa-mir-7641-1:MI0024975:Homo:sapiens:miR-7641-1:stem-loop	1	1	1.0	0.0
hsa-mir-25:MI0000082:Homo:sapiens:miR-25:stem-loop	1	1	1.0	0.0
hsa-mir-125b-2:MI0000470:Homo:sapiens:miR-125b-2:stem-loop	1	1	1.0	0.0
hsa-mir-1273e:MI0016059:Homo:sapiens:miR-1273e:stem-loop	1	1	1.0	0.0
hsa-mir-1306:MI0006443:Homo:sapiens:miR-1306:stem-loop	1	1	1.0	0.0
hsa-mir-1273f:MI0018002:Homo:sapiens:miR-1273f:stem-loop	1	1	1.0	0.0
hsa-mir-103a-1:MI0000109:Homo:sapiens:miR-103a-1:stem-loop	3	3	1.0	0.0
hsa-mir-494:MI0003134:Homo:sapiens:miR-494:stem-loop	1	1	1.0	0.0
hsa-mir-4751:MI0017390:Homo:sapiens:miR-4751:stem-loop	1	1	1.0	0.0
hsa-mir-6823:MI0022668:Homo:sapiens:miR-6823:stem-loop	1	1	1.0	0.0
hsa-mir-3654:MI0016054:Homo:sapiens:miR-3654:stem-loop	1	1	1.0	0.0
hsa-mir-199a-1:MI0000242:Homo:sapiens:miR-199a-1:stem-loop	2	2	0.6666666666666666	0.0
hsa-mir-199a-2:MI0000281:Homo:sapiens:miR-199a-2:stem-loop	2	2	0.6666666666666666	0.0
hsa-mir-6862-2:MI0026415:Homo:sapiens:miR-6862-2:stem-loop	1	1	0.5	0.0
hsa-mir-6862-1:MI0022709:Homo:sapiens:miR-6862-1:stem-loop	1	1	0.5	0.0
hsa-mir-941-2:MI0005764:Homo:sapiens:miR-941-2:stem-loop	2	2	0.4	0.0
hsa-mir-941-3:MI0005765:Homo:sapiens:miR-941-3:stem-loop	2	2	0.4	0.0
hsa-mir-941-1:MI0005763:Homo:sapiens:miR-941-1:stem-loop	2	2	0.4	0.0
hsa-mir-941-5:MI0031520:Homo:sapiens:miR-941-5:stem-loop	2	2	0.4	0.0
hsa-mir-941-4:MI0005766:Homo:sapiens:miR-941-4:stem-loop	2	2	0.4	0.0
hsa-let-7a-2:MI0000061:Homo:sapiens:let-7a-2:stem-loop	1	1	0.25	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	1	1	0.25	0.0
