ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000480467.1:processed_transcript:CDK5RAP2-002	730	297809	148853.5362304364	0.0
ENST00000484546.1:retained_intron:CDK5RAP2-001	730	297809	148853.5362304364	0.0
ENST00000299163.6:protein_coding:HIF1AN-002	92	13474	13278.333333333334	0.0
ENST00000277491.7:protein_coding:AL354898.1-201	119	5050	2525.0	0.0
ENST00000480829.1:processed_transcript:HMCN2-007	119	5050	2525.0	0.0
ENST00000040584.4:protein_coding:HOXC8-001	18	624	623.25	0.0
ENST00000460133.1:processed_transcript:ESYT3-004	24	316	315.5	0.0
ENST00000394276.3:protein_coding:PGRMC2-002	11	291	291.0	0.0
ENST00000369681.5:protein_coding:CYB5R4-001	7	291	289.6666666666667	0.0
ENST00000379107.2:protein_coding:PAX6-011	41	696	243.85000000000002	0.0
ENST00000379109.2:protein_coding:PAX6-004	41	696	243.85000000000002	0.0
ENST00000481040.1:retained_intron:COPA-006	11	187	187.0	0.0
ENST00000256538.4:protein_coding:DPH6-001	20	384	186.66666666666666	0.0
ENST00000365599.1:misc_RNA:Y_RNA.409-201	21	329	165.83333333333331	0.0
ENST00000365498.1:misc_RNA:Y_RNA.395-201	20	327	163.83333333333331	0.0
ENST00000309295.4:protein_coding:EHBP1L1-001	17	165	161.8	0.0
ENST00000319694.2:protein_coding:PRR15-001	5	154	154.0	0.0
ENST00000496559.2:processed_transcript:LRIG1-004	13	131	130.5	0.0
ENST00000541806.1:protein_coding:CLDN2-202	29	521	126.58333333333331	0.0
ENST00000336803.1:protein_coding:CLDN2-001	29	521	126.58333333333331	0.0
ENST00000540876.1:protein_coding:CLDN2-201	29	521	126.58333333333331	0.0
ENST00000572877.1:sense_intronic:RP5-1107A17.4-001	7	122	122.0	0.0
ENST00000603415.1:antisense:RP11-65L3.2-001	12	122	118.16666666666666	0.0
ENST00000445125.1:processed_pseudogene:AC010970.2-001	59	111	109.5	0.0
ENST00000419932.1:processed_pseudogene:CTD-2328D6.1-001	74	109	98.21515151515152	0.0
ENST00000552838.1:processed_pseudogene:RP11-2H8.3-001	35	180	91.75	0.0
ENST00000499143.2:antisense:RP11-677M14.7-001	21	178	89.16666666666666	0.0
ENST00000560927.1:retained_intron:CRTC3-011	19	94	88.5	0.0
ENST00000516871.1:rRNA:RNA5SP449-201	33	176	87.75	0.0
ENST00000529392.1:antisense:RP11-677M14.7-002	20	176	87.16666666666666	0.0
ENST00000604025.1:processed_transcript:MICU1-007	6	80	80.0	0.0
ENST00000591344.1:protein_coding:ZNF850-001	17	81	78.08333333333333	0.0
ENST00000581347.2:protein_coding:TMEM200C-001	22	85	76.66666666666667	0.0
ENST00000367627.3:protein_coding:TOR3A-001	13	74	74.0	0.0
ENST00000547946.1:retained_intron:RMST-006	17	127	73.16666666666666	0.0
ENST00000341316.2:protein_coding:SPG7-002	16	73	71.0	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	75	84	69.33333333333333	0.0
ENST00000517156.1:misc_RNA:Y_RNA.802-201	4	65	65.0	0.0
ENST00000478000.1:retained_intron:ADAP1-003	41	77	63.7	0.0
ENST00000608241.1:antisense:RP11-561I11.4-001	7	61	61.0	0.0
ENST00000522504.1:processed_transcript:TRAPPC9-015	3	60	60.0	0.0
ENST00000487682.1:processed_transcript:ARHGEF11-003	20	61	58.0	0.0
ENST00000461547.1:retained_intron:ZBP1-004	17	111	55.5	0.0
ENST00000480037.1:retained_intron:ZBP1-002	17	111	55.5	0.0
ENST00000454608.2:protein_coding:USP41-201	41	170	55.35000000000001	0.0
ENST00000292729.8:protein_coding:USP41-001	41	170	55.35000000000001	0.0
ENST00000486536.2:processed_transcript:USP41-003	41	170	55.35000000000001	0.0
ENST00000467525.1:nonsense_mediated_decay:FCGR2A-018	22	53	53.0	0.0
ENST00000436139.2:protein_coding:RASGEF1B-003	4	247	51.8	0.0
ENST00000448031.1:processed_pseudogene:RP11-38O23.4-001	21	50	49.25	0.0
ENST00000568559.1:nonsense_mediated_decay:TMEM170A-004	4	245	49.13333333333333	0.0
ENST00000222747.3:protein_coding:TSPAN12-001	4	245	49.13333333333333	0.0
ENST00000569540.1:protein_coding:TMEM170A-003	4	245	49.13333333333333	0.0
ENST00000357613.4:protein_coding:TMEM170A-002	4	245	49.13333333333333	0.0
ENST00000582330.1:protein_coding:TMEM104-001	12	97	48.5	0.0
ENST00000335464.5:protein_coding:TMEM104-201	12	97	48.5	0.0
ENST00000316981.3:protein_coding:PLAG1-003	7	48	48.0	0.0
ENST00000449802.1:protein_coding:NBEAL1-001	11	48	48.0	0.0
ENST00000436262.1:lincRNA:RP4-788P17.1-002	7	47	47.0	0.0
ENST00000507023.1:antisense:RP11-130F10.1-001	14	49	45.66666666666667	0.0
ENST00000581241.1:retained_intron:CSNK1D-007	12	90	45.090909090909086	0.0
ENST00000374888.1:protein_coding:ZXDB-001	6	43	43.0	0.0
ENST00000378204.2:protein_coding:EXT1-001	5	106	41.66666666666667	0.0
ENST00000370419.2:retained_intron:RIMS1-001	8	40	40.0	0.0
ENST00000606162.1:lincRNA:RP11-137H2.6-001	16	78	38.83333333333333	0.0
