GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
RNY5	3749	247794	245420.1666666671	0.0
RNY1	2528	161166	143015.3017884839	0.0
WDR74	13319	235639	96452.58022724836	0.0
RNY4	3903	353338	85434.22144592663	0.0
RNY4P10	3043	350085	83983.84239543906	0.0
Y_RNA.320	2505	336779	77685.44015308828	0.0
RNY4P7	2284	332487	76648.88666649186	0.0
RPPH1	4177	50294	50291.86666666667	0.0
RNU2-2P	13274	235569	48191.290113624134	0.0
RN7SL1	14873	147448	46684.806581885365	0.0
RNU2-61P	2513	78771	25897.54905876317	0.0
RNU2-37P	2042	76714	25262.451535508284	0.0
LINC00910	4941	75847	20926.908901112685	0.0
RN7SL2	12461	121840	20510.156261969787	0.0
RNU2-6P	3438	101636	17732.313304834413	0.0
RMRP	2651	17134	17120.83333333334	0.0
RN7SL5P	10826	117994	15618.085400823786	0.0
RNU2-38P	2565	84063	15370.458579330929	0.0
THRB	96	14602	14456.9125	0.0
LINC00338	517	14678	14420.291666666664	0.0
RNU2-36P	3301	67019	14233.195364760159	0.0
RNU2-59P	3886	43517	13881.814036949456	0.0
RNY4P20	1320	76222	13875.128153709044	0.0
RNU1-27P	13975	151247	12985.116575883372	0.0
RNU1-28P	13975	151247	12985.116575883372	0.0
RNU1-2	13975	151247	12985.116575883372	0.0
RNU1-1	13975	151247	12985.116575883372	0.0
RNU1-4	13975	151247	12985.116575883372	0.0
RNU1-3	13975	151247	12985.116575883372	0.0
RNVU1-18	13975	151247	12985.116575883372	0.0
RNVU1-7	12246	131340	11024.26349146729	0.0
RNVU1-9	12246	131340	11024.26349146729	0.0
RN7SL3	7999	87177	10826.508414048634	0.0
DCDC1	66	9982	9864.094458653026	0.0
RNU11	2175	9098	9085.472222222223	0.0
RNU5B-1	2124	16544	8361.61529581528	0.0
RNU5A-1	1751	15854	7851.9486291486155	0.0
RN7SL4P	6083	66846	7716.9914209987655	0.0
RN7SL674P	5595	63193	7471.3152427651485	0.0
RNU2-48P	2184	45165	5716.595717907065	0.0
RNU2-23P	2701	46422	5667.418584884277	0.0
RNU1-11P	5079	67219	5074.500519038398	0.0
RNVU1-1	5036	63553	5071.901707184838	0.0
RNVU1-10	5036	63553	5071.901707184838	0.0
GAS5	534	2245	5043.4047619047615	0.0
SNHG1	1290	4564	4994.666666666662	0.0
TMEM25	44	4744	4741.423076923074	0.0
WDR20	26	4189	4188.166666666668	0.0
RNU2-33P	768	23514	4090.272666222663	0.0
RNU2-7P	622	23216	4021.897619047617	0.0
RNVU1-19	3482	49515	4019.6213023269593	0.0
RNU2-3P	1388	17546	3993.9720605703797	0.0
RNY4P27	1395	19746	3906.5602660679156	0.0
RN7SL128P	2874	35918	3757.6115281154857	0.0
MT-RNR2	2615	6109	3723.537698412698	0.0
RNY4P17	239	20705	3637.415221201213	0.0
Y_RNA.383	284	8087	3553.4575757575767	0.0
RNU2-57P	1307	20154	3459.7612412590815	0.0
RNU2-26P	1301	20125	3456.4509237987645	0.0
RN7SL396P	3308	26849	3188.7541787571495	0.0
RNU5F-4P	207	9533	3009.79761904762	0.0
CTC-444N24.8	43	3014	2995.833333333334	0.0
RN7SL767P	2476	29691	2942.4582739341217	0.0
RNU2-30P	2035	28511	2928.4382634753797	0.0
RN7SL151P	2006	19313	2556.8887105595436	0.0
SNORD3A	2036	10151	2498.3270277401616	0.0
RN7SK	1194	3805	2487.3353405551447	0.0
MT-RNR1	972	2458	2458.0	0.0
RN7SL8P	1396	21085	2348.5695897464407	0.0
SNORD3C	1734	9383	2199.8270277401934	0.0
RN7SL49P	1422	21106	2171.537782132924	0.0
RNU1-13P	2404	30189	2115.5105472693886	0.0
RNVU1-11	2404	30189	2115.5105472693886	0.0
RNU2-68P	751	12789	2045.4399645675924	0.0
RNU1-88P	2014	27636	1938.4009578312564	0.0
RN7SL296P	1357	20147	1927.334470743005	0.0
SNHG5	515	1887	1885.35	0.0
RNU1-67P	2211	24821	1878.5294593043923	0.0
RNU2-70P	793	9038	1856.3181132036782	0.0
TRPM3	86	2409	1779.625	0.0
RNU2-64P	920	11045	1774.6808279139154	0.0
RNU12	270	1646	1642.666666666667	0.0
Y_RNA.318	59	3330	1590.2989398293278	0.0
SNORD119	224	1572	1572.0	0.0
RNU2-46P	1374	20996	1554.7319930516253	0.0
RNU1-136P	1619	18188	1501.5323843802773	0.0
VIM	966	1491	1493.8297619047632	0.0
SNORD3B-2	1610	8123	1410.1603610735342	0.0
SNORD3B-1	1608	8121	1409.6603610735342	0.0
RNU2-41P	868	17306	1377.8265583192576	0.0
C3orf27	98	2066	1345.429509379509	0.0
RNY4P2	413	6650	1343.4811612302658	0.0
RNU1-89P	1690	9441	1328.6716826443785	0.0
C1orf213	459	8112	1295.9223137973106	0.0
RNU1-19P	1527	19569	1294.618037853824	0.0
Y_RNA.272	452	8102	1291.5223137973105	0.0
VTRNA1-1	517	1363	1266.1666666666667	0.0
RNU2-13P	684	15978	1252.1311377869201	0.0
SCARNA15	83	1250	1250.0	0.0
CPLX2	67	1209	1206.3166666666664	0.0
RNU2-17P	432	8061	1192.9280971563585	0.0
RNVU1-17	1503	11776	1176.2748593463336	0.0
RN7SL672P	521	9911	1159.2851831468272	0.0
RN7SL732P	957	14853	1149.8225701360939	0.0
RN7SL546P	901	12855	1139.6303408827225	0.0
Y_RNA.488	61	5608	1109.7122006332684	0.0
Y_RNA.40	58	5605	1108.9276768237446	0.0
Y_RNA.556	102	5757	1107.9472891290923	0.0
Y_RNA.196	64	5551	1105.7292182024325	0.0
VTRNA1-2	366	1112	1079.6666666666667	0.0
FLRT2	163	1065	1043.1214285714284	0.0
RN7SL752P	969	8729	1019.0580202301236	0.0
SCARNA10	450	1012	1012.0	0.0
RNY5P1	312	2495	1009.666666666667	0.0
RNU1-82P	591	12778	1004.2248988670452	0.0
RNVU1-14	1005	12301	995.4909730921362	0.0
RNU2-32P	331	3502	995.0682813447908	0.0
GNB2L1	387	975	994.6925167224049	0.0
SNORD104	203	982	982.0	0.0
Y_RNA.13	321	2505	979.8420656362699	0.0
SNORD3D	1044	4707	978.2781473126715	0.0
SNORD83A	90	956	956.0	0.0
Y_RNA.44	316	7566	947.0629703629698	0.0
TREML1	27	951	946.5	0.0
HSPA8	564	748	904.5629872374866	0.0
RNU2-28P	1046	13255	886.8952414862072	0.0
RNU5E-1	474	1162	880.1962481962488	0.0
SNORA45	189	884	877.5833333333334	0.0
TAF1D	517	1323	875.1286935286932	0.0
RPL13	394	922	840.3055111555111	0.0
UBE2D2	63	1258	832.6999999999999	0.0
RNY5P5	91	1891	802.5	0.0
SNHG12	387	644	795.7500000000003	0.0
RNU2-16P	907	9985	777.8324623535739	0.0
EEF1A1	1101	1502	771.7804584105395	0.0
RBMX	151	799	762.6179056237879	0.0
SNORD100	174	761	761.0	0.0
RN7SL43P	618	9678	754.3517156587396	0.0
PRPF40B	19	739	743.9999999999999	0.0
RNY5P8	198	2030	735.1666666666667	0.0
RN7SL564P	619	10854	728.1552341273292	0.0
IQSEC2	17	727	724.6666666666666	0.0
RNU1-34P	415	5984	721.7680352796751	0.0
RN7SL31P	646	12844	719.5492057125266	0.0
RN7SL230P	618	11787	716.7365433382222	0.0
SNORD20	186	707	707.0	0.0
Y_RNA.3	246	3643	706.9571528761528	0.0
HSP90AA1	599	808	695.229761904762	0.0
SSH1	70	702	692.4285714285716	0.0
RN7SL838P	507	6690	680.1373285591857	0.0
RNU1-148P	723	8107	677.8211555647655	0.0
EIF4A2	490	869	674.7408087526508	0.0
ACTG1	655	848	668.0506995103297	0.0
CLTC	505	656	655.6666666666678	0.0
