ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
tRNA-Ser-AGA-chr11-8	12	27	27.0	0.0
tRNA-Tyr-GTA-chr1-127	29	35	11.800000000000002	0.0
tRNA-Tyr-GTA-chr21-2	29	35	11.800000000000002	0.0
tRNA-Tyr-GTA-chr14-8	26	31	9.800000000000002	0.0
nmt-tRNA-Leu-TAA-4-1	3	4	4.0	0.0
nmt-tRNA-Gln-TTG-7-1	4	4	2.0	0.0
tRNA-Gln-CTG-6-1	1	2	2.0	0.0
nmt-tRNA-Gln-TTG-9-1	4	4	2.0	0.0
nmt-tRNA-Val-TAC-1-1	1	1	1.0	0.0
tRNA-Lys-TTT-4-1	1	1	1.0	0.0
tRNA-Glu-TTC-5-1	1	1	1.0	0.0
tRNA-Tyr-GTA-chr9-10	4	4	0.8	0.0
tRNA-Tyr-GTA-chr10-3	4	4	0.8	0.0
tRNA-Gln-CTG-4-2	1	1	0.25	0.0
tRNA-Gln-CTG-4-1	1	1	0.25	0.0
tRNA-Gln-CTG-3-1	1	1	0.25	0.0
tRNA-Gln-CTG-3-2	1	1	0.25	0.0
tRNA-Asn-GTT-9-2	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-9-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-8-1	1	2	0.08695652173913043	0.0
tRNA-Asn-ATT-1-2	1	2	0.08695652173913043	0.0
tRNA-Asn-ATT-1-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-16-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-16-2	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-16-3	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-16-4	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-10-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-12-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-5-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-16-5	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-4-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-1-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-2-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-2-2	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-2-3	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-2-4	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-2-5	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-2-6	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-3-1	1	2	0.08695652173913043	0.0
tRNA-Asn-GTT-3-2	1	2	0.08695652173913043	0.0
