ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000364228.1:misc_RNA:RNY1-201	566	17986	15475.045114705632	0.0
ENST00000516507.1:misc_RNA:RNY4-201	1078	60889	13984.575046338332	0.0
ENST00000365571.1:misc_RNA:RNY4P10-201	862	60304	13757.75027143974	0.0
ENST00000364908.1:misc_RNA:Y_RNA.320-201	721	57629	12462.374484833872	0.0
ENST00000364600.1:misc_RNA:RNY4P7-201	647	56852	12233.485143355916	0.0
ENST00000516678.1:misc_RNA:RNY4P20-201	354	31517	6038.192074102363	0.0
ENST00000554988.1:antisense:RPPH1-001	599	6277	5308.0	0.0
ENST00000602361.1:lincRNA:RMRP-001	491	3903	3125.666666666667	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	1396	3113	2061.0690476190475	0.0
ENST00000363286.1:snRNA:RNU5B-1-201	562	2387	2041.8476190476188	0.0
ENST00000500358.2:antisense:RP11-696N14.1-001	33	1998	1998.0	0.0
ENST00000363120.1:misc_RNA:VTRNA1-1-201	340	1974	1882.0833333333333	0.0
ENST00000362477.1:snRNA:RNU5E-1-201	319	1776	1748.1809523809522	0.0
ENST00000410694.1:snRNA:RNU2-48P-201	602	13997	1706.5388679245223	0.0
ENST00000411069.1:snRNA:RNU2-61P-201	433	10822	1685.6746864246843	0.0
ENST00000410695.1:snRNA:RNU2-37P-201	374	10645	1630.0459956709935	0.0
ENST00000362698.1:snRNA:RNU5A-1-201	493	1967	1614.6476190476187	0.0
ENST00000516501.1:misc_RNA:RNY5-201	257	1285	1240.5	0.0
ENST00000410344.1:snRNA:RNU2-33P-201	247	8192	1180.683614996115	0.0
ENST00000410794.1:snRNA:RNU2-7P-201	196	8053	1149.2840909090905	0.0
ENST00000538654.1:retained_intron:SNHG1-003	559	2774	1131.7000000000005	0.0
ENST00000525239.1:protein_coding:WDR74-001	917	7924	1057.2381065943548	0.0
ENST00000538098.2:protein_coding:WDR74-005	917	7924	1057.2381065943548	0.0
ENST00000410396.1:snRNA:RNU2-2P-201	915	7922	1056.2381065943548	0.0
ENST00000516659.1:snRNA:RNU2-57P-201	285	7345	992.2922156346061	0.0
ENST00000410508.1:snRNA:RNU2-26P-201	285	7345	992.2922156346061	0.0
ENST00000516869.1:misc_RNA:RPPH1-201	308	1938	969.0	0.0
ENST00000602478.1:lincRNA:RNU12-001	357	1902	951.0000000000001	0.0
ENST00000362512.1:snRNA:RNU12-201	354	1899	948.0000000000001	0.0
