ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000367627.3:protein_coding:TOR3A-001	87	2823	2823.0	0.0
ENST00000265634.3:protein_coding:NPTX2-001	74	1496	1488.6666666666667	0.0
ENST00000361681.2:protein_coding:MT-ND6-201	1010	1654	1427.616666666667	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	944	1197	1003.4166666666671	0.0
ENST00000361453.3:protein_coding:MT-ND2-201	748	1763	891.5	0.0
ENST00000457540.1:unprocessed_pseudogene:MTND2P28-001	728	1742	870.5	0.0
ENST00000607520.1:retained_intron:SCARNA15-001	51	626	626.0	0.0
ENST00000442944.2:protein_coding:HMBS-025	23	555	553.2	0.0
ENST00000569858.1:antisense:RP11-72I8.1-001	96	553	553.0	0.0
ENST00000362079.2:protein_coding:MT-CO3-201	368	763	461.22222222222206	0.0
ENST00000361739.1:protein_coding:MT-CO2-201	302	549	459.61111111111103	0.0
ENST00000361789.2:protein_coding:MT-CYB-201	411	505	443.4333333333333	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	393	584	439.8107142857141	0.0
ENST00000467525.1:nonsense_mediated_decay:FCGR2A-018	87	432	431.0	0.0
ENST00000361624.2:protein_coding:MT-CO1-201	435	780	383.7499999999999	0.0
ENST00000361381.2:protein_coding:MT-ND4-201	431	494	383.62499999999983	0.0
ENST00000414273.1:unprocessed_pseudogene:hsa-mir-6723.1-001	387	731	343.9166666666665	0.0
ENST00000437270.1:processed_pseudogene:SETP5-001	40	328	328.0	0.0
ENST00000431156.2:protein_coding:TTI2-001	151	289	289.0	0.0
ENST00000416718.2:unprocessed_pseudogene:RP5-857K21.11-001	215	575	281.8888888888888	0.0
ENST00000290894.8:protein_coding:SHF-001	37	259	255.33333333333334	0.0
ENST00000361390.2:protein_coding:MT-ND1-201	225	274	235.11666666666665	0.0
ENST00000361335.1:protein_coding:MT-ND4L-201	121	196	191.83333333333334	0.0
ENST00000526028.1:protein_coding:HYLS1-003	21	180	179.33333333333334	0.0
ENST00000506002.1:processed_pseudogene:MTND6P4-001	236	370	163.78333333333347	0.0
ENST00000511037.1:processed_pseudogene:MTND5P11-001	275	319	156.8166666666667	0.0
ENST00000601070.1:protein_coding:ZIM2-004	20	1082	154.4420024420024	0.0
ENST00000593711.1:protein_coding:ZIM2-002	20	1082	154.4420024420024	0.0
ENST00000391708.3:protein_coding:ZIM2-202	20	1082	154.4420024420024	0.0
ENST00000597281.1:nonsense_mediated_decay:ZIM2-003	20	1082	154.4420024420024	0.0
ENST00000599935.1:protein_coding:ZIM2-005	20	1082	154.4420024420024	0.0
ENST00000221722.5:protein_coding:ZIM2-201	20	1082	154.4420024420024	0.0
ENST00000595671.1:nonsense_mediated_decay:ZIM2-001	20	1082	154.4420024420024	0.0
ENST00000387459.1:Mt_tRNA:MT-TE-201	94	151	150.5	0.0
ENST00000387461.2:Mt_tRNA:MT-TP-201	86	146	146.0	0.0
ENST00000387392.1:Mt_tRNA:MT-TA-201	75	134	134.0	0.0
ENST00000222753.4:protein_coding:HOXA13-001	25	128	126.0	0.0
ENST00000361899.2:protein_coding:MT-ATP6-201	157	197	123.99999999999997	0.0
ENST00000389680.2:Mt_rRNA:MT-RNR1-201	86	114	114.0	0.0
ENST00000395715.3:protein_coding:TRPS1-001	23	119	111.66666666666666	0.0
ENST00000580984.1:lincRNA:RP11-958F21.1-002	12	202	101.0	0.0
ENST00000582697.1:lincRNA:RP11-958F21.1-001	12	202	101.0	0.0
ENST00000361227.2:protein_coding:MT-ND3-201	95	107	100.5	0.0
ENST00000528170.1:protein_coding:MS4A15-003	4	99	98.5	0.0
ENST00000343280.4:protein_coding:ZNF772-001	25	222	98.06666666666668	0.0
ENST00000427512.2:protein_coding:ZNF772-002	25	222	98.06666666666668	0.0
ENST00000244333.3:protein_coding:LYPD3-001	10	96	94.5	0.0
ENST00000300571.2:protein_coding:GPRC5B-001	28	89	89.0	0.0
ENST00000563963.1:retained_intron:TUBGCP4-004	14	88	88.0	0.0
ENST00000597346.1:antisense:KCNQ1OT1-001	145	157	87.29408369408374	0.0
ENST00000387460.2:Mt_tRNA:MT-TT-201	59	86	86.0	0.0
ENST00000581869.1:processed_transcript:ZNF521-014	8	95	85.5	0.0
ENST00000387372.1:Mt_tRNA:MT-TQ-201	28	83	83.0	0.0
ENST00000416982.1:lincRNA:AC073236.3-001	32	207	79.83333333333331	0.0
ENST00000498999.2:processed_pseudogene:MTND4P12-001	139	158	79.0	0.0
ENST00000550103.2:processed_transcript:EFCAB11-012	25	77	75.75	0.0
ENST00000371000.1:protein_coding:IL12RB2-201	44	376	75.20000000000006	0.0
ENST00000465396.1:processed_transcript:IL12RB2-003	44	376	75.20000000000006	0.0
ENST00000262345.1:protein_coding:IL12RB2-001	44	376	75.20000000000006	0.0
ENST00000541374.1:protein_coding:IL12RB2-202	44	376	75.20000000000006	0.0
ENST00000544434.1:protein_coding:IL12RB2-203	44	376	75.20000000000006	0.0
ENST00000453187.1:lincRNA:AC073236.3-002	24	197	69.83333333333334	0.0
ENST00000514057.1:unprocessed_pseudogene:MTATP6P1-001	110	137	67.16666666666669	0.0
ENST00000496622.1:retained_intron:SSBP1-002	5	134	67.0	0.0
ENST00000461433.1:retained_intron:SSBP1-004	5	134	67.0	0.0
ENST00000427426.1:unprocessed_pseudogene:RP5-857K21.7-001	118	156	66.61111111111113	0.0
ENST00000387416.2:Mt_tRNA:MT-TS1-201	24	66	66.0	0.0
ENST00000574871.1:retained_intron:MINK1-008	22	124	61.833333333333336	0.0
ENST00000575511.1:retained_intron:MINK1-013	22	124	61.833333333333336	0.0
ENST00000420058.1:antisense:NFE4-001	17	176	61.333333333333336	0.0
ENST00000386347.1:Mt_tRNA:MT-TL1-201	53	59	59.0	0.0
ENST00000435020.1:processed_pseudogene:RPS28P8-001	10	58	58.0	0.0
ENST00000444624.1:antisense:RP5-998N21.7-002	31	57	57.0	0.0
ENST00000374586.3:protein_coding:TMEM245-001	17	65	54.083333333333336	0.0
ENST00000451672.1:protein_coding:GVQW1-001	1	54	54.0	0.0
ENST00000437438.1:antisense:AC114730.5-001	18	54	53.5	0.0
ENST00000568177.1:antisense:RP11-600F24.7-001	18	53	53.0	0.0
ENST00000300105.6:protein_coding:CACNG2-001	10	47	47.0	0.0
ENST00000599895.1:retained_intron:TMEM147-009	7	94	47.0	0.0
ENST00000595467.1:retained_intron:TMEM147-006	7	94	47.0	0.0
ENST00000574616.1:sense_intronic:RP11-473I1.10-001	33	45	45.0	0.0
ENST00000489697.1:processed_transcript:RAI1-004	7	44	42.53333333333333	0.0
ENST00000604411.1:lincRNA:TSIX-001	42	49	41.699999999999996	0.0
ENST00000520612.1:processed_pseudogene:MTND6P3-001	94	138	40.366666666666674	0.0
ENST00000552892.1:retained_intron:PPP1R12A-007	9	40	40.0	0.0
ENST00000284000.4:protein_coding:CEBPG-001	17	40	40.0	0.0
ENST00000536684.1:protein_coding:MTRNR2L8-001	100	137	39.0845238095238	0.0
ENST00000387419.1:Mt_tRNA:MT-TD-201	33	39	39.0	0.0
ENST00000604233.1:processed_pseudogene:RP11-475J5.11-001	86	127	37.5	0.0
ENST00000408797.1:miRNA:AC078855.1-201	9	36	36.0	0.0
ENST00000561320.1:lincRNA:RP11-346D14.1-001	67	73	35.69011544011544	0.0
ENST00000562167.1:lincRNA:AC011525.2-001	4	35	35.0	0.0
ENST00000445593.2:protein_coding:LAPTM4B-001	8	35	35.0	0.0
ENST00000376958.4:protein_coding:GPR180-001	6	35	35.0	0.0
ENST00000540040.1:protein_coding:MTRNR2L1-001	74	111	34.69404761904761	0.0
ENST00000585016.1:miRNA:AC092022.1-201	4	33	33.0	0.0
ENST00000481418.1:processed_transcript:PHF14-010	4	65	32.5	0.0
ENST00000403050.3:protein_coding:PHF14-001	4	65	32.5	0.0
ENST00000555870.1:nonsense_mediated_decay:MIPOL1-004	60	68	32.359956709956705	0.0
ENST00000440650.2:protein_coding:PIK3CG-001	6	96	32.0	0.0
ENST00000359195.3:protein_coding:PIK3CG-003	6	96	32.0	0.0
ENST00000496166.1:protein_coding:PIK3CG-002	6	96	32.0	0.0
ENST00000610020.1:protein_coding:RPAP2-001	46	53	31.955555555555556	0.0
ENST00000306875.4:protein_coding:COG8-001	13	31	31.0	0.0
ENST00000527970.1:processed_transcript:RP13-726E6.2-002	8	31	31.0	0.0
ENST00000445125.1:processed_pseudogene:AC010970.2-001	26	31	31.0	0.0
ENST00000600213.2:protein_coding:MTRNR2L12-001	89	126	30.394047619047598	0.0
ENST00000583516.1:sense_intronic:ESRG-001	30	33	29.87698412698413	0.0
ENST00000408523.2:miRNA:AL589675.1-201	20	116	29.75	0.0
ENST00000401295.2:miRNA:AL033403.1-201	20	116	29.75	0.0
ENST00000408204.2:miRNA:AC008410.1-201	20	116	29.75	0.0
ENST00000416931.1:unprocessed_pseudogene:MTND1P23-001	61	68	29.616666666666664	0.0
ENST00000598504.1:protein_coding:SLC1A6-003	16	31	29.5	0.0
ENST00000412204.2:lincRNA:RP11-782C8.2-004	12	39	28.95	0.0
ENST00000608412.1:lincRNA:RP11-138A9.2-001	21	28	28.0	0.0
ENST00000608506.1:lincRNA:LINC00635-022	2	28	28.0	0.0
ENST00000408146.1:miRNA:AC112198.2-201	18	108	27.75	0.0
ENST00000239144.4:protein_coding:HOXB8-001	16	29	27.61111111111111	0.0
ENST00000393405.2:protein_coding:SNX11-001	9	55	27.5	0.0
ENST00000359238.2:protein_coding:SNX11-003	9	55	27.5	0.0
ENST00000416613.1:protein_coding:KTN1-203	6	27	26.333333333333332	0.0
ENST00000419932.1:processed_pseudogene:CTD-2328D6.1-001	24	26	25.11111111111111	0.0
ENST00000452335.2:protein_coding:DYTN-001	3	25	25.0	0.0
ENST00000600590.1:antisense:AP001442.2-004	6	24	24.0	0.0
ENST00000541682.2:protein_coding:HES7-001	18	24	24.0	0.0
ENST00000387405.1:Mt_tRNA:MT-TC-201	18	24	24.0	0.0
ENST00000326925.6:protein_coding:NDUFAF3-001	25	25	24.0	0.0
ENST00000391878.2:protein_coding:TP53BP2-002	4	24	24.0	0.0
ENST00000586083.1:retained_intron:RNFT1-008	30	183	23.75	0.0
ENST00000574545.1:processed_transcript:SCARF1-006	11	24	23.125	0.0
ENST00000569510.1:retained_intron:ADAMTSL3-008	46	49	22.792857142857144	0.0
ENST00000589113.1:protein_coding:RNFT1-007	29	182	22.75	0.0
