ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000449567.2:processed_transcript:LUZP2-005	7	167	167.0	0.0
ENST00000419932.1:processed_pseudogene:CTD-2328D6.1-001	94	152	152.0	0.0
ENST00000465244.1:retained_intron:RBBP7-011	12	116	116.0	0.0
ENST00000445125.1:processed_pseudogene:AC010970.2-001	55	103	101.5	0.0
ENST00000481617.2:protein_coding:TBC1D8B-003	154	292	91.6535714285714	0.0
ENST00000514519.1:lincRNA:RP11-259O2.3-001	146	282	88.74285714285712	0.0
ENST00000554304.1:processed_transcript:SLC38A6-019	146	283	87.82619047619046	0.0
ENST00000299163.6:protein_coding:HIF1AN-002	6	67	67.0	0.0
ENST00000448737.1:processed_pseudogene:HSPA8P20-001	19	48	47.0	0.0
ENST00000425217.1:protein_coding:KSR2-202	5	33	32.5	0.0
ENST00000597346.1:antisense:KCNQ1OT1-001	55	75	29.535714285714278	0.0
ENST00000512928.1:retained_intron:KDM3B-005	8	28	28.0	0.0
ENST00000380737.3:protein_coding:PPP2R2A-001	5	24	24.0	0.0
ENST00000361381.2:protein_coding:MT-ND4-201	18	21	18.833333333333332	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	16	19	18.0	0.0
ENST00000561320.1:lincRNA:RP11-346D14.1-001	27	30	17.442857142857143	0.0
ENST00000484106.1:processed_transcript:RYK-008	6	17	17.0	0.0
ENST00000564198.1:sense_overlapping:RP1-140C12.2-001	4	14	14.0	0.0
ENST00000387372.1:Mt_tRNA:MT-TQ-201	4	12	12.0	0.0
ENST00000583516.1:sense_intronic:ESRG-001	9	16	12.0	0.0
ENST00000473291.1:retained_intron:HHLA1-002	11	13	11.75	0.0
ENST00000449439.1:lincRNA:RP4-712E4.2-001	4	23	11.5	0.0
ENST00000439394.1:lincRNA:RP4-712E4.1-001	4	23	11.5	0.0
ENST00000502859.1:unprocessed_pseudogene:ZNF859P-001	4	11	11.0	0.0
ENST00000569998.1:lincRNA:RP11-142G1.3-001	27	38	10.75952380952381	0.0
ENST00000460407.1:lincRNA:RP11-38P22.2-001	4	10	10.0	0.0
ENST00000467525.1:nonsense_mediated_decay:FCGR2A-018	7	10	10.0	0.0
ENST00000511897.1:antisense:RP11-87E22.2-001	5	10	10.0	0.0
ENST00000361739.1:protein_coding:MT-CO2-201	8	10	9.5	0.0
ENST00000610020.1:protein_coding:RPAP2-001	16	19	9.45	0.0
ENST00000538183.2:protein_coding:SOD2-001	7	11	9.166666666666668	0.0
ENST00000431156.2:protein_coding:TTI2-001	8	9	9.0	0.0
ENST00000566821.1:retained_intron:HP-006	2	9	9.0	0.0
ENST00000499143.2:antisense:RP11-677M14.7-001	8	17	9.0	0.0
ENST00000551112.1:retained_intron:ESYT1-006	5	9	9.0	0.0
ENST00000536621.1:protein_coding:MUC12-201	8	16	8.0	0.0
ENST00000529392.1:antisense:RP11-677M14.7-002	7	16	8.0	0.0
ENST00000512045.1:retained_intron:CCDC125-005	9	10	8.0	0.0
ENST00000379442.3:protein_coding:MUC12-001	8	16	8.0	0.0
ENST00000555870.1:nonsense_mediated_decay:MIPOL1-004	16	19	7.276190476190476	0.0
ENST00000361789.2:protein_coding:MT-CYB-201	8	8	7.25	0.0
ENST00000504032.1:antisense:UGDH-AS1-001	13	13	7.041666666666666	0.0
ENST00000530045.1:antisense:RP11-727A23.10-001	7	7	7.0	0.0
ENST00000333751.3:protein_coding:KCTD11-001	2	7	7.0	0.0
ENST00000498027.1:processed_transcript:CAPN2-004	2	7	7.0	0.0
ENST00000489107.1:processed_transcript:LURAP1L-002	2	7	7.0	0.0
ENST00000334983.5:protein_coding:CMTM7-001	3	7	7.0	0.0
ENST00000591566.1:retained_intron:MEF2BNB-012	6	7	6.5	0.0
ENST00000569510.1:retained_intron:ADAMTSL3-008	11	14	6.476190476190475	0.0
ENST00000522778.1:lincRNA:RP11-946L20.4-002	8	10	6.333333333333334	0.0
ENST00000607412.1:antisense:AC072062.1-001	6	7	6.2	0.0
ENST00000586448.1:protein_coding:SLC14A2-003	1	6	6.0	0.0
ENST00000370033.4:protein_coding:C10orf76-001	3	6	6.0	0.0
ENST00000584245.1:misc_RNA:RN7SL694P-201	2	6	6.0	0.0
ENST00000482340.1:processed_transcript:EHMT1-013	2	6	6.0	0.0
ENST00000526028.1:protein_coding:HYLS1-003	4	6	6.0	0.0
ENST00000551366.2:processed_pseudogene:RP11-617J18.1-001	1	6	6.0	0.0
ENST00000463684.1:nonsense_mediated_decay:SMC1A-002	4	12	6.0	0.0
ENST00000367627.3:protein_coding:TOR3A-001	3	6	6.0	0.0
ENST00000322213.4:protein_coding:SMC1A-001	4	12	6.0	0.0
ENST00000586501.1:protein_coding:KIAA1328-007	14	15	5.7595238095238095	0.0
ENST00000498999.2:processed_pseudogene:MTND4P12-001	7	7	5.5	0.0
ENST00000505089.2:lincRNA:LINC00504-003	7	7	5.166666666666666	0.0
ENST00000370631.3:protein_coding:PI4K2A-001	3	5	5.0	0.0
ENST00000515217.1:processed_pseudogene:YTHDF1P1-001	1	5	5.0	0.0
ENST00000266688.5:protein_coding:PTPRQ-201	11	16	4.95	0.0
ENST00000392385.2:protein_coding:AL590867.1-201	9	9	4.910714285714286	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	5	5	4.333333333333334	0.0
ENST00000561511.1:lincRNA:LA16c-381G6.1-001	1	4	4.0	0.0
ENST00000303809.2:protein_coding:ZNF296-001	2	4	4.0	0.0
ENST00000536317.1:antisense:RP11-1060J15.4-001	3	4	4.0	0.0
ENST00000392857.5:protein_coding:ORC4-001	3	4	4.0	0.0
ENST00000262283.5:protein_coding:OC90-001	1	4	4.0	0.0
ENST00000533152.1:polymorphic_pseudogene:OR8J2-001	1	4	4.0	0.0
ENST00000560810.1:retained_intron:WHAMMP3-003	2	4	4.0	0.0
ENST00000398878.3:lincRNA:SNX29P2-202	4	4	4.0	0.0
ENST00000186436.5:protein_coding:TMEM131-001	3	4	4.0	0.0
ENST00000590492.1:antisense:CTD-2540B15.6-001	1	4	4.0	0.0
ENST00000447086.1:processed_pseudogene:RP13-254B10.1-001	2	4	4.0	0.0
ENST00000265162.5:protein_coding:ENPEP-001	2	4	4.0	0.0
ENST00000324765.8:protein_coding:DIAPH2-002	3	4	4.0	0.0
ENST00000551486.1:retained_intron:LIMA1-012	3	4	4.0	0.0
ENST00000387416.2:Mt_tRNA:MT-TS1-201	3	4	4.0	0.0
ENST00000387461.2:Mt_tRNA:MT-TP-201	3	4	4.0	0.0
ENST00000467903.1:processed_transcript:FCGR2C-002	4	4	4.0	0.0
ENST00000507285.1:protein_coding:TTC39B-007	5	8	3.6666666666666665	0.0
ENST00000423731.1:processed_pseudogene:RP11-112N13.1-001	5	5	3.611111111111111	0.0
ENST00000403050.3:protein_coding:PHF14-001	3	7	3.5	0.0
ENST00000421767.1:lincRNA:LINC00174-001	4	4	3.5	0.0
ENST00000454935.1:processed_transcript:LINC00263-001	2	7	3.5	0.0
ENST00000481418.1:processed_transcript:PHF14-010	3	7	3.5	0.0
ENST00000604411.1:lincRNA:TSIX-001	4	4	3.5	0.0
ENST00000402685.2:protein_coding:PDZRN4-001	3	4	3.5	0.0
ENST00000582994.1:processed_transcript:TTC39B-010	4	7	3.5	0.0
ENST00000508575.1:retained_intron:MROH2B-005	10	17	3.4000000000000004	0.0
ENST00000515297.1:retained_intron:MROH2B-007	10	17	3.4000000000000004	0.0
ENST00000503890.1:retained_intron:MROH2B-004	10	17	3.4000000000000004	0.0
ENST00000506092.2:protein_coding:MROH2B-006	10	17	3.4000000000000004	0.0
ENST00000399564.4:protein_coding:MROH2B-001	10	17	3.4000000000000004	0.0
ENST00000588548.1:lincRNA:TPTEP1-010	6	7	3.375	0.0
ENST00000269919.6:protein_coding:PGPEP1-001	3	4	3.3333333333333335	0.0
ENST00000481132.1:retained_intron:TFPI-010	4	5	3.3333333333333335	0.0
ENST00000600885.1:retained_intron:MYO1F-016	4	10	3.333333333333333	0.0
ENST00000338257.8:protein_coding:MYO1F-001	4	10	3.333333333333333	0.0
ENST00000598005.1:nonsense_mediated_decay:MYO1F-014	4	10	3.333333333333333	0.0
ENST00000604604.1:protein_coding:MORC4-004	7	9	3.077380952380952	0.0
ENST00000533964.1:antisense:AC103828.1-001	2	3	3.0	0.0
ENST00000592037.1:processed_transcript:NKAPP1-006	2	3	3.0	0.0
ENST00000361624.2:protein_coding:MT-CO1-201	2	4	3.0	0.0
ENST00000573588.1:protein_coding:RPH3AL-015	2	3	3.0	0.0
ENST00000576171.1:lincRNA:AC108004.2-001	1	3	3.0	0.0
ENST00000543182.1:lincRNA:AP000462.1-001	2	6	3.0	0.0
ENST00000339626.5:processed_pseudogene:RLIMP1-001	2	3	3.0	0.0
ENST00000222693.4:protein_coding:CAV2-001	1	3	3.0	0.0
ENST00000260010.6:protein_coding:TLR2-001	1	3	3.0	0.0
ENST00000427447.1:antisense:LINC00649-001	1	3	3.0	0.0
ENST00000324306.6:protein_coding:ZKSCAN1-001	1	3	3.0	0.0
ENST00000606622.1:lincRNA:RP11-284J1.1-001	2	3	3.0	0.0
ENST00000403045.2:nonsense_mediated_decay:ADD2-007	1	3	3.0	0.0
ENST00000378191.4:protein_coding:AJAP1-001	1	3	3.0	0.0
ENST00000458112.2:protein_coding:GNPDA1-201	5	15	3.0	0.0
ENST00000507794.1:processed_transcript:PI4K2B-004	2	3	3.0	0.0
ENST00000510987.1:lincRNA:CTD-2013M15.1-001	1	3	3.0	0.0
ENST00000495827.2:protein_coding:PTPLAD2-001	3	3	3.0	0.0
ENST00000500692.2:protein_coding:GNPDA1-002	5	15	3.0	0.0
ENST00000307630.3:protein_coding:YWHAG-001	3	3	3.0	0.0
ENST00000598970.1:protein_coding:DKFZP434E1119-201	1	3	3.0	0.0
ENST00000261596.4:protein_coding:LPIN2-001	2	3	3.0	0.0
ENST00000311337.6:protein_coding:GNPDA1-001	5	15	3.0	0.0
ENST00000523606.1:retained_intron:MAT2B-005	1	3	3.0	0.0
ENST00000482502.1:retained_intron:ACADL-004	2	3	3.0	0.0
