ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-182:MI0000272:Homo:sapiens:miR-182:stem-loop	18	102	102.0	0.0
hsa-mir-151a:MI0000809:Homo:sapiens:miR-151a:stem-loop	17	69	69.0	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	19	60	59.33333333333333	0.0
hsa-mir-1291:MI0006353:Homo:sapiens:miR-1291:stem-loop	12	48	48.0	0.0
hsa-mir-21:MI0000077:Homo:sapiens:miR-21:stem-loop	18	46	46.0	0.0
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	23	30	30.0	0.0
hsa-mir-140:MI0000456:Homo:sapiens:miR-140:stem-loop	13	28	28.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	11	21	21.0	0.0
hsa-mir-181a-1:MI0000289:Homo:sapiens:miR-181a-1:stem-loop	7	39	19.5	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	7	39	19.5	0.0
hsa-mir-221:MI0000298:Homo:sapiens:miR-221:stem-loop	7	16	16.0	0.0
hsa-mir-141:MI0000457:Homo:sapiens:miR-141:stem-loop	6	15	15.0	0.0
hsa-mir-106b:MI0000734:Homo:sapiens:miR-106b:stem-loop	5	15	15.0	0.0
hsa-mir-1248:MI0006383:Homo:sapiens:miR-1248:stem-loop	12	14	14.0	0.0
hsa-mir-181b-1:MI0000270:Homo:sapiens:miR-181b-1:stem-loop	12	23	13.5	0.0
hsa-mir-3651:MI0016051:Homo:sapiens:miR-3651:stem-loop	6	11	11.0	0.0
hsa-mir-3653:MI0016053:Homo:sapiens:miR-3653:stem-loop	9	11	11.0	0.0
hsa-mir-181b-2:MI0000683:Homo:sapiens:miR-181b-2:stem-loop	8	19	9.5	0.0
hsa-mir-183:MI0000273:Homo:sapiens:miR-183:stem-loop	4	9	9.0	0.0
hsa-mir-423:MI0001445:Homo:sapiens:miR-423:stem-loop	2	9	9.0	0.0
hsa-mir-142:MI0000458:Homo:sapiens:miR-142:stem-loop	3	7	7.0	0.0
hsa-mir-191:MI0000465:Homo:sapiens:miR-191:stem-loop	3	7	7.0	0.0
hsa-mir-3607:MI0015997:Homo:sapiens:miR-3607:stem-loop	5	7	7.0	0.0
hsa-mir-200b:MI0000342:Homo:sapiens:miR-200b:stem-loop	2	7	7.0	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	3	6	6.0	0.0
hsa-mir-222:MI0000299:Homo:sapiens:miR-222:stem-loop	4	6	6.0	0.0
hsa-mir-7706:MI0025242:Homo:sapiens:miR-7706:stem-loop	5	6	6.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	6	6	6.0	0.0
hsa-mir-29a:MI0000087:Homo:sapiens:miR-29a:stem-loop	2	6	6.0	0.0
hsa-mir-7-1:MI0000263:Homo:sapiens:miR-7-1:stem-loop	5	6	5.333333333333333	0.0
hsa-mir-30d:MI0000255:Homo:sapiens:miR-30d:stem-loop	3	5	5.0	0.0
hsa-mir-7641-1:MI0024975:Homo:sapiens:miR-7641-1:stem-loop	3	5	5.0	0.0
hsa-mir-1306:MI0006443:Homo:sapiens:miR-1306:stem-loop	3	5	5.0	0.0
hsa-mir-4461:MI0016807:Homo:sapiens:miR-4461:stem-loop	2	4	4.0	0.0
hsa-mir-1273c:MI0014171:Homo:sapiens:miR-1273c:stem-loop	3	4	4.0	0.0
hsa-mir-664b:MI0019134:Homo:sapiens:miR-664b:stem-loop	2	4	4.0	0.0
hsa-mir-1247:MI0006382:Homo:sapiens:miR-1247:stem-loop	3	4	4.0	0.0
hsa-mir-425:MI0001448:Homo:sapiens:miR-425:stem-loop	3	4	4.0	0.0
hsa-mir-452:MI0001733:Homo:sapiens:miR-452:stem-loop	3	4	4.0	0.0
hsa-mir-6723:MI0022558:Homo:sapiens:miR-6723:stem-loop	3	4	4.0	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	4	4	3.333333333333333	0.0
hsa-mir-339:MI0000815:Homo:sapiens:miR-339:stem-loop	3	3	3.0	0.0
hsa-mir-1304:MI0006371:Homo:sapiens:miR-1304:stem-loop	3	3	3.0	0.0
hsa-mir-760:MI0005567:Homo:sapiens:miR-760:stem-loop	1	3	3.0	0.0
hsa-mir-4449:MI0016792:Homo:sapiens:miR-4449:stem-loop	2	3	3.0	0.0
hsa-mir-3916:MI0016422:Homo:sapiens:miR-3916:stem-loop	3	3	3.0	0.0
hsa-mir-4426:MI0016765:Homo:sapiens:miR-4426:stem-loop	3	3	3.0	0.0
hsa-mir-103a-2:MI0000108:Homo:sapiens:miR-103a-2:stem-loop	3	8	2.6666666666666665	0.0
hsa-mir-107:MI0000114:Homo:sapiens:miR-107:stem-loop	3	8	2.6666666666666665	0.0
hsa-mir-103a-1:MI0000109:Homo:sapiens:miR-103a-1:stem-loop	3	8	2.6666666666666665	0.0
hsa-mir-192:MI0000234:Homo:sapiens:miR-192:stem-loop	2	2	2.0	0.0
hsa-mir-6839:MI0022685:Homo:sapiens:miR-6839:stem-loop	1	2	2.0	0.0
hsa-mir-3189:MI0014233:Homo:sapiens:miR-3189:stem-loop	1	2	2.0	0.0
hsa-mir-1246:MI0006381:Homo:sapiens:miR-1246:stem-loop	2	2	2.0	0.0
hsa-mir-149:MI0000478:Homo:sapiens:miR-149:stem-loop	1	2	2.0	0.0
hsa-mir-203a:MI0000283:Homo:sapiens:miR-203a:stem-loop	1	2	2.0	0.0
hsa-mir-320a:MI0000542:Homo:sapiens:miR-320a:stem-loop	2	2	2.0	0.0
hsa-mir-378c:MI0015825:Homo:sapiens:miR-378c:stem-loop	2	2	2.0	0.0
hsa-mir-210:MI0000286:Homo:sapiens:miR-210:stem-loop	2	2	2.0	0.0
hsa-mir-200a:MI0000737:Homo:sapiens:miR-200a:stem-loop	1	2	2.0	0.0
hsa-mir-877:MI0005561:Homo:sapiens:miR-877:stem-loop	2	2	2.0	0.0
hsa-mir-147b:MI0005544:Homo:sapiens:miR-147b:stem-loop	2	2	2.0	0.0
hsa-mir-2278:MI0011285:Homo:sapiens:miR-2278:stem-loop	1	2	2.0	0.0
hsa-let-7d:MI0000065:Homo:sapiens:let-7d:stem-loop	1	2	2.0	0.0
hsa-mir-200c:MI0000650:Homo:sapiens:miR-200c:stem-loop	2	2	2.0	0.0
hsa-mir-18a:MI0000072:Homo:sapiens:miR-18a:stem-loop	1	2	2.0	0.0
hsa-mir-6516:MI0025513:Homo:sapiens:miR-6516:stem-loop	2	2	2.0	0.0
hsa-mir-1262:MI0006397:Homo:sapiens:miR-1262:stem-loop	1	2	2.0	0.0
hsa-mir-101-2:MI0000739:Homo:sapiens:miR-101-2:stem-loop	2	2	1.5	0.0
hsa-mir-548f-3:MI0006376:Homo:sapiens:miR-548f-3:stem-loop	1	3	1.5	0.0
hsa-mir-548f-2:MI0006375:Homo:sapiens:miR-548f-2:stem-loop	1	3	1.5	0.0
hsa-mir-3909:MI0016413:Homo:sapiens:miR-3909:stem-loop	1	1	1.0	0.0
hsa-mir-1229:MI0006319:Homo:sapiens:miR-1229:stem-loop	1	1	1.0	0.0
hsa-mir-28:MI0000086:Homo:sapiens:miR-28:stem-loop	1	1	1.0	0.0
hsa-mir-148a:MI0000253:Homo:sapiens:miR-148a:stem-loop	1	1	1.0	0.0
hsa-mir-4706:MI0017339:Homo:sapiens:miR-4706:stem-loop	1	1	1.0	0.0
hsa-mir-3620:MI0016011:Homo:sapiens:miR-3620:stem-loop	1	1	1.0	0.0
hsa-mir-3127:MI0014144:Homo:sapiens:miR-3127:stem-loop	1	1	1.0	0.0
hsa-mir-196a-1:MI0000238:Homo:sapiens:miR-196a-1:stem-loop	1	1	1.0	0.0
hsa-mir-429:MI0001641:Homo:sapiens:miR-429:stem-loop	1	1	1.0	0.0
hsa-mir-600:MI0003613:Homo:sapiens:miR-600:stem-loop	1	1	1.0	0.0
hsa-mir-3609:MI0015999:Homo:sapiens:miR-3609:stem-loop	1	1	1.0	0.0
hsa-let-7i:MI0000434:Homo:sapiens:let-7i:stem-loop	1	1	1.0	0.0
hsa-mir-26a-2:MI0000750:Homo:sapiens:miR-26a-2:stem-loop	1	1	1.0	0.0
hsa-mir-32:MI0000090:Homo:sapiens:miR-32:stem-loop	1	1	1.0	0.0
hsa-mir-577:MI0003584:Homo:sapiens:miR-577:stem-loop	1	1	1.0	0.0
hsa-mir-24-2:MI0000081:Homo:sapiens:miR-24-2:stem-loop	1	1	1.0	0.0
hsa-mir-29c:MI0000735:Homo:sapiens:miR-29c:stem-loop	1	1	1.0	0.0
hsa-mir-330:MI0000803:Homo:sapiens:miR-330:stem-loop	1	1	1.0	0.0
hsa-mir-641:MI0003656:Homo:sapiens:miR-641:stem-loop	1	1	1.0	0.0
hsa-mir-15b:MI0000438:Homo:sapiens:miR-15b:stem-loop	1	1	1.0	0.0
hsa-mir-361:MI0000760:Homo:sapiens:miR-361:stem-loop	1	1	1.0	0.0
hsa-mir-492:MI0003131:Homo:sapiens:miR-492:stem-loop	1	1	1.0	0.0
hsa-mir-4635:MI0017262:Homo:sapiens:miR-4635:stem-loop	1	1	1.0	0.0
hsa-mir-30e:MI0000749:Homo:sapiens:miR-30e:stem-loop	1	1	1.0	0.0
hsa-mir-24-1:MI0000080:Homo:sapiens:miR-24-1:stem-loop	1	1	1.0	0.0
hsa-mir-1237:MI0006327:Homo:sapiens:miR-1237:stem-loop	1	1	1.0	0.0
hsa-mir-1181:MI0006274:Homo:sapiens:miR-1181:stem-loop	1	1	1.0	0.0
hsa-mir-6793:MI0022638:Homo:sapiens:miR-6793:stem-loop	1	1	1.0	0.0
hsa-mir-4326:MI0015866:Homo:sapiens:miR-4326:stem-loop	1	1	1.0	0.0
hsa-mir-31:MI0000089:Homo:sapiens:miR-31:stem-loop	1	1	1.0	0.0
hsa-mir-27b:MI0000440:Homo:sapiens:miR-27b:stem-loop	1	1	1.0	0.0
hsa-mir-4473:MI0016825:Homo:sapiens:miR-4473:stem-loop	1	1	1.0	0.0
hsa-mir-636:MI0003651:Homo:sapiens:miR-636:stem-loop	1	1	1.0	0.0
hsa-mir-1224:MI0003764:Homo:sapiens:miR-1224:stem-loop	1	1	1.0	0.0
hsa-mir-25:MI0000082:Homo:sapiens:miR-25:stem-loop	1	1	1.0	0.0
hsa-mir-2110:MI0010629:Homo:sapiens:miR-2110:stem-loop	1	1	1.0	0.0
hsa-mir-8485:MI0027288:Homo:sapiens:miR-8485:stem-loop	1	1	1.0	0.0
hsa-mir-942:MI0005767:Homo:sapiens:miR-942:stem-loop	1	1	1.0	0.0
hsa-mir-3138:MI0014161:Homo:sapiens:miR-3138:stem-loop	1	1	1.0	0.0
hsa-mir-378a:MI0000786:Homo:sapiens:miR-378a:stem-loop	1	1	1.0	0.0
hsa-mir-135a-2:MI0000453:Homo:sapiens:miR-135a-2:stem-loop	1	1	1.0	0.0
hsa-mir-6739:MI0022584:Homo:sapiens:miR-6739:stem-loop	1	1	1.0	0.0
hsa-mir-1244-3:MI0015975:Homo:sapiens:miR-1244-3:stem-loop	3	3	0.75	0.0
hsa-mir-1244-4:MI0031511:Homo:sapiens:miR-1244-4:stem-loop	3	3	0.75	0.0
hsa-mir-1244-2:MI0015974:Homo:sapiens:miR-1244-2:stem-loop	3	3	0.75	0.0
hsa-mir-1244-1:MI0006379:Homo:sapiens:miR-1244-1:stem-loop	3	3	0.75	0.0
hsa-mir-101-1:MI0000103:Homo:sapiens:miR-101-1:stem-loop	1	1	0.5	0.0
hsa-mir-3913-2:MI0016418:Homo:sapiens:miR-3913-2:stem-loop	1	1	0.5	0.0
hsa-mir-29b-2:MI0000107:Homo:sapiens:miR-29b-2:stem-loop	1	1	0.5	0.0
hsa-mir-3913-1:MI0016417:Homo:sapiens:miR-3913-1:stem-loop	1	1	0.5	0.0
hsa-mir-4444-2:MI0019111:Homo:sapiens:miR-4444-2:stem-loop	1	1	0.5	0.0
hsa-mir-4444-1:MI0016787:Homo:sapiens:miR-4444-1:stem-loop	1	1	0.5	0.0
hsa-mir-29b-1:MI0000105:Homo:sapiens:miR-29b-1:stem-loop	1	1	0.5	0.0
hsa-mir-7-2:MI0000264:Homo:sapiens:miR-7-2:stem-loop	1	1	0.3333333333333333	0.0
hsa-let-7a-2:MI0000061:Homo:sapiens:let-7a-2:stem-loop	1	1	0.3333333333333333	0.0
hsa-mir-7-3:MI0000265:Homo:sapiens:miR-7-3:stem-loop	1	1	0.3333333333333333	0.0
