ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
tRNA-Tyr-GTA-chr1-127	23	28	9.733333333333334	0.0
tRNA-Tyr-GTA-chr21-2	23	28	9.733333333333334	0.0
tRNA-Ser-AGA-chr11-8	7	9	9.0	0.0
tRNA-Tyr-GTA-chr14-8	20	24	7.733333333333332	0.0
tRNA-Arg-TCT-1-1	1	2	2.0	0.0
tRNA-Trp-CCA-2-1	2	2	2.0	0.0
nmt-tRNA-Gln-TTG-7-1	2	2	1.5	0.0
nmt-tRNA-Gln-TTG-9-1	2	2	1.5	0.0
tRNA-SeC-TCA-1-1	1	1	1.0	0.0
tRNA-Ile-TAT-1-1	1	1	1.0	0.0
tRNA-iMet-CAT-3-1	1	1	1.0	0.0
tRNA-Arg-CCT-2-1	1	2	0.6666666666666666	0.0
tRNA-Arg-CCT-1-1	1	2	0.6666666666666666	0.0
tRNA-Arg-CCT-4-1	1	2	0.6666666666666666	0.0
nmt-tRNA-Ser-TGA-1-1	1	1	0.5	0.0
nmt-tRNA-Ser-TGA-2-1	1	1	0.5	0.0
tRNA-Tyr-GTA-chr9-10	2	2	0.4	0.0
tRNA-Tyr-GTA-chr10-3	2	2	0.4	0.0
tRNA-Thr-TGT-6-1	1	1	0.3333333333333333	0.0
tRNA-Thr-TGT-5-1	1	1	0.3333333333333333	0.0
tRNA-Thr-TGT-4-1	1	1	0.3333333333333333	0.0
tRNA-Trp-CCA-5-1	1	1	0.2	0.0
tRNA-Trp-CCA-1-1	1	1	0.2	0.0
tRNA-Trp-CCA-3-2	1	1	0.2	0.0
tRNA-Trp-CCA-3-1	1	1	0.2	0.0
tRNA-Trp-CCA-3-3	1	1	0.2	0.0
nmt-tRNA-Tyr-GTA-chr4-1	1	1	0.16666666666666666	0.0
nmt-tRNA-Tyr-GTA-chr17-33	1	1	0.16666666666666666	0.0
nmt-tRNA-Tyr-GTA-chr2-10	1	1	0.16666666666666666	0.0
tRNA-Tyr-GTA-chr2-12	1	1	0.16666666666666666	0.0
tRNA-Tyr-GTA-chr7-6	1	1	0.16666666666666666	0.0
tRNA-Tyr-GTA-chr7-1	1	1	0.16666666666666666	0.0
tRNA-Cys-GCA-2-3	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-2-4	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-2-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-15-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-2-2	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-18-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-1-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-17-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-9-4	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-9-2	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-9-3	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-9-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-5-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-24-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-8-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-7-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-13-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-6-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-11-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-10-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-21-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-4-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-25-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-chr11-21	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-20-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-23-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-14-1	1	1	0.03571428571428571	0.0
tRNA-Cys-GCA-22-1	1	1	0.03571428571428571	0.0
