ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000449567.2:processed_transcript:LUZP2-005	8	208	208.0	0.0
ENST00000419932.1:processed_pseudogene:CTD-2328D6.1-001	93	180	179.0909090909091	0.0
ENST00000445125.1:processed_pseudogene:AC010970.2-001	77	159	157.2	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	110	142	125.41666666666667	0.0
ENST00000512928.1:retained_intron:KDM3B-005	7	113	113.0	0.0
ENST00000465244.1:retained_intron:RBBP7-011	5	83	83.0	0.0
ENST00000361381.2:protein_coding:MT-ND4-201	62	85	69.33333333333334	0.0
ENST00000425217.1:protein_coding:KSR2-202	5	49	49.0	0.0
ENST00000481617.2:protein_coding:TBC1D8B-003	112	162	47.048412698412704	0.0
ENST00000514519.1:lincRNA:RP11-259O2.3-001	91	139	42.71349206349206	0.0
ENST00000361624.2:protein_coding:MT-CO1-201	50	67	41.583333333333336	0.0
ENST00000554304.1:processed_transcript:SLC38A6-019	87	134	40.38015873015873	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	48	55	40.199999999999996	0.0
ENST00000361789.2:protein_coding:MT-CYB-201	24	42	39.5	0.0
ENST00000448737.1:processed_pseudogene:HSPA8P20-001	14	37	35.833333333333336	0.0
ENST00000484106.1:processed_transcript:RYK-008	5	35	35.0	0.0
ENST00000362079.2:protein_coding:MT-CO3-201	26	40	24.833333333333332	0.0
ENST00000380737.3:protein_coding:PPP2R2A-001	6	22	22.0	0.0
ENST00000511897.1:antisense:RP11-87E22.2-001	5	22	22.0	0.0
ENST00000597346.1:antisense:KCNQ1OT1-001	36	43	21.881349206349206	0.0
ENST00000299163.6:protein_coding:HIF1AN-002	7	20	20.0	0.0
ENST00000551112.1:retained_intron:ESYT1-006	7	20	20.0	0.0
ENST00000449439.1:lincRNA:RP4-712E4.2-001	6	39	19.5	0.0
ENST00000439394.1:lincRNA:RP4-712E4.1-001	6	39	19.5	0.0
ENST00000511037.1:processed_pseudogene:MTND5P11-001	26	32	17.0	0.0
ENST00000561320.1:lincRNA:RP11-346D14.1-001	29	30	16.527380952380952	0.0
ENST00000414273.1:unprocessed_pseudogene:hsa-mir-6723.1-001	27	35	15.583333333333334	0.0
ENST00000367627.3:protein_coding:TOR3A-001	3	15	15.0	0.0
ENST00000489107.1:processed_transcript:LURAP1L-002	2	15	15.0	0.0
ENST00000361739.1:protein_coding:MT-CO2-201	17	23	14.500000000000002	0.0
ENST00000361390.2:protein_coding:MT-ND1-201	10	18	14.5	0.0
ENST00000607412.1:antisense:AC072062.1-001	10	15	14.2	0.0
ENST00000502859.1:unprocessed_pseudogene:ZNF859P-001	2	14	14.0	0.0
ENST00000324765.8:protein_coding:DIAPH2-002	9	14	14.0	0.0
ENST00000361453.3:protein_coding:MT-ND2-201	16	22	12.25	0.0
ENST00000370631.3:protein_coding:PI4K2A-001	5	12	12.0	0.0
ENST00000498999.2:processed_pseudogene:MTND4P12-001	13	23	11.0	0.0
ENST00000416718.2:unprocessed_pseudogene:RP5-857K21.11-001	18	26	10.833333333333334	0.0
ENST00000389680.2:Mt_rRNA:MT-RNR1-201	5	10	10.0	0.0
ENST00000361899.2:protein_coding:MT-ATP6-201	13	17	9.666666666666666	0.0
ENST00000586501.1:protein_coding:KIAA1328-007	14	15	9.642857142857142	0.0
ENST00000499143.2:antisense:RP11-677M14.7-001	7	17	9.5	0.0
ENST00000252321.3:protein_coding:KCNA5-001	3	9	9.0	0.0
ENST00000590492.1:antisense:CTD-2540B15.6-001	1	9	9.0	0.0
ENST00000494357.1:retained_intron:ZNF655-010	4	9	9.0	0.0
ENST00000458112.2:protein_coding:GNPDA1-201	10	44	8.799999999999999	0.0
ENST00000500692.2:protein_coding:GNPDA1-002	10	44	8.799999999999999	0.0
ENST00000311337.6:protein_coding:GNPDA1-001	10	44	8.799999999999999	0.0
ENST00000503794.1:protein_coding:GNPDA1-004	10	44	8.799999999999999	0.0
ENST00000508177.1:protein_coding:GNPDA1-003	10	44	8.799999999999999	0.0
ENST00000457540.1:unprocessed_pseudogene:MTND2P28-001	13	18	8.25	0.0
ENST00000505556.1:lincRNA:RP11-501E14.1-001	8	9	8.0	0.0
ENST00000556078.1:processed_transcript:EFCAB11-011	3	8	8.0	0.0
